cohort,seed,r2_log,r2_eV,n
am,11,0.5839137702996972,0.5686048598647904,2841
am,22,0.563819111060234,0.5410308105038752,2841
am,33,0.5873833131839599,0.567433328936831,2841
am,44,0.6226182717111917,0.6109088091299021,2841
am,55,0.5811343163444174,0.5629322420855971,2841
am,66,0.6048920214643678,0.5906758753640149,2841
am,77,0.6009900725445245,0.5782055042865909,2841
am,88,0.577498280954849,0.5547052627771264,2841
am,99,0.5652897377862098,0.5409241048451285,2841
am,111,0.6129541022022978,0.592792054249287,2841
am,123,0.5928221469174371,0.5684816549811627,2841
am,234,0.5311927346619468,0.5111940675789651,2841
am,345,0.5630973679416554,0.5342108114600302,2841
am,456,0.592521926445349,0.5742494130874813,2841
am,567,0.5700654726840757,0.548041031101778,2841
am,678,0.5618833312117355,0.5419690096092353,2841
am,789,0.6092965358957414,0.597373565380109,2841
am,890,0.5554436284620958,0.5292136854598218,2841
am,901,0.598664790528614,0.5870458063064758,2841
am,1012,0.5604465297042127,0.5446116197848191,2841
full,11,0.5763049400797388,0.5587778905165888,2841
full,22,0.5758325533498062,0.546911758192061,2841
full,33,0.5850838523014497,0.5611110510364676,2841
full,44,0.6286129737139606,0.6092696438751568,2841
full,55,0.5947831752365235,0.5752107069298661,2841
full,66,0.5990900302593591,0.5727842051476897,2841
full,77,0.6009381782647667,0.5753073217805065,2841
full,88,0.5809389122552667,0.557546953208157,2841
full,99,0.5653656228902028,0.5346630617971924,2841
full,111,0.6051374436373561,0.5845783432736527,2841
full,123,0.5625772277576295,0.5348533944729754,2841
full,234,0.5537534080057571,0.5281691406034494,2841
full,345,0.5630254598729512,0.5294091012218706,2841
full,456,0.596809130561484,0.5740585618834019,2841
full,567,0.5895473945858257,0.563765775808688,2841
full,678,0.5725677753447485,0.5492245568838614,2841
full,789,0.6189245794905391,0.6001125390059022,2841
full,890,0.5405825368755011,0.5130581973530585,2841
full,901,0.6066978563808917,0.5862791662517085,2841
full,1012,0.6042919298056473,0.5848772936061071,2841
