seed,r2_log,r2_eV,mae_eV,n
11,0.5648122745813473,0.563498558704101,0.052364991799347976,1004
22,0.5530241618623999,0.5348834266463341,0.051404768394283415,1004
33,0.5800206554877739,0.5622573310207573,0.05280748823770177,1004
44,0.6357173253317843,0.6374805411885271,0.04997018549945154,1004
55,0.5579457900330138,0.5783294684448548,0.05402492999312697,1004
66,0.670294019869945,0.6612051530132577,0.04678047390866298,1004
77,0.589124149897432,0.5744467841972203,0.04962823470072945,1004
88,0.5412973689877516,0.539141228080573,0.053901723469024464,1004
99,0.5219662068761783,0.5404012369673867,0.05562926942845569,1004
111,0.5770832415196573,0.5653088881953863,0.05068670241405765,1004
123,0.5566607519497828,0.5424195573550038,0.05075958907603599,1004
234,0.517950115792421,0.5259740104521258,0.0546123387386637,1004
345,0.46421145671249864,0.4824929910626934,0.060757553489790735,1004
456,0.5247861932778088,0.5227044513334211,0.05342157026086453,1004
567,0.6180765058275428,0.627659368170421,0.048326267499832716,1004
678,0.6828999069455132,0.6820564908012838,0.044530830117634666,1004
789,0.5038854242143108,0.4822563847770863,0.0555636019756002,1004
890,0.6331580529840878,0.6208798799298938,0.04770764975974696,1004
901,0.5647171419245013,0.5613640491677199,0.05336484312330637,1004
1012,0.5204500845744479,0.5328064522742018,0.056410232551421455,1004
