cohort,feature,d_log_mean,d_log_sd,d_eV_mean,neg
am,pd_ratio,-0.026735450384201043,0.011103515542918474,-0.029377014997901928,20
am,p_metric,-0.01577467017688086,0.007165681712986162,-0.017692273013647054,20
am,p_metric_std,-0.0099304471048838,0.0068694271974321,-0.01034562049929324,20
am,p_orb_e_non,-0.007682067267565323,0.0076577554358015,-0.007232108383025443,17
am,packing_fraction,-0.007212882863395281,0.015137637298528168,-0.006907214423026664,13
am,d_lone_pair,-0.0069917276660818204,0.01120210650021383,-0.004074200056037108,14
am,d_orb_e,-0.006482602418818451,0.006001488193514338,-0.006221917929186449,18
am,labelled_1st,-0.005779123840523132,0.009520176602386705,-0.004881346393541592,14
am,proxy_M_magnet,-0.004444678225511117,0.008851963346036445,-0.002859455221798546,14
am,magnetic_electronegativity,-0.004129030040432908,0.007871456251851422,-0.003400080438553099,13
am,nonmag_std_angle,-0.004059130790951393,0.008177851429685105,-0.0039025157324638405,12
am,delta_chi,-0.0030436106263851013,0.007745314312759632,-0.0022754260894522205,11
am,abs_delta_chi,-0.0027770306170677218,0.007254375250421775,-0.0019830641268610005,13
am,ax_eq_gap,-0.002323322120132992,0.0059577907335051335,-0.0015685759722250503,12
am,bond_cv,-0.002281830203073254,0.005040399886484082,-0.001338583534484683,15
am,avg_motif_measure,-0.0022331142834078168,0.008930073733522345,-0.0017655698011591393,11
am,d_global_local_3rd,-0.0022224152548773967,0.007109933520004782,-0.0012821543669354174,14
am,abs_delta_Z,-0.002211790354689036,0.007845308770639662,-0.0023545719166071176,13
am,min_bond_length,-0.0020993364445151762,0.006476526192785714,-0.0009416536353978155,15
am,hungarian_rotation_angle_deg,-0.0020508736497108103,0.007890483008847784,-0.001182328267359356,10
am,motif0_nonmag_count,-0.002022995356397261,0.006657820742820995,-0.0011402131975045138,10
am,dimension,-0.0018439357818001046,0.008596495485802177,-0.0007757643058592279,11
am,avg_s,-0.0015607070719736104,0.00695460051296547,-0.0004963929081477026,12
am,avg_short_axis,-0.0015447069805631874,0.0061229351870025536,-0.0007895273701314598,12
am,delta_Z,-0.001428632662848972,0.005082382939108494,-0.0005238308134358216,13
am,nonmag_angle_spread,-0.0014015275718132435,0.006252300404557284,-0.00042547055118710155,13
am,bond_range,-0.001383937194366719,0.005667140377438812,-0.0005895568472285284,15
am,unit_cell_volume,-0.0012585744431336144,0.007164712520641099,-0.0005324656838193165,12
am,labelled_3rd,-0.0010251325287436164,0.006993657976501979,-0.00032459977848982026,10
am,nonmag_min_angle,-0.0010138315929522968,0.006549325832558195,-0.00016380205898223755,9
am,d_global_local_2nd,-0.0009661131401151934,0.006161148557587407,-0.00045409755992714684,13
am,avg_axis_ratio,-0.0009508218891630005,0.006112418228009558,-2.4605071585304115e-06,11
am,d_global_local_1st,-0.0009024279285442027,0.006821028944725758,-0.00017031367013765065,13
am,avg_delta,-0.0008945431656645408,0.006487997656508355,0.0009449232803567353,11
am,center_angle_spread,-0.0008837982854266125,0.00544156189302049,0.0002935059943151852,14
am,nonmagnetic_atomic_number,-0.0008478130223222857,0.005952889896521042,-0.0001336476875081649,12
am,nonmagnetic_electronegativity,-0.0008322967896103262,0.007700849770955417,-0.000802869427391839,7
am,center_std_angle,-0.0007593686843153036,0.008488015155064728,-0.00016033012490537235,11
am,avg_long_axis,-0.0007298949987522452,0.00536487176306189,0.0005474721845184661,9
am,delta_chi_times_axeq,-0.000590566172078777,0.006930154458096972,0.0003147940897453683,14
am,global_3rd,-0.00045083755244665347,0.005341182802659195,0.0007560952563277157,9
am,avg_bond_length,-0.00033758426039984246,0.00616524456577965,0.0003692470923574775,10
am,labelled_2nd,-0.0002860392560687375,0.007216345012459405,0.00034252301612603954,10
am,magnetic_atomic_number,-0.0001422365923433422,0.007785349280184753,0.0009784202789509366,10
am,std_bond_length,-0.00010119098568440177,0.005200696310518192,0.0009783878369911847,10
am,center_min_angle,6.195770394289424e-05,0.007082887506361785,0.0008317789751961402,10
am,max_bond_length,9.728117883410214e-05,0.006428940710772811,0.0009177247758270779,10
am,nonmag_max_angle,0.00031253801377114645,0.007271220101822207,0.0012186762914843051,10
am,global_2nd,0.00046830204485265867,0.005443907802201008,0.0012361469165449225,9
am,global_1st,0.0010150368408330002,0.005723751718018016,0.0019178228451020352,8
am,center_max_angle,0.00248988683513065,0.006015342185298991,0.00452564574433339,9
am,center_avg_angle,0.0033293738439350686,0.006939720756203902,0.004146423987201858,5
full,p_metric,-0.09178302830724336,0.014578804474227871,-0.08476820555742895,20
full,pd_ratio,-0.0148516345891119,0.011783360514388695,-0.016072633333966923,17
full,p_orb_e_non,-0.004939905009841705,0.00743861369681572,-0.0051715097497930015,15
full,d_orb_e,-0.0042341065773252974,0.006691901310598329,-0.004030707330272743,16
full,hungarian_rotation_angle_deg,-0.0031341721580072424,0.007551270605998184,-0.002849648277781175,13
full,packing_fraction,-0.0028816356055856975,0.013185301266957402,-0.0018481078772408343,13
full,d_lone_pair,-0.0023391512133769166,0.008261419274052459,-0.0007683815931808224,12
full,magnetic_electronegativity,-0.00217580947840052,0.008952809219001136,-0.001293245314217112,12
full,labelled_1st,-0.0018936441146728822,0.007959810956396588,-0.0016418565429837718,13
full,nonmag_std_angle,-0.0018861238634103827,0.005878624590471427,-0.0024607558000702356,12
full,avg_short_axis,-0.0010723698097929613,0.0074733207379505335,-0.0012268448261494203,11
