cohort,feature,share,rank
am,packing_fraction,0.17725102435232576,1
am,pd_ratio,0.1142620069985237,2
am,labelled_1st,0.06697027058445428,3
am,p_orb_e_non,0.05586064071591915,4
am,d_lone_pair,0.05499569635195884,5
am,d_orb_e,0.04646989438439812,6
am,p_metric,0.04509486188509495,7
am,global_1st,0.03221801070388156,8
am,p_metric_std,0.02274712739334047,9
am,proxy_M_magnet,0.02186269140243725,10
am,center_avg_angle,0.020744289853503538,11
am,center_max_angle,0.01779690134856176,12
am,magnetic_atomic_number,0.017672951329499517,13
am,abs_delta_Z,0.01601343055296971,14
am,center_std_angle,0.015042607015428712,15
am,avg_delta,0.014355648745623784,16
am,labelled_3rd,0.014285436580358008,17
am,avg_short_axis,0.014235599908904144,18
am,d_global_local_1st,0.013430397858782899,19
am,magnetic_electronegativity,0.013134776574022016,20
am,delta_chi,0.012079104742264866,21
am,nonmag_std_angle,0.011678116938033134,22
am,nonmag_max_angle,0.01079075421562514,23
am,hungarian_rotation_angle_deg,0.010524090331280295,24
am,bond_cv,0.010209562033825188,25
am,unit_cell_volume,0.01014016893830111,26
am,ax_eq_gap,0.00979840551342153,27
am,avg_motif_measure,0.008919235294184447,28
am,global_3rd,0.008817396672274056,29
am,avg_s,0.00776206280340163,30
am,avg_bond_length,0.006623894009092454,31
am,nonmagnetic_electronegativity,0.006499264328994022,32
am,d_global_local_2nd,0.006389375025915564,33
am,labelled_2nd,0.006156918356263332,34
am,global_2nd,0.005921262635034306,35
am,nonmagnetic_atomic_number,0.0059004370640813285,36
am,delta_chi_times_axeq,0.00583359177112682,37
am,delta_Z,0.0058060247468758154,38
am,d_global_local_3rd,0.005760918762626446,39
am,min_bond_length,0.005482427069879996,40
am,nonmag_angle_spread,0.005139960936693365,41
am,abs_delta_chi,0.005125175014545907,42
am,center_min_angle,0.005072007077698551,43
am,std_bond_length,0.004798747055432989,44
am,nonmag_min_angle,0.004657629802918252,45
am,max_bond_length,0.004177137410451978,46
am,avg_long_axis,0.004094371696207761,47
am,bond_range,0.0039199735292121856,48
am,avg_axis_ratio,0.0037679807597387166,49
am,center_angle_spread,0.00329040620970493,50
am,motif0_nonmag_count,0.00040833473018204666,51
am,dimension,1.0999984723610343e-05,52
full,p_metric,0.171949121549261,1
full,packing_fraction,0.1062857638663338,2
full,pd_ratio,0.074427431534363,3
full,p_orb_e_non,0.055921145330239855,4
full,center_std_angle,0.052266354087987583,5
full,p_metric_std,0.05080539204727239,6
full,labelled_1st,0.04944823320660772,7
full,d_lone_pair,0.040700819276381445,8
full,d_orb_e,0.040170755440366024,9
full,global_1st,0.03142126294794495,10
full,center_max_angle,0.02377594346295225,11
full,center_avg_angle,0.02349876190557448,12
full,proxy_M_magnet,0.021093828724361094,13
full,d_global_local_1st,0.013324483008311553,14
full,avg_short_axis,0.013135100461663355,15
full,avg_delta,0.013048708873907229,16
full,abs_delta_Z,0.012805661430058558,17
full,magnetic_atomic_number,0.011668749217422782,18
full,nonmag_std_angle,0.010903117551429828,19
full,magnetic_electronegativity,0.010746923025525705,20
full,delta_chi,0.010467351494458354,21
full,hungarian_rotation_angle_deg,0.009714055475685658,22
full,labelled_3rd,0.009653939987689271,23
full,nonmag_max_angle,0.00815511766440103,24
full,ax_eq_gap,0.007840310006435609,25
full,bond_cv,0.007408982826063721,26
full,unit_cell_volume,0.007329189009054092,27
full,avg_motif_measure,0.006761081907243353,28
full,global_3rd,0.0066829930262998554,29
full,nonmagnetic_electronegativity,0.006341661594177535,30
full,center_min_angle,0.006178161104921985,31
full,d_global_local_3rd,0.005815254198367902,32
full,d_global_local_2nd,0.005685178501721757,33
full,delta_Z,0.00541845454460721,34
full,nonmagnetic_atomic_number,0.005113055739466556,35
full,labelled_2nd,0.005020962871881124,36
full,delta_chi_times_axeq,0.0049397866341355,37
full,avg_s,0.004930908476637628,38
full,avg_bond_length,0.004887341421524528,39
full,nonmag_min_angle,0.004540145200353165,40
full,global_2nd,0.004478048361161801,41
full,min_bond_length,0.004456204916199934,42
full,avg_axis_ratio,0.004447216097581123,43
full,abs_delta_chi,0.004433237977597708,44
full,nonmag_angle_spread,0.004138774634327202,45
full,avg_long_axis,0.003972330464016125,46
full,max_bond_length,0.003353634763645591,47
full,std_bond_length,0.003262381462059054,48
full,bond_range,0.0026381671073025252,49
full,center_angle_spread,0.002374283924537756,50
full,motif0_nonmag_count,0.0021301681622141557,51
full,dimension,3.406349626664145e-05,52
