cohort,feature,seed,r2_log,r2_eV,n_tr,n_par,frac_am
am,_none_,11,0.5839137702996972,0.5686048598647904,2272.8,195.2,1.0
am,_none_,22,0.563819111060234,0.5410308105038752,2272.8,195.2,1.0
am,_none_,33,0.5873833131839599,0.567433328936831,2272.8,195.2,1.0
am,_none_,44,0.6226182717111917,0.6109088091299021,2272.8,195.2,1.0
am,_none_,55,0.5811343163444174,0.5629322420855971,2272.8,195.2,1.0
am,_none_,66,0.6048920214643678,0.5906758753640149,2272.8,195.2,1.0
am,_none_,77,0.6009900725445245,0.5782055042865909,2272.8,195.2,1.0
am,_none_,88,0.577498280954849,0.5547052627771264,2272.8,195.2,1.0
am,_none_,99,0.5652897377862098,0.5409241048451285,2272.8,195.2,1.0
am,_none_,111,0.6129541022022978,0.592792054249287,2272.8,195.2,1.0
am,_none_,123,0.5928221469174371,0.5684816549811627,2272.8,195.2,1.0
am,_none_,234,0.5311927346619468,0.5111940675789651,2272.8,195.2,1.0
am,_none_,345,0.5630973679416554,0.5342108114600302,2272.8,195.2,1.0
am,_none_,456,0.592521926445349,0.5742494130874813,2272.8,195.2,1.0
am,_none_,567,0.5700654726840757,0.548041031101778,2272.8,195.2,1.0
am,_none_,678,0.5618833312117355,0.5419690096092353,2272.8,195.2,1.0
am,_none_,789,0.6092965358957414,0.597373565380109,2272.8,195.2,1.0
am,_none_,890,0.5554436284620958,0.5292136854598218,2272.8,195.2,1.0
am,_none_,901,0.598664790528614,0.5870458063064758,2272.8,195.2,1.0
am,_none_,1012,0.5604465297042127,0.5446116197848191,2272.8,195.2,1.0
am,p_metric,11,0.5664184040646538,0.5491447312386211,2272.8,195.2,1.0
am,p_metric,22,0.5470986201290311,0.5228275475154784,2272.8,195.2,1.0
am,p_metric,33,0.5717133952011799,0.547526491259207,2272.8,195.2,1.0
am,p_metric,44,0.602306369797581,0.5878501970865944,2272.8,195.2,1.0
am,p_metric,55,0.5744173136374615,0.5555490816777939,2272.8,195.2,1.0
am,p_metric,66,0.5742322188695445,0.5556152581132394,2272.8,195.2,1.0
am,p_metric,77,0.5882380641543252,0.5635390418487269,2272.8,195.2,1.0
am,p_metric,88,0.5429354407719367,0.5176213053328829,2272.8,195.2,1.0
am,p_metric,99,0.547917805608896,0.5161213893076422,2272.8,195.2,1.0
am,p_metric,111,0.6007453026826963,0.5788993382645204,2272.8,195.2,1.0
am,p_metric,123,0.5700716545925028,0.5455136222875306,2272.8,195.2,1.0
am,p_metric,234,0.521357603864629,0.49963927486746473,2272.8,195.2,1.0
am,p_metric,345,0.5482332400870356,0.5185227301462787,2272.8,195.2,1.0
am,p_metric,456,0.5782909836099301,0.5573506846754941,2272.8,195.2,1.0
am,p_metric,567,0.5608085156732472,0.5388548528037542,2272.8,195.2,1.0
am,p_metric,678,0.5562784350897507,0.5362126763215544,2272.8,195.2,1.0
am,p_metric,789,0.5919834620648766,0.5771682379707115,2272.8,195.2,1.0
am,p_metric,890,0.5427001810315162,0.5176846218661892,2272.8,195.2,1.0
