parent,verdict,ops,n_ops,nsym,spacegroup,msg_type,bns,uni,n_structures,n_altermagnet,n_verdict_changed_by_strain,sse_max_eV,sse_mean_eV,gamma_avg_max_meV,m1_abs_min_muB,m1_abs_max_muB,m_asymmetry_max_muB,m_total_abs_max_muB,n_with_m2,n_antiparallel
Cu2O2_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,C2/c,3,15.89,96,9,9,0,1.633544,1.4059271111111111,7.101,0.623,0.66,0.0,0.0,4,4
Cr2O2_2,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Cccm,3,66.495,593,9,9,0,1.604422,1.2092934444444445,4.462,3.599,3.724,0.0,0.0,4,4
Mo2O3_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Cmmm,3,65.485,583,9,9,0,1.546168,1.3079123333333333,1.611,2.221,2.535,0.001000000000000334,0.0,4,4
Cr2Sb2_1,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,11,11,0,1.513067,1.1712997272727272,5.075,3.698,3.992,0.002000000000000224,0.003,6,6
N2V2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,I4_1md,3,109.242,902,7,7,0,1.469193,1.2294001428571428,7.901,0.842,1.66,0.0009999999999998899,0.001,3,3
Fe2P2_1,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,10,10,0,1.448071,1.1818352,4.195,2.351,3.413,0.0030000000000001137,0.004,6,6
Ni2Te2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Cmcm,3,63.463,561,9,9,0,1.434773,0.9103790000000002,4.007,0.002,1.286,0.0040000000000000036,0.003,6,6
C2Cr2_3,ALTERMAGNET,mirror/rotoinv|rotation,4,8,I4_1md,3,109.242,902,9,9,0,1.366993,1.250658,0.641,1.353,2.823,0.0,0.0,4,4
Cr2Te2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Cmcm,3,63.463,561,17,17,0,1.341444,0.9540300000000002,2.488,3.801,3.958,0.0,0.0,12,12
Mo2Sb2_2,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Cmcm,3,63.463,561,17,17,0,1.330672,1.2330634705882353,0.58,2.37,3.042,0.0019999999999997797,0.002,12,12
Ge2Mn2_2,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,15,15,0,1.305334,0.8783787333333333,4.118,3.951,4.422,0.0030000000000001137,0.004,10,10
Cr2P8_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,P2_1/c,3,14.79,86,17,17,0,1.304026,1.205486294117647,0.456,3.533,3.839,0.0,0.001,12,12
B8Fe2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,12,12,0,1.279622,1.12109,1.838,2.014,2.558,0.0029999999999996696,0.004,10,10
Fe2Te2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Cmcm,3,63.463,561,14,14,0,1.231977,0.9402436428571429,0.44,3.353,3.585,0.001000000000000334,0.0,9,9
B2Mo2_4,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Imma,3,74.559,657,9,9,0,1.229069,0.9668336666666667,0.292,0.505,1.796,0.0010000000000000009,0.001,4,4
Ni2Se2_2,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,17,17,0,1.227872,0.8677693529411765,2.733,1.336,1.598,0.001000000000000112,0.0,12,12
Ni2Se2_1,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,17,17,0,1.225128,0.865008,0.495,1.335,1.598,0.0,0.0,12,12
Fe2Sn2_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,C2/c,3,15.89,96,5,5,0,1.214414,0.9332726000000001,6.403,2.966,3.173,0.001000000000000334,0.002,2,2
Mn2S2_1,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,17,17,0,1.202184,1.0225322941176471,1.162,4.392,4.585,0.001000000000000334,0.0,12,12
As8Cr2_3,ALTERMAGNET,mirror/rotoinv|rotation,2,4,P2_1/c,3,14.79,86,17,17,0,1.164542,0.9865952941176471,0.581,3.696,3.943,0.001000000000000334,0.001,12,12
Fe2Si2_3,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,17,17,0,1.148281,0.6974125294117648,3.628,2.198,3.002,0.0019999999999997797,0.003,12,12
Fe2P8_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,P2_1/c,3,14.79,86,16,16,0,1.145645,0.991607375,2.917,3.013,3.479,0.0029999999999996696,0.004,12,12
Mn2Se2_2,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,17,17,0,1.145264,0.9023058235294118,1.786,4.417,4.592,0.001000000000000334,0.0,12,12
As2V2_2,ALTERMAGNET,mirror/rotoinv|rotation,4,8,I4_1md,3,109.242,902,9,9,0,1.141372,0.8905834444444444,1.33,1.892,2.426,0.002000000000000224,0.002,4,4
Co2S2_1,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,7,7,0,1.116118,0.8434778571428572,5.428,0.506,2.39,0.0,0.002,3,3
Ru2Sn2_3,ALTERMAGNET,mirror/rotoinv|rotation,12,24,P6_3/mmc,3,194.269,1499,15,15,0,1.112079,0.461806,0.718,0.041,1.777,0.0030000000000000027,0.003,12,12
Mo2Te2_1,ALTERMAGNET,mirror/rotoinv|rotation,2,4,C2/c,3,15.89,96,9,9,0,1.100611,0.9102183333333334,2.646,3.076,3.443,0.0,0.0,4,4
Fe2O2_8,ALTERMAGNET,mirror/rotoinv|rotation,2,4,C2/c,3,15.89,96,9,9,0,1.097725,0.8967765555555557,6.383,3.612,3.712,0.0,0.0,4,4
B8Co2_1,ALTERMAGNET,mirror/rotoinv|rotation,4,8,Pnnm,3,58.397,495,17,17,0,1.091584,0.9001231764705883,0.033,0.431,1.379,0.0,0.0,12,12
P2V2_2,ALTERMAGNET,mirror/rotoinv|rotation,4,8,I4_1md,3,109.242,902,9,9,0,1.09113,0.9815174444444446,0.626,1.32,2.136,0.001000000000000112,0.0,4,4
