feature,mean_abs_shap,rank
p_metric,0.017023558,1
packing_fraction,0.0080656065,2
pd_ratio,0.004771476,3
p_metric_std,0.00443564,4
center_std_angle,0.004289704,5
labelled_1st,0.0039666737,6
d_lone_pair,0.0038596848,7
p_orb_e_non,0.0035493583,8
d_orb_e,0.0028376097,9
center_avg_angle,0.0024095138,10
avg_delta,0.0017594325,11
proxy_M_magnet,0.0016254946,12
labelled_3rd,0.0015770177,13
global_1st,0.0015436548,14
center_min_angle,0.0014917515,15
hungarian_rotation_angle_deg,0.0012827952,16
nonmag_std_angle,0.0012390353,17
magnetic_atomic_number,0.0012350897,18
delta_chi,0.0011759214,19
nonmag_max_angle,0.0010746724,20
abs_delta_Z,0.0010253574,21
global_3rd,0.0009476261,22
d_global_local_2nd,0.00091165915,23
avg_motif_measure,0.0008626561,24
min_bond_length,0.00076171296,25
nonmagnetic_electronegativity,0.0007508741,26
center_max_angle,0.0007188945,27
delta_chi_times_axeq,0.00071735674,28
avg_bond_length,0.0007098438,29
ax_eq_gap,0.00066358293,30
avg_short_axis,0.0006323625,31
unit_cell_volume,0.0006140765,32
d_global_local_3rd,0.00061401003,33
delta_Z,0.0006036319,34
avg_s,0.0005999076,35
abs_delta_chi,0.00059823506,36
d_global_local_1st,0.0005945268,37
avg_long_axis,0.0005937119,38
avg_axis_ratio,0.0005822214,39
global_2nd,0.0005462381,40
magnetic_electronegativity,0.00054530596,41
labelled_2nd,0.000531012,42
bond_cv,0.00047667086,43
nonmagnetic_atomic_number,0.00046652122,44
center_angle_spread,0.00040680615,45
max_bond_length,0.0003808154,46
nonmag_min_angle,0.00035103003,47
nonmag_angle_spread,0.000322972,48
bond_range,0.00026193925,49
std_bond_length,0.00024775174,50
motif0_nonmag_count,1.6180535e-05,51
dimension,0.0,52
