feature,mean_abs_shap,rank
p_metric,0.054526776,1
packing_fraction,0.018246777,2
p_orb_e_non,0.016344195,3
d_lone_pair,0.012630244,4
center_std_angle,0.012130267,5
pd_ratio,0.0119615495,6
p_metric_std,0.0114101935,7
labelled_1st,0.010112702,8
d_orb_e,0.0076063215,9
center_avg_angle,0.0072417795,10
global_1st,0.0061051124,11
proxy_M_magnet,0.0057573537,12
nonmag_std_angle,0.0040002028,13
magnetic_atomic_number,0.0036873617,14
center_max_angle,0.0036073518,15
magnetic_electronegativity,0.003466983,16
center_min_angle,0.003274572,17
hungarian_rotation_angle_deg,0.0031633307,18
avg_delta,0.0029526227,19
ax_eq_gap,0.0028430019,20
delta_chi_times_axeq,0.0026574575,21
avg_motif_measure,0.0026232067,22
delta_chi,0.0025709032,23
avg_short_axis,0.002428332,24
nonmag_max_angle,0.001984234,25
labelled_3rd,0.0019747505,26
nonmagnetic_electronegativity,0.0018455895,27
abs_delta_Z,0.0018119228,28
global_3rd,0.0016659433,29
bond_cv,0.0016191787,30
d_global_local_2nd,0.0016132201,31
avg_bond_length,0.001470467,32
avg_s,0.0014611625,33
avg_axis_ratio,0.0014349216,34
unit_cell_volume,0.0013841143,35
d_global_local_3rd,0.0013057688,36
d_global_local_1st,0.0012599616,37
nonmagnetic_atomic_number,0.001120619,38
max_bond_length,0.0011006173,39
delta_Z,0.0010195853,40
abs_delta_chi,0.00097167515,41
avg_long_axis,0.0009383569,42
nonmag_angle_spread,0.0009174377,43
std_bond_length,0.0008923592,44
labelled_2nd,0.0008754079,45
global_2nd,0.0008647385,46
center_angle_spread,0.00084856653,47
min_bond_length,0.00078298704,48
nonmag_min_angle,0.0007109041,49
motif0_nonmag_count,0.0006689679,50
bond_range,0.00050126924,51
dimension,3.894906e-06,52
