feature,mean_abs_shap,rank
p_metric,0.09603612,1
packing_fraction,0.02701737,2
pd_ratio,0.025239285,3
p_metric_std,0.017261323,4
labelled_1st,0.016929856,5
p_orb_e_non,0.0134458225,6
global_1st,0.011744211,7
center_avg_angle,0.010709079,8
d_lone_pair,0.00954293,9
proxy_M_magnet,0.009468128,10
center_std_angle,0.008887701,11
d_orb_e,0.008854144,12
nonmag_std_angle,0.0057340055,13
abs_delta_Z,0.005179481,14
delta_chi,0.0051170927,15
center_max_angle,0.004438594,16
magnetic_atomic_number,0.0044282516,17
magnetic_electronegativity,0.004177484,18
hungarian_rotation_angle_deg,0.0040376866,19
avg_delta,0.003743915,20
labelled_3rd,0.003703297,21
avg_motif_measure,0.0035331242,22
delta_chi_times_axeq,0.0029684692,23
avg_short_axis,0.0029295355,24
d_global_local_2nd,0.0027861493,25
ax_eq_gap,0.0025689446,26
unit_cell_volume,0.0025567263,27
avg_axis_ratio,0.0025306998,28
nonmag_max_angle,0.0023839388,29
delta_Z,0.0022834141,30
d_global_local_3rd,0.0021751572,31
avg_s,0.002024509,32
global_3rd,0.0019791787,33
d_global_local_1st,0.0018569153,34
labelled_2nd,0.0017900186,35
center_min_angle,0.0017381477,36
min_bond_length,0.0016835023,37
nonmag_min_angle,0.0015887369,38
global_2nd,0.0015510154,39
bond_cv,0.0014369431,40
bond_range,0.0013466697,41
avg_long_axis,0.0012618236,42
nonmagnetic_electronegativity,0.0012151276,43
avg_bond_length,0.0012149392,44
max_bond_length,0.0011603077,45
nonmag_angle_spread,0.0011559507,46
nonmagnetic_atomic_number,0.0011163251,47
abs_delta_chi,0.0011138293,48
std_bond_length,0.00068128336,49
center_angle_spread,0.0005555622,50
motif0_nonmag_count,0.0003147208,51
dimension,4.377583e-07,52
