feature,mean_abs_shap,rank
p_metric,0.08843043,1
packing_fraction,0.025930073,2
pd_ratio,0.024140421,3
p_metric_std,0.017355248,4
labelled_1st,0.017082218,5
p_orb_e_non,0.014818704,6
center_std_angle,0.014100247,7
d_lone_pair,0.011858877,8
center_avg_angle,0.0109307775,9
global_1st,0.010029522,10
proxy_M_magnet,0.009326646,11
d_orb_e,0.008764194,12
nonmag_std_angle,0.0052802777,13
magnetic_electronegativity,0.00459742,14
hungarian_rotation_angle_deg,0.0045889546,15
avg_delta,0.004337742,16
center_max_angle,0.004270361,17
abs_delta_Z,0.004265558,18
delta_chi,0.003889162,19
magnetic_atomic_number,0.0037395456,20
avg_short_axis,0.0036726994,21
nonmag_max_angle,0.0029401348,22
ax_eq_gap,0.0029394699,23
avg_motif_measure,0.0028262634,24
global_3rd,0.0027646152,25
delta_chi_times_axeq,0.002731314,26
labelled_3rd,0.002651441,27
nonmag_min_angle,0.0025901233,28
unit_cell_volume,0.0025549522,29
d_global_local_1st,0.002342732,30
d_global_local_3rd,0.00233095,31
d_global_local_2nd,0.0023014636,32
avg_axis_ratio,0.0022425824,33
avg_s,0.002061056,34
center_min_angle,0.0017884085,35
labelled_2nd,0.0017724562,36
nonmagnetic_electronegativity,0.0017165794,37
bond_cv,0.0017086106,38
delta_Z,0.0016936571,39
global_2nd,0.0016792448,40
min_bond_length,0.0015519474,41
abs_delta_chi,0.001539129,42
avg_long_axis,0.0013298342,43
max_bond_length,0.0012654882,44
avg_bond_length,0.0011279907,45
nonmagnetic_atomic_number,0.001123462,46
nonmag_angle_spread,0.0010745489,47
bond_range,0.0008564377,48
std_bond_length,0.00079814537,49
center_angle_spread,0.0007665064,50
motif0_nonmag_count,0.0003895956,51
dimension,7.540278e-06,52
