feature,mean_abs_shap,rank
p_metric,0.017128631,1
packing_fraction,0.008669955,2
pd_ratio,0.0051026107,3
p_metric_std,0.004789652,4
labelled_1st,0.0036610712,5
d_lone_pair,0.0036603063,6
center_std_angle,0.00346889,7
p_orb_e_non,0.003446869,8
d_orb_e,0.0029209324,9
center_avg_angle,0.0028384004,10
avg_delta,0.0020665452,11
proxy_M_magnet,0.0019261658,12
labelled_3rd,0.0017595993,13
abs_delta_Z,0.0014433173,14
global_1st,0.0013461781,15
nonmag_max_angle,0.001254911,16
center_max_angle,0.0011891939,17
magnetic_atomic_number,0.0011626382,18
center_min_angle,0.0011518882,19
hungarian_rotation_angle_deg,0.0011222656,20
delta_chi,0.0010760769,21
nonmag_std_angle,0.00099028,22
d_global_local_2nd,0.0009472783,23
nonmagnetic_electronegativity,0.00088975375,24
delta_chi_times_axeq,0.0008212135,25
avg_motif_measure,0.00080435997,26
min_bond_length,0.000791542,27
avg_short_axis,0.0007830392,28
unit_cell_volume,0.00074301613,29
avg_axis_ratio,0.0007290608,30
abs_delta_chi,0.0006334092,31
global_3rd,0.0006333009,32
ax_eq_gap,0.00062931614,33
bond_cv,0.00061858527,34
global_2nd,0.0006124567,35
magnetic_electronegativity,0.0005897057,36
avg_bond_length,0.0005808226,37
d_global_local_3rd,0.00054199295,38
avg_s,0.00053855585,39
labelled_2nd,0.000536981,40
d_global_local_1st,0.00045370514,41
avg_long_axis,0.00043800313,42
delta_Z,0.0004274616,43
nonmag_min_angle,0.0004153547,44
nonmagnetic_atomic_number,0.00039323187,45
nonmag_angle_spread,0.00035846498,46
max_bond_length,0.00034183386,47
center_angle_spread,0.00022503968,48
std_bond_length,0.00012726159,49
motif0_nonmag_count,0.00012671175,50
bond_range,0.00012535168,51
dimension,2.7352387e-06,52
