feature,mean_abs_shap,rank
p_metric,0.05081001,1
p_orb_e_non,0.017246056,2
center_std_angle,0.017077768,3
packing_fraction,0.017070174,4
d_lone_pair,0.014034976,5
p_metric_std,0.0136414245,6
d_orb_e,0.011885487,7
labelled_1st,0.010615163,8
pd_ratio,0.010082562,9
global_1st,0.0060319267,10
center_avg_angle,0.0057712574,11
center_max_angle,0.0051806355,12
proxy_M_magnet,0.0051122117,13
avg_motif_measure,0.004127699,14
avg_short_axis,0.003628198,15
center_min_angle,0.0036038747,16
magnetic_atomic_number,0.0033931779,17
hungarian_rotation_angle_deg,0.0033042978,18
delta_chi,0.0032444093,19
labelled_3rd,0.003187659,20
avg_delta,0.0031389056,21
nonmag_std_angle,0.003118004,22
ax_eq_gap,0.003068085,23
delta_chi_times_axeq,0.0028880145,24
magnetic_electronegativity,0.0026048103,25
avg_bond_length,0.002298202,26
d_global_local_3rd,0.0019551497,27
d_global_local_2nd,0.0019008439,28
global_3rd,0.0018249891,29
nonmag_angle_spread,0.0018225907,30
nonmagnetic_atomic_number,0.0016698526,31
nonmag_max_angle,0.0016598763,32
nonmag_min_angle,0.0016573035,33
nonmagnetic_electronegativity,0.0016396514,34
avg_long_axis,0.0016359482,35
abs_delta_Z,0.0016045728,36
avg_axis_ratio,0.001495137,37
unit_cell_volume,0.0014713181,38
max_bond_length,0.0013228577,39
bond_cv,0.0013023025,40
abs_delta_chi,0.0011681613,41
d_global_local_1st,0.0011562626,42
global_2nd,0.0011503163,43
std_bond_length,0.0010880633,44
min_bond_length,0.0010517902,45
labelled_2nd,0.0009330284,46
delta_Z,0.00088334375,47
center_angle_spread,0.00082039036,48
avg_s,0.0006712566,49
bond_range,0.0006128624,50
motif0_nonmag_count,3.3896315e-05,51
dimension,0.0,52
