feature,mean_abs_shap,rank
p_metric,0.089538366,1
packing_fraction,0.02858889,2
pd_ratio,0.025802467,3
p_metric_std,0.017087232,4
labelled_1st,0.017069591,5
p_orb_e_non,0.013496261,6
center_avg_angle,0.012718964,7
d_lone_pair,0.012435209,8
center_std_angle,0.011486276,9
global_1st,0.01045061,10
proxy_M_magnet,0.008844938,11
d_orb_e,0.008512461,12
nonmag_std_angle,0.005082274,13
hungarian_rotation_angle_deg,0.004836445,14
avg_delta,0.0045994967,15
center_max_angle,0.004480629,16
magnetic_electronegativity,0.004376244,17
abs_delta_Z,0.00392921,18
delta_chi,0.003714272,19
magnetic_atomic_number,0.003601292,20
avg_short_axis,0.0034643218,21
labelled_3rd,0.0033599446,22
avg_axis_ratio,0.0031369778,23
d_global_local_2nd,0.002888636,24
nonmag_max_angle,0.0027481054,25
d_global_local_1st,0.002703173,26
unit_cell_volume,0.0026999724,27
delta_chi_times_axeq,0.0026637637,28
avg_motif_measure,0.0024846022,29
center_min_angle,0.0023071184,30
delta_Z,0.0022068066,31
nonmagnetic_electronegativity,0.0021784303,32
ax_eq_gap,0.0021455348,33
bond_cv,0.0020848524,34
avg_long_axis,0.0020475436,35
global_3rd,0.0019796216,36
labelled_2nd,0.0015920042,37
min_bond_length,0.0015562002,38
nonmagnetic_atomic_number,0.0015485212,39
avg_s,0.0014690937,40
nonmag_min_angle,0.0014621764,41
d_global_local_3rd,0.0013793287,42
avg_bond_length,0.0013076421,43
max_bond_length,0.0013059921,44
global_2nd,0.0012947596,45
abs_delta_chi,0.0011210502,46
motif0_nonmag_count,0.0010580264,47
bond_range,0.0009588243,48
nonmag_angle_spread,0.0009024389,49
std_bond_length,0.0008477894,50
center_angle_spread,0.0007579922,51
dimension,0.0,52
