feature,mean_abs_shap,rank
p_metric,0.08293872,1
packing_fraction,0.02773916,2
pd_ratio,0.022892952,3
p_metric_std,0.020257784,4
labelled_1st,0.018668422,5
center_std_angle,0.017887194,6
p_orb_e_non,0.013216464,7
d_lone_pair,0.011135633,8
center_avg_angle,0.009931437,9
d_orb_e,0.009588917,10
proxy_M_magnet,0.009368514,11
global_1st,0.008829482,12
hungarian_rotation_angle_deg,0.005697932,13
avg_delta,0.005144171,14
magnetic_electronegativity,0.0051177046,15
center_max_angle,0.0050126333,16
nonmag_std_angle,0.004875478,17
abs_delta_Z,0.0044613564,18
center_min_angle,0.0038001474,19
delta_chi,0.0036669588,20
labelled_3rd,0.0035180992,21
magnetic_atomic_number,0.0031584762,22
avg_short_axis,0.003073666,23
avg_axis_ratio,0.0029636335,24
nonmag_max_angle,0.0029339327,25
global_3rd,0.0026541788,26
avg_motif_measure,0.002638679,27
nonmag_angle_spread,0.0026223694,28
d_global_local_3rd,0.0025867114,29
delta_chi_times_axeq,0.0025117467,30
nonmagnetic_electronegativity,0.0024943857,31
unit_cell_volume,0.0023668327,32
labelled_2nd,0.0022866314,33
d_global_local_2nd,0.0022660592,34
nonmag_min_angle,0.002080526,35
avg_s,0.0020517537,36
ax_eq_gap,0.0020367785,37
d_global_local_1st,0.0019266051,38
delta_Z,0.001916372,39
min_bond_length,0.0014848177,40
avg_long_axis,0.0014371059,41
avg_bond_length,0.0014039156,42
global_2nd,0.0013797563,43
nonmagnetic_atomic_number,0.0013336712,44
abs_delta_chi,0.0013113896,45
bond_cv,0.0011092697,46
max_bond_length,0.0010987793,47
center_angle_spread,0.00096024165,48
bond_range,0.00089696824,49
std_bond_length,0.0008002235,50
motif0_nonmag_count,0.0006551521,51
dimension,0.0,52
