feature,mean_abs_shap,rank
p_metric,0.017824497,1
packing_fraction,0.008719435,2
labelled_1st,0.00431195,3
pd_ratio,0.004051844,4
p_metric_std,0.003959127,5
p_orb_e_non,0.0037807152,6
d_lone_pair,0.0037761303,7
center_std_angle,0.0032816776,8
center_avg_angle,0.0027865688,9
d_orb_e,0.0026198176,10
proxy_M_magnet,0.0017604589,11
avg_delta,0.0016986099,12
global_1st,0.0013913739,13
nonmag_max_angle,0.0013505461,14
labelled_3rd,0.0013443016,15
nonmag_std_angle,0.0012221982,16
d_global_local_2nd,0.0011176732,17
magnetic_atomic_number,0.0010637384,18
center_max_angle,0.0010485019,19
center_min_angle,0.0010048017,20
delta_chi,0.0009935152,21
abs_delta_Z,0.000902803,22
hungarian_rotation_angle_deg,0.0008969428,23
magnetic_electronegativity,0.00086104154,24
global_3rd,0.00081609696,25
nonmagnetic_electronegativity,0.00073433516,26
avg_short_axis,0.00068695727,27
avg_motif_measure,0.00068376854,28
d_global_local_1st,0.0006434088,29
avg_bond_length,0.00064249604,30
avg_axis_ratio,0.0006405582,31
min_bond_length,0.00058950984,32
global_2nd,0.00058790477,33
delta_chi_times_axeq,0.00058219256,34
unit_cell_volume,0.0005532585,35
ax_eq_gap,0.0005487717,36
nonmagnetic_atomic_number,0.0005365726,37
delta_Z,0.00053423195,38
labelled_2nd,0.00048393142,39
avg_long_axis,0.0004770518,40
abs_delta_chi,0.0004665096,41
nonmag_min_angle,0.00046101506,42
bond_cv,0.00045304568,43
avg_s,0.00042433088,44
d_global_local_3rd,0.0004159537,45
max_bond_length,0.00040486126,46
std_bond_length,0.0003141658,47
center_angle_spread,0.00029477538,48
nonmag_angle_spread,0.00028313563,49
bond_range,0.00027494752,50
motif0_nonmag_count,9.196542e-05,51
dimension,1.2968115e-05,52
