feature,mean_abs_shap,rank
p_metric,0.050332036,1
packing_fraction,0.01574959,2
p_orb_e_non,0.015281347,3
pd_ratio,0.012225973,4
d_lone_pair,0.0119308755,5
center_std_angle,0.011302458,6
p_metric_std,0.011149985,7
labelled_1st,0.010979114,8
d_orb_e,0.008249443,9
center_avg_angle,0.008137883,10
global_1st,0.0070264447,11
proxy_M_magnet,0.005652403,12
center_max_angle,0.0047184383,13
hungarian_rotation_angle_deg,0.0033687833,14
avg_delta,0.0033150897,15
nonmag_std_angle,0.003242084,16
magnetic_atomic_number,0.0031749122,17
delta_chi,0.0030708418,18
magnetic_electronegativity,0.0029492846,19
center_min_angle,0.0027273253,20
delta_chi_times_axeq,0.0025962736,21
ax_eq_gap,0.0024299189,22
avg_motif_measure,0.0024273256,23
labelled_3rd,0.0022597208,24
nonmag_max_angle,0.0020374279,25
d_global_local_2nd,0.0020146829,26
abs_delta_Z,0.001993312,27
abs_delta_chi,0.0018954668,28
avg_bond_length,0.0018698821,29
avg_axis_ratio,0.001733268,30
nonmag_min_angle,0.0016971773,31
avg_short_axis,0.0016864444,32
d_global_local_3rd,0.00161242,33
unit_cell_volume,0.0015706904,34
bond_cv,0.0015459346,35
nonmagnetic_electronegativity,0.0014797534,36
d_global_local_1st,0.0014589101,37
avg_s,0.0014434811,38
global_3rd,0.0013963614,39
motif0_nonmag_count,0.0013814031,40
min_bond_length,0.001249291,41
max_bond_length,0.0012313748,42
global_2nd,0.0012072533,43
delta_Z,0.0011392199,44
labelled_2nd,0.0010815723,45
nonmagnetic_atomic_number,0.0010274813,46
avg_long_axis,0.0010230684,47
nonmag_angle_spread,0.000883956,48
std_bond_length,0.00070438435,49
bond_range,0.0004986271,50
center_angle_spread,0.00042449322,51
dimension,6.8208086e-05,52
