feature,mean_abs_shap,rank
p_metric,0.10630176,1
packing_fraction,0.029577099,2
pd_ratio,0.027154347,3
labelled_1st,0.018461505,4
p_metric_std,0.01453008,5
p_orb_e_non,0.01380399,6
global_1st,0.011542943,7
proxy_M_magnet,0.011206437,8
d_lone_pair,0.010034004,9
d_orb_e,0.00946967,10
center_std_angle,0.008098591,11
center_avg_angle,0.0061954707,12
abs_delta_Z,0.005907951,13
avg_delta,0.005092297,14
nonmag_std_angle,0.0049481327,15
magnetic_electronegativity,0.0047994964,16
center_max_angle,0.0047832048,17
hungarian_rotation_angle_deg,0.004614827,18
magnetic_atomic_number,0.004498724,19
delta_chi,0.004486086,20
avg_short_axis,0.0040521086,21
avg_motif_measure,0.0037809208,22
avg_axis_ratio,0.003534618,23
labelled_3rd,0.0032097138,24
delta_chi_times_axeq,0.003134709,25
nonmag_max_angle,0.0029630114,26
global_3rd,0.00245897,27
avg_s,0.0024283426,28
d_global_local_3rd,0.0023276366,29
center_min_angle,0.0022594547,30
d_global_local_2nd,0.0021170385,31
ax_eq_gap,0.0020395166,32
delta_Z,0.0018551163,33
unit_cell_volume,0.0017842689,34
labelled_2nd,0.0016457536,35
bond_cv,0.0016362427,36
min_bond_length,0.0015159165,37
max_bond_length,0.001400178,38
nonmag_min_angle,0.0013955971,39
avg_long_axis,0.001348163,40
d_global_local_1st,0.0013465337,41
avg_bond_length,0.0013430935,42
nonmagnetic_atomic_number,0.0013200459,43
nonmag_angle_spread,0.0012881391,44
global_2nd,0.0012728778,45
bond_range,0.0011853806,46
abs_delta_chi,0.0010720333,47
motif0_nonmag_count,0.0009792314,48
center_angle_spread,0.0009689523,49
nonmagnetic_electronegativity,0.0007816087,50
std_bond_length,0.0006143848,51
dimension,0.0,52
