feature,mean_abs_shap,rank
p_metric,0.09884457,1
packing_fraction,0.030393327,2
pd_ratio,0.024142861,3
p_metric_std,0.01851213,4
labelled_1st,0.015837593,5
p_orb_e_non,0.013097466,6
global_1st,0.011059848,7
proxy_M_magnet,0.011054855,8
d_lone_pair,0.0098105585,9
d_orb_e,0.008687256,10
center_std_angle,0.008273149,11
center_avg_angle,0.0074928952,12
nonmag_std_angle,0.006265862,13
abs_delta_Z,0.0061616073,14
avg_delta,0.0055893958,15
hungarian_rotation_angle_deg,0.005303523,16
magnetic_atomic_number,0.0051146983,17
delta_chi,0.0042489236,18
center_max_angle,0.0040820558,19
magnetic_electronegativity,0.0040514055,20
labelled_3rd,0.0034820589,21
center_min_angle,0.0034353547,22
avg_motif_measure,0.0032391294,23
avg_short_axis,0.0031636269,24
delta_chi_times_axeq,0.0028419634,25
avg_axis_ratio,0.0028380915,26
nonmag_max_angle,0.0028175805,27
d_global_local_2nd,0.002531147,28
d_global_local_3rd,0.0024557982,29
unit_cell_volume,0.0024462156,30
avg_s,0.0023117797,31
ax_eq_gap,0.0022121908,32
d_global_local_1st,0.002121963,33
global_3rd,0.0020791593,34
delta_Z,0.0017103147,35
nonmag_min_angle,0.0016993163,36
min_bond_length,0.0015715947,37
nonmag_angle_spread,0.0014675888,38
labelled_2nd,0.0014171181,39
nonmagnetic_electronegativity,0.0012470258,40
avg_bond_length,0.0011819869,41
bond_range,0.0011745304,42
avg_long_axis,0.0011119929,43
nonmagnetic_atomic_number,0.001064101,44
bond_cv,0.0010030452,45
center_angle_spread,0.0009980104,46
abs_delta_chi,0.0009877628,47
global_2nd,0.00093598914,48
max_bond_length,0.00071866636,49
std_bond_length,0.00062147406,50
motif0_nonmag_count,0.0005256204,51
dimension,0.0,52
