name,k_id,band,status,sse_rank,cos_rank,best_band,best_cos,split_at_best,dcos,dband,gap_up,gap_dn,degenerate,type,direction,host
POSCAR_Ag2F6_3,62,32,ok,0.0420,1.0000,32,1.0000,0.0420,0.0000,0,0.1414,0.2068,0,rank_ok,,nurion
POSCAR_Ag2F6_3_st950,62,32,ok,0.0363,1.0000,32,1.0000,0.0363,0.0000,0,0.1919,0.2440,0,rank_ok,,nurion
POSCAR_Ag2F6_3_st975,62,32,ok,0.0388,1.0000,32,1.0000,0.0388,0.0000,0,0.1659,0.2235,0,rank_ok,,nurion
POSCAR_Ag2F6_3_x950,170,32,ok,0.0033,1.0000,32,1.0000,0.0033,0.0000,0,0.0984,0.0925,0,rank_ok,,nurion
POSCAR_Ag2F6_3_y950,227,31,ok,0.0052,1.0000,31,1.0000,0.0052,0.0000,0,0.0271,0.0171,1,rank_ok,,nurion
POSCAR_Ag2F6_3_y975,5,31,ok,0.0084,1.0000,31,1.0000,0.0084,0.0000,0,0.0536,0.0384,1,rank_ok,,nurion
POSCAR_Ag2F6_3_z025,102,32,ok,0.0562,1.0000,32,1.0000,0.0562,0.0000,0,0.2239,0.1271,0,rank_ok,,nurion
POSCAR_Ag2F6_3_z950,5,31,ok,0.0154,1.0000,33,1.0000,0.1515,0.0000,2,0.0561,0.0269,1,rank_ok,,nurion
POSCAR_Ag2F6_3_z975,30,31,ok,0.0640,1.0000,33,1.0000,0.0809,0.0000,2,0.0171,0.1373,1,rank_ok,,nurion
POSCAR_Al10Fe2_1,55,18,ok,0.0429,0.9999,18,0.9999,0.0429,0.0000,0,0.1722,0.1999,0,rank_ok,,nurion
POSCAR_Al10Fe2_1_st950,55,18,ok,0.0190,1.0000,18,1.0000,0.0190,0.0000,0,0.2343,0.2525,0,rank_ok,,nurion
POSCAR_Al10Fe2_1_st975,92,21,ok,0.0427,0.9998,21,0.9998,0.0427,0.0000,0,0.1402,0.1984,0,rank_ok,,nurion
POSCAR_Al10Fe2_1_x025,28,21,ok,0.0212,1.0000,21,1.0000,0.0212,0.0000,0,0.1880,0.2108,0,rank_ok,,nurion
POSCAR_Al10Fe2_1_x975,63,17,ok,0.0471,0.9998,17,0.9998,0.0471,0.0000,0,0.3093,0.3739,0,rank_ok,,nurion
POSCAR_Al10Fe2_1_y975,62,17,ok,0.0336,0.9999,17,0.9999,0.0336,0.0000,0,0.2064,0.2449,0,rank_ok,,nurion
POSCAR_Al10Fe2_1_z050,61,22,ok,0.0218,0.9996,22,0.9996,0.0218,0.0000,0,0.0642,0.0393,1,rank_ok,,nurion
POSCAR_Al2Fe2_2,511,12,ok,0.0827,0.9999,12,0.9999,0.0827,0.0000,0,0.7805,0.8613,0,rank_ok,,nurion
POSCAR_Al2Fe2_2_st025,374,11,ok,0.0130,1.0000,11,1.0000,0.0130,0.0000,0,0.1645,0.1446,0,rank_ok,,nurion
POSCAR_Al2Fe2_2_st950,373,12,ok,0.0134,1.0000,12,1.0000,0.0134,0.0000,0,0.4483,0.4659,0,rank_ok,,nurion
POSCAR_Al2Fe2_2_x025,124,12,ok,0.0277,1.0000,12,1.0000,0.0277,0.0000,0,0.7871,0.7550,0,rank_ok,,nurion
POSCAR_Al2Fe2_2_x050,374,11,ok,0.0070,1.0000,11,1.0000,0.0070,0.0000,0,0.3170,0.3060,0,rank_ok,,nurion
POSCAR_Al2Fe2_2_x950,408,11,ok,0.0109,1.0000,11,1.0000,0.0109,0.0000,0,0.7069,0.7244,0,rank_ok,,nurion
POSCAR_Al2Fe2_2_x975,374,11,ok,0.0319,1.0000,11,1.0000,0.0319,0.0000,0,0.6187,0.6493,0,rank_ok,,nurion
POSCAR_Al2Fe2_2_y025,172,12,ok,0.0148,1.0000,12,1.0000,0.0148,0.0000,0,0.9370,0.9214,0,rank_ok,,nurion
POSCAR_Al2Fe2_2_y950,244,11,ok,0.0055,1.0000,11,1.0000,0.0055,0.0000,0,0.3810,0.3858,0,rank_ok,,nurion
POSCAR_Al2Fe2_2_z050,374,11,ok,0.0180,1.0000,11,1.0000,0.0180,0.0000,0,0.7382,0.7572,0,rank_ok,,nurion
POSCAR_Al2Fe2_2_z950,526,12,ok,0.0083,1.0000,12,1.0000,0.0083,0.0000,0,0.3915,0.4003,0,rank_ok,,nurion
POSCAR_Al2Fe2_2_z975,49,12,ok,0.0066,1.0000,12,1.0000,0.0066,0.0000,0,0.5052,0.5123,0,rank_ok,,nurion
POSCAR_Al2Mn2_2,519,16,ok,0.0110,1.0000,16,1.0000,0.0110,0.0000,0,0.8534,0.8410,0,rank_ok,,nurion
POSCAR_Al2Mn2_2_st950,519,16,ok,0.0115,1.0000,16,1.0000,0.0115,0.0000,0,0.8386,0.8262,0,rank_ok,,nurion
POSCAR_Al2Mn2_2_st975,519,16,ok,0.0117,1.0000,16,1.0000,0.0117,0.0000,0,0.8666,0.8544,0,rank_ok,,nurion
POSCAR_Al2Mn2_2_x025,534,16,ok,0.0100,1.0000,16,1.0000,0.0100,0.0000,0,1.0804,1.0843,0,rank_ok,,nurion
POSCAR_Al2Mn2_2_x050,534,16,ok,0.0101,1.0000,16,1.0000,0.0101,0.0000,0,1.0520,1.0561,0,rank_ok,,nurion
POSCAR_Al2Mn2_2_y025,520,16,ok,0.0100,1.0000,16,1.0000,0.0100,0.0000,0,1.0804,1.0843,0,rank_ok,,nurion
POSCAR_Al2Mn2_2_y050,520,16,ok,0.0101,1.0000,16,1.0000,0.0101,0.0000,0,1.0520,1.0561,0,rank_ok,,nurion
POSCAR_Al2Mn2_2_z025,520,16,ok,0.0107,1.0000,16,1.0000,0.0107,0.0000,0,1.1212,1.1246,0,rank_ok,,nurion
POSCAR_Al2Mn2_2_z050,520,16,ok,0.0098,1.0000,16,1.0000,0.0098,0.0000,0,1.1308,1.1342,0,rank_ok,,nurion
POSCAR_Al2Mn2_2_z950,519,16,ok,0.0107,1.0000,16,1.0000,0.0107,0.0000,0,1.0947,1.0827,0,rank_ok,,nurion
POSCAR_Al2Mn2_2_z975,519,16,ok,0.0105,1.0000,16,1.0000,0.0105,0.0000,0,0.9800,0.9670,0,rank_ok,,nurion
POSCAR_Al3Fe2_2,42,13,ok,0.0135,1.0000,13,1.0000,0.0135,0.0000,0,0.3838,0.3785,0,rank_ok,,nurion
POSCAR_Al3Fe2_2_st975,42,13,ok,0.0318,1.0000,13,1.0000,0.0318,0.0000,0,0.4549,0.4606,0,rank_ok,,nurion
POSCAR_Al3Fe2_2_x025,245,10,ok,0.0083,1.0000,10,1.0000,0.0083,0.0000,0,0.5083,0.5205,0,rank_ok,,nurion
POSCAR_Al3Fe2_2_x050,12,10,ok,0.0080,1.0000,10,1.0000,0.0080,0.0000,0,0.4352,0.4501,0,rank_ok,,nurion
POSCAR_Al3Fe2_2_x950,315,10,ok,0.0090,1.0000,10,1.0000,0.0090,0.0000,0,0.3367,0.3439,0,rank_ok,,nurion
POSCAR_Al3Fe2_2_x975,255,10,ok,0.0085,1.0000,10,1.0000,0.0085,0.0000,0,0.3181,0.3240,0,rank_ok,,nurion
POSCAR_Al3Fe2_2_y025,267,13,ok,0.0116,1.0000,13,1.0000,0.0116,0.0000,0,0.9482,0.9689,0,rank_ok,,nurion
POSCAR_Al3Fe2_2_y050,187,13,ok,0.0104,1.0000,13,1.0000,0.0104,0.0000,0,0.9083,0.9204,0,rank_ok,,nurion
POSCAR_Al3Fe2_2_y975,28,13,ok,0.0105,1.0000,13,1.0000,0.0105,0.0000,0,0.7215,0.7335,0,rank_ok,,nurion
POSCAR_Al3Fe2_2_z025,255,10,ok,0.0078,1.0000,10,1.0000,0.0078,0.0000,0,0.3013,0.3065,0,rank_ok,,nurion
POSCAR_Al3Fe2_2_z050,120,14,ok,0.0137,1.0000,14,1.0000,0.0137,0.0000,0,0.5225,0.5366,0,rank_ok,,nurion
POSCAR_Al3Fe2_2_z950,11,10,ok,0.0086,1.0000,10,1.0000,0.0086,0.0000,0,0.1055,0.0930,0,rank_ok,,nurion
POSCAR_Al3Fe2_2_z975,255,10,ok,0.0087,1.0000,10,1.0000,0.0087,0.0000,0,0.3450,0.3530,0,rank_ok,,nurion
POSCAR_Al5Mn2_1,241,20,ok,0.0155,1.0000,20,1.0000,0.0155,0.0000,0,0.2395,0.2504,0,rank_ok,,nurion
POSCAR_Al5Mn2_1_st025,241,20,ok,0.0139,0.9999,20,0.9999,0.0139,0.0000,0,0.4053,0.4171,0,rank_ok,,nurion
POSCAR_Al5Mn2_1_st050,241,20,ok,0.0151,1.0000,20,1.0000,0.0151,0.0000,0,0.3147,0.2982,0,rank_ok,,nurion
POSCAR_Al5Mn2_1_st975,241,20,ok,0.0158,1.0000,20,1.0000,0.0158,0.0000,0,0.0185,0.0275,1,rank_ok,,nurion
POSCAR_Al5Mn2_1_x025,241,20,ok,0.0153,1.0000,20,1.0000,0.0153,0.0000,0,0.2844,0.2943,0,rank_ok,,nurion
POSCAR_Al5Mn2_1_x050,241,20,ok,0.0156,1.0000,20,1.0000,0.0156,0.0000,0,0.3177,0.3270,0,rank_ok,,nurion
POSCAR_Al5Mn2_1_x950,241,20,ok,0.0148,0.9999,20,0.9999,0.0148,0.0000,0,0.1152,0.1271,0,rank_ok,,nurion
POSCAR_Al5Mn2_1_x975,208,20,ok,0.0149,1.0000,20,1.0000,0.0149,0.0000,0,0.1309,0.1422,0,rank_ok,,nurion
POSCAR_Al5Mn2_1_y025,241,20,ok,0.0151,1.0000,20,1.0000,0.0151,0.0000,0,0.1891,0.2000,0,rank_ok,,nurion
