filename,msg_type,bns,uni
Ag2F6_3,1,2.4,4
Al10Fe2_1,3,141.558,1218
Al2Fe2_2,3,12.60,67
Al2Mn2_2,4,123.348,1008
Al3Fe2_2,3,71.535,633
Al5Mn2_1,3,166.99,1329
As1V2_1,3,12.60,67
As2Cr2_1,1,8.32,39
As2Cr2_4,3,63.460,558
As2Mo2_1,3,109.242,902
As2Mo2_3,3,194.269,1499
As2Mo2_4,3,129.413,1073
As2Nb2_2,3,194.269,1499
As2Ni2_1,3,194.269,1499
As2Ru2_2,3,194.269,1499
As2V2_1,3,63.463,561
As2V2_2,3,109.242,902
As4Cr2_1,3,58.397,495
As4Fe2_1,3,58.397,495
As8Co2_1,3,14.79,86
As8Cr2_1,3,4.9,16
As8Cr2_3,3,14.79,86
B2Co2_5,3,44.231,329
B2Fe2_3,3,63.463,561
B2Fe2_4,3,194.267,1497
B2Fe2_5,3,12.60,67
B2Mo2_4,3,74.559,657
B2Rh2_3,3,194.269,1499
B8Co2_1,3,58.397,495
B8Fe2_1,3,58.397,495
Bi2Co2_1,3,194.269,1499
Bi2Mn2_1,3,194.269,1499
Bi2Nb2_2,3,63.463,561
Bi2Ru2_1,3,63.463,561
Bi2Ti2_1,3,194.269,1499
Bi2V2_1,3,194.269,1499
Bi3Fe2_1,3,65.485,583
Bi3Mn2_1,3,12.60,67
Bi4Cr2_1,3,58.397,495
Bi4Fe2_1,3,58.397,495
Bi4V2_1,3,12.61,68
Bi4V2_2,3,58.397,495
Bi6Cr2_1,1,2.4,4
Bi6Cr2_3,3,12.61,68
Bi6Cr2_4,1,1.1,1
Bi6Fe2_1,3,2.6,6
Bi6Fe2_2,3,167.107,1337
Bi8Co2_1,3,15.89,96
Bi8Cr2_1,3,122.337,997
Bi8Fe2_1,3,2.6,6
Bi8Ru2_1,3,127.393,1053
Br4Cu2_1,3,122.337,997
Br4Mn2_1,3,58.397,495
Br4Mo2_1,3,58.397,495
Br4Ru2_1,3,58.397,495
Br4V2_1,3,58.397,495
Br6Pd2_1,3,9.39,46
C1Co2_1,3,44.231,329
C2Cr2_3,3,109.242,902
C2Cr2_5,3,194.269,1499
C2Fe2_3,3,63.463,561
C2Mo2_4,3,194.269,1499
C2Sc2_4,1,187.209,1439
Cd2F6_3,3,4.9,16
Cl4Co2_1,3,122.337,997
Cl4Fe2_1,3,122.337,997
Cl4Fe2_2,3,58.397,495
Cl4Mn2_1,3,58.397,495
Cl4Nb2_1,3,44.231,329
Cl4Nb2_2,3,136.498,1158
Cl6Mn2_1,3,15.89,96
Cl6Nb2_1,3,5.15,22
Cl6Pd2_1,3,9.39,46
Cl6Pd2_2,3,15.89,96
Cl6Ti2_1,3,9.39,46
Cl6Zr2_1,3,9.39,46
Co2F4_1,3,136.498,1158
Co2F6_1,3,15.89,96
Co2Ge2_1,3,63.463,561
Co2N2_1,1,8.32,39
Co2N6_1,3,15.88,95
Co2O2_1,3,186.206,1436
Co2P2_4,3,186.206,1436
Co2Pb2_4,4,12.63,70
Co2Pb3_1,3,12.60,67
Co2S2_1,3,194.269,1499
Co2Sb3_1,3,164.87,1317
Co2Se2_3,3,186.206,1436
Co2Se4_1,3,58.397,495
Co2Sn4_2,3,136.498,1158
Co2Tl3_1,3,65.483,581
Cr2F4_cluster1,3,14.79,86
Cr2F4_cluster2,3,141.558,1218
Cr2F6_cluster1,3,167.107,1337
Cr2F6_cluster2,3,182.181,1411
Cr2F8_cluster1,3,5.15,22
Cr2F8_cluster2,3,43.227,325
Cr2Ga2_2,4,139.540,1200
Cr2Ge2_3,3,194.269,1499
Cr2Ge3_1,3,12.60,67
Cr2In2_5,1,1.1,1
Cr2In5_1,3,2.6,6
Cr2In8_2,4,2.7,7
Cr2N2_7,3,194.269,1499
Cr2O2_2,3,66.495,593
Cr2O4_2,3,136.498,1158
Cr2P18_1,3,2.6,6
Cr2P4_2,3,58.397,495
Cr2P8_1,3,14.79,86
Cr2P8_2,3,20.34,132
Cr2Pb13_1,3,2.6,6
Cr2Pb8_2,3,67.507,605
Cr2S2_1,3,63.463,561
Cr2S2_2,3,15.89,96
Cr2S2_3,1,1.1,1
Cr2S2_5,3,15.89,96
Cr2Sb2_1,3,194.269,1499
Cr2Sb2_2,4,2.7,7
Cr2Sb3_3,3,42.221,319
Cr2Sb4_1,3,58.397,495
Cr2Sb6_1,3,15.89,96
Cr2Sb8_1,3,2.6,6
Cr2Se2_1,3,15.89,96
Cr2Se2_2,3,15.89,96
Cr2Se4_1,3,58.397,495
Cr2Si4_1,3,140.549,1209
Cr2Sn2_2,3,194.269,1499
Cr2Te2_1,3,63.463,561
Cr2Te4_1,3,58.397,495
Cr2Te8_2,1,2.4,4
Cu2F4_1,3,14.79,86
Cu2F6_1,3,182.181,1411
Cu2F6_2,3,167.107,1337
Cu2O2_1,3,15.89,96
Cu2O2_4,3,40.206,304
Cu2O2_6,3,186.206,1436
Cu2O4_1,3,14.79,86
F10Zr2_1,3,8.34,41
F4Fe2_2,3,2.6,6
F4Mn2_1,3,136.498,1158
