filename,sg,verdict,ops,n_ops,nsym
Ag2F6_3,P-1,compensated_FiM_candidate,,0,2
Ag2F6_3_st950,P-1,compensated_FiM_candidate,,0,2
Ag2F6_3_st975,P-1,compensated_FiM_candidate,,0,2
Ag2F6_3_x950,P-1,compensated_FiM_candidate,,0,2
Ag2F6_3_y950,P-1,compensated_FiM_candidate,,0,2
Ag2F6_3_y975,P-1,compensated_FiM_candidate,,0,2
Ag2F6_3_z025,P-1,compensated_FiM_candidate,,0,2
Ag2F6_3_z950,P-1,compensated_FiM_candidate,,0,2
Ag2F6_3_z975,P-1,compensated_FiM_candidate,,0,2
Al10Fe2_1,I4_1/amd,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,8,16
Al10Fe2_1_st950,I4_1/amd,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,8,16
Al10Fe2_1_st975,I4_1/amd,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,8,16
Al10Fe2_1_x025,C2/m,conventional_AFM_inversion,inversion|rotation,2,4
Al10Fe2_1_x975,C2/m,conventional_AFM_inversion,inversion|rotation,2,4
Al10Fe2_1_y975,C2/m,conventional_AFM_inversion,inversion|rotation,2,4
Al10Fe2_1_z050,C2/c,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4
Al2Fe2_2,C2/m,conventional_AFM_inversion,inversion|rotation,2,4
Al2Fe2_2_st025,C2/m,conventional_AFM_inversion,inversion|rotation,2,4
Al2Fe2_2_st950,C2/m,conventional_AFM_inversion,inversion|rotation,2,4
Al2Fe2_2_x025,P-1,conventional_AFM_inversion,inversion,1,2
Al2Fe2_2_x050,P-1,conventional_AFM_inversion,inversion,1,2
Al2Fe2_2_x950,P-1,conventional_AFM_inversion,inversion,1,2
Al2Fe2_2_x975,P-1,conventional_AFM_inversion,inversion,1,2
Al2Fe2_2_y025,C2/m,conventional_AFM_inversion,inversion|rotation,2,4
Al2Fe2_2_y950,C2/m,conventional_AFM_inversion,inversion|rotation,2,4
Al2Fe2_2_z050,P-1,conventional_AFM_inversion,inversion,1,2
Al2Fe2_2_z950,P-1,conventional_AFM_inversion,inversion,1,2
Al2Fe2_2_z975,P-1,conventional_AFM_inversion,inversion,1,2
Al2Mn2_2,P4/mmm,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,16,32
Al2Mn2_2_st950,P4/mmm,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,16,32
Al2Mn2_2_st975,P4/mmm,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,16,32
Al2Mn2_2_x025,Pmmm,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,8,16
Al2Mn2_2_x050,Pmmm,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,8,16
Al2Mn2_2_y025,Pmmm,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,8,16
Al2Mn2_2_y050,Pmmm,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,8,16
Al2Mn2_2_z025,Pm-3m,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,16,32
Al2Mn2_2_z050,Pm-3m,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,16,32
Al2Mn2_2_z950,P4/mmm,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,16,32
Al2Mn2_2_z975,P4/mmm,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,16,32
Al3Fe2_2,Immm,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8
Al3Fe2_2_st975,Immm,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8
Al3Fe2_2_x025,C2/m,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4
Al3Fe2_2_x050,C2/m,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4
Al3Fe2_2_x950,C2/m,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4
