filename,sg,verdict,ops,n_ops,nsym
Ag2F6_3,P-1,compensated_FiM_candidate,,0,2
Al10Fe2_1,I4_1/amd,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,8,16
Al2Fe2_2,C2/m,conventional_AFM_inversion,inversion|rotation,2,4
Al2Mn2_2,P4/mmm,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,16,32
Al3Fe2_2,Immm,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8
Al5Mn2_1,R-3m,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,6,12
As1V2_1,C2/m,conventional_AFM_inversion,inversion|rotation,2,4
As2Cr2_1,Cm,compensated_FiM_candidate,,0,2
As2Cr2_4,Cmcm,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8
As2Mo2_1,I4_1md,ALTERMAGNET,mirror/rotoinv|rotation,4,8
As2Mo2_3,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
As2Mo2_4,P4/nmm,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,8,16
As2Nb2_2,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
As2Ni2_1,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
As2Ru2_2,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
As2V2_1,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
As2V2_2,I4_1md,ALTERMAGNET,mirror/rotoinv|rotation,4,8
As4Cr2_1,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
As4Fe2_1,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
As8Co2_1,P2_1/c,ALTERMAGNET,mirror/rotoinv|rotation,2,4
As8Cr2_1,P2_1,ALTERMAGNET,rotation,1,2
As8Cr2_3,P2_1/c,ALTERMAGNET,mirror/rotoinv|rotation,2,4
B2Co2_5,Imm2,ALTERMAGNET,mirror/rotoinv|rotation,2,4
B2Fe2_3,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
B2Fe2_4,P6_3/mmc,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,12,24
B2Fe2_5,C2/m,conventional_AFM_inversion,inversion|rotation,2,4
B2Mo2_4,Imma,ALTERMAGNET,mirror/rotoinv|rotation,4,8
B2Rh2_3,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
B8Co2_1,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
B8Fe2_1,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Bi2Co2_1,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Bi2Mn2_1,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Bi2Nb2_2,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Bi2Ru2_1,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Bi2Ti2_1,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Bi2V2_1,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Bi3Fe2_1,Cmmm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Bi3Mn2_1,C2/m,conventional_AFM_inversion,inversion|rotation,2,4
Bi4Cr2_1,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Bi4Fe2_1,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Bi4V2_1,C2/m,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4
Bi4V2_2,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Bi6Cr2_1,P-1,compensated_FiM_candidate,,0,2
Bi6Cr2_3,C2/m,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4
Bi6Cr2_4,P1,compensated_FiM_candidate,,0,1
Bi6Fe2_1,P-1,conventional_AFM_inversion,inversion,1,2
Bi6Fe2_2,R-3c,ALTERMAGNET,mirror/rotoinv|rotation,6,12
Bi8Co2_1,C2/c,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Bi8Cr2_1,I-42d,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Bi8Fe2_1,P-1,conventional_AFM_inversion,inversion,1,2
Bi8Ru2_1,P4/mbm,ALTERMAGNET,mirror/rotoinv|rotation,8,16
Br4Cu2_1,I-42d,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Br4Mn2_1,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Br4Mo2_1,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Br4Ru2_1,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Br4V2_1,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Br6Pd2_1,Cc,ALTERMAGNET,mirror/rotoinv,1,2
C1Co2_1,Imm2,ALTERMAGNET,mirror/rotoinv|rotation,2,4
C2Cr2_3,I4_1md,ALTERMAGNET,mirror/rotoinv|rotation,4,8
C2Cr2_5,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
C2Fe2_3,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
C2Mo2_4,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
C2Sc2_4,P-6m2,compensated_FiM_candidate,,0,12
Cd2F6_3,P2_1,ALTERMAGNET,rotation,1,2
Cl4Co2_1,I-42d,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Cl4Fe2_1,I-42d,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Cl4Fe2_2,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Cl4Mn2_1,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Cl4Nb2_1,Imm2,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Cl4Nb2_2,P4_2/mnm,ALTERMAGNET,mirror/rotoinv|rotation,8,16
Cl6Mn2_1,C2/c,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Cl6Nb2_1,C2,ALTERMAGNET,rotation,1,2
Cl6Pd2_1,Cc,ALTERMAGNET,mirror/rotoinv,1,2
Cl6Pd2_2,C2/c,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Cl6Ti2_1,Cc,ALTERMAGNET,mirror/rotoinv,1,2
Cl6Zr2_1,Cc,ALTERMAGNET,mirror/rotoinv,1,2
Co2F4_1,P4_2/mnm,ALTERMAGNET,mirror/rotoinv|rotation,8,16
Co2F6_1,C2/c,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Co2Ge2_1,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Co2N2_1,Cm,compensated_FiM_candidate,,0,2
Co2N6_1,C2/c,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4
Co2O2_1,P6_3mc,ALTERMAGNET,mirror/rotoinv|rotation,6,12
Co2P2_4,P6_3mc,ALTERMAGNET,mirror/rotoinv|rotation,6,12
Co2Pb2_4,C2/m,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,4,8
Co2Pb3_1,C2/m,conventional_AFM_inversion,inversion|rotation,2,4
Co2S2_1,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Co2Sb3_1,P-3m1,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,6,12
Co2Se2_3,P6_3mc,ALTERMAGNET,mirror/rotoinv|rotation,6,12
Co2Se4_1,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Co2Sn4_2,P4_2/mnm,ALTERMAGNET,mirror/rotoinv|rotation,8,16
Co2Tl3_1,Cmmm,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8
Cr2F4_cluster1,P2_1/c,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Cr2F4_cluster2,I4_1/amd,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,8,16
Cr2F6_cluster1,R-3c,ALTERMAGNET,mirror/rotoinv|rotation,6,12
Cr2F6_cluster2,P6_322,ALTERMAGNET,rotation,6,12
Cr2F8_cluster1,C2,ALTERMAGNET,rotation,1,2
Cr2F8_cluster2,Fdd2,ALTERMAGNET,mirror/rotoinv,2,4
Cr2Ga2_2,P4/mmm,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,16,32
Cr2Ge2_3,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Cr2Ge3_1,C2/m,conventional_AFM_inversion,inversion|rotation,2,4
Cr2In2_5,P1,compensated_FiM_candidate,,0,1
Cr2In5_1,P-1,conventional_AFM_inversion,inversion,1,2
Cr2In8_2,P-1,conventional_AFM_translation,inversion|translation,2,4
Cr2N2_7,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Cr2O2_2,Cccm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Cr2O4_2,P4_2/mnm,ALTERMAGNET,mirror/rotoinv|rotation,8,16
Cr2P18_1,P-1,conventional_AFM_inversion,inversion,1,2
Cr2P4_2,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Cr2P8_1,P2_1/c,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Cr2P8_2,C222_1,ALTERMAGNET,rotation,2,4
Cr2Pb13_1,P-1,conventional_AFM_inversion,inversion,1,2
Cr2Pb8_2,Cmme,conventional_AFM_inversion,inversion|mirror/rotoinv,4,8
Cr2S2_1,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Cr2S2_2,C2/c,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Cr2S2_3,P1,compensated_FiM_candidate,,0,1
Cr2S2_5,C2/c,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Cr2Sb2_1,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Cr2Sb2_2,P-1,conventional_AFM_translation,inversion|translation,2,4
Cr2Sb3_3,Fmm2,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Cr2Sb4_1,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Cr2Sb6_1,C2/c,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Cr2Sb8_1,P-1,conventional_AFM_inversion,inversion,1,2
Cr2Se2_1,C2/c,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Cr2Se2_2,C2/c,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Cr2Se4_1,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Cr2Si4_1,I4/mcm,conventional_AFM_inversion,inversion|mirror/rotoinv,8,16
Cr2Sn2_2,P6_3/mmc,ALTERMAGNET,mirror/rotoinv|rotation,12,24
Cr2Te2_1,Cmcm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Cr2Te4_1,Pnnm,ALTERMAGNET,mirror/rotoinv|rotation,4,8
Cr2Te8_2,P-1,compensated_FiM_candidate,,0,2
Cu2F4_1,P2_1/c,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Cu2F6_1,P6_322,ALTERMAGNET,rotation,6,12
Cu2F6_2,R-3c,ALTERMAGNET,mirror/rotoinv|rotation,6,12
Cu2O2_1,C2/c,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Cu2O2_4,Ama2,ALTERMAGNET,mirror/rotoinv|rotation,2,4
Cu2O2_6,P6_3mc,ALTERMAGNET,mirror/rotoinv|rotation,6,12
Cu2O4_1,P2_1/c,ALTERMAGNET,mirror/rotoinv|rotation,2,4
F10Zr2_1,Cm,ALTERMAGNET,mirror/rotoinv,1,2
F4Fe2_2,P-1,conventional_AFM_inversion,inversion,1,2
F4Mn2_1,P4_2/mnm,ALTERMAGNET,mirror/rotoinv|rotation,8,16
F4Ni2_1,P4_2/mnm,ALTERMAGNET,mirror/rotoinv|rotation,8,16
F4Sc2_1,P4_2/mnm,ALTERMAGNET,mirror/rotoinv|rotation,8,16
