name,dir,status,ef,nelect,nkpts,nbands,n_pairs,n_kpts_used,sse_max,sse_p99,sse_p95,sse_p90,sse_p50,sse_mean_w,sse_kmax_mean_w,sse_max_over_p95,sse_max_win_both,sse_max_win_either,band,k_id,kx,ky,kz,e_up,e_dn,k_weight_at_max,eigenval,outcar
NiS|base,/scratch/e1398a04/Altermagnetism/NiS_conv/base,ok,6.8703,32,1460,32,3414,1457,0.8706569999999996,0.743423,0.6172249999999995,0.4947309999999998,0.14418500000000023,0.19657659972351202,0.23623625090642028,1.4105990522094864,0.8706569999999996,0.8706569999999996,16,609,-0.3333333,0.3333333,0.2222222,6.281528,5.410871,0.0006858711,EIGENVAL,OUTCAR
NiS|k133,/scratch/e1398a04/Altermagnetism/NiS_conv/k133,ok,6.8703,32,3460,32,8013,3457,0.8962560000000002,0.7503729999999997,0.610004,0.5128920000000008,0.13536400000000004,0.19170344850925686,0.23021718847898326,1.4692624966393666,0.8962560000000002,0.8962560000000002,16,1651,-0.3333333,0.3333333,0.25,6.280191,5.383935,0.0002893519,EIGENVAL,OUTCAR
NiS|k150,/scratch/e1398a04/Altermagnetism/NiS_conv/k150,ok,6.8085,32,5104,32,12228,5101,0.8740749999999995,0.7604870000000004,0.6105110000000007,0.5022089999999997,0.12731599999999954,0.19201653406771643,0.2324102496171203,1.4317104851509612,0.8740749999999995,0.8740749999999995,16,3048,0.3333333,-0.3333333,0.2857143,5.37478,6.248855,0.0001959632,EIGENVAL,OUTCAR
NiS|k200,/scratch/e1398a04/Altermagnetism/NiS_conv/k200,ok,6.8703,32,11668,32,27078,11645,0.8961990000000002,0.739871,0.614141,0.5029250000000003,0.13619100000000017,0.1959258181028349,0.23530084202389562,1.4592723820751263,0.8961990000000002,0.8961990000000002,16,6711,0.3333333,-0.3333333,0.2777778,5.36257,6.258769,8.573388e-05,EIGENVAL,OUTCAR
NiS|enc600,/scratch/e1398a04/Altermagnetism/NiS_conv/enc600,ok,6.8701,32,1460,32,3414,1457,0.87066,0.743417,0.61721,0.4947360000000005,0.14418000000000042,0.19657603613248892,0.23623671344937533,1.4106381944556956,0.87066,0.87066,16,609,-0.3333333,0.3333333,0.2222222,6.281176,5.410516,0.0006858711,EIGENVAL,OUTCAR
NiS|enc625,/scratch/e1398a04/Altermagnetism/NiS_conv/enc625,ok,6.87,32,1460,32,3414,1457,0.870647,0.7434080000000005,0.6172110000000002,0.4947500000000007,0.14417999999999953,0.1965754022759533,0.23623469764181512,1.4106148464625545,0.870647,0.870647,16,609,-0.3333333,0.3333333,0.2222222,6.281022,5.410375,0.0006858711,EIGENVAL,OUTCAR
NiS|enc700,/scratch/e1398a04/Altermagnetism/NiS_conv/enc700,ok,6.8698,32,1460,32,3414,1457,0.8706549999999993,0.7434260000000004,0.6171980000000001,0.494726,0.14418600000000037,0.1965725042269571,0.23623055296827472,1.4106575199530769,0.8706549999999993,0.8706549999999993,16,609,-0.3333333,0.3333333,0.2222222,6.280847,5.410192,0.0006858711,EIGENVAL,OUTCAR
NiS|sig0005,/scratch/e1398a04/Altermagnetism/NiS_conv/sig0005,ok,6.8703,32,1460,32,3414,1457,0.8706569999999996,0.743423,0.6172249999999995,0.4947309999999998,0.14418500000000023,0.19657659972351202,0.23623625090642028,1.4105990522094864,0.8706569999999996,0.8706569999999996,16,609,-0.3333333,0.3333333,0.2222222,6.281528,5.410871,0.0006858711,EIGENVAL,OUTCAR
NiS|sig002,/scratch/e1398a04/Altermagnetism/NiS_conv/sig002,ok,6.8703,32,1460,32,3414,1457,0.8706569999999996,0.743423,0.6172249999999995,0.4947309999999998,0.14418500000000023,0.19657659972351202,0.23623625090642028,1.4105990522094864,0.8706569999999996,0.8706569999999996,16,609,-0.3333333,0.3333333,0.2222222,6.281528,5.410871,0.0006858711,EIGENVAL,OUTCAR
NiS|sig005,/scratch/e1398a04/Altermagnetism/NiS_conv/sig005,ok,6.9787,32,1460,32,3168,1451,0.8706569999999996,0.7435130000000001,0.6309070000000006,0.4965060000000001,0.14798500000000026,0.19958684305454596,0.23462173641709494,1.380008464004994,0.8706569999999996,0.8706569999999996,16,609,-0.3333333,0.3333333,0.2222222,6.281528,5.410871,0.0006858711,EIGENVAL,OUTCAR
