filename,m1_muB,m2_muB,m_total_muB,condition_met
POSCAR_Ag2F6_3,0.102,-0.102,0.0,True
POSCAR_Ag2F6_3_st950,0.078,-0.078,-0.0,True
POSCAR_Ag2F6_3_st975,0.088,-0.088,-0.0,True
POSCAR_Al10Fe2_1,3.038,-3.04,-0.002,True
POSCAR_Al10Fe2_1_st950,2.798,-2.802,-0.002,True
POSCAR_Al10Fe2_1_st975,2.935,-2.938,-0.003,True
POSCAR_Al2Fe2_2,3.074,-3.077,-0.004,True
POSCAR_Al2Fe2_2_st025,3.225,-3.226,-0.002,True
POSCAR_Al2Fe2_2_st950,2.67,-2.67,0.0,True
POSCAR_Al2Mn2_2,4.106,-4.103,0.003,True
POSCAR_Al2Mn2_2_st950,3.786,-3.784,0.002,True
POSCAR_Al2Mn2_2_st975,3.947,-3.943,0.004,True
POSCAR_Al3Fe2_2,2.842,-2.842,0.001,True
POSCAR_Al3Fe2_2_st975,2.627,-2.628,0.0,True
POSCAR_Al5Mn2_1,4.217,-4.216,0.001,True
POSCAR_Al5Mn2_1_st025,4.311,-4.312,-0.001,True
POSCAR_Al5Mn2_1_st050,4.388,-4.388,0.001,True
POSCAR_Al5Mn2_1_st975,4.1,-4.098,0.003,True
POSCAR_As1V2_1,2.554,-2.551,0.003,True
POSCAR_As1V2_1_st050,2.682,-2.68,0.002,True
POSCAR_As2Cr2_1,3.992,-3.994,-0.004,True
POSCAR_As2Cr2_1_st025,4.034,-4.036,-0.003,True
POSCAR_As2Cr2_1_st950,3.874,-3.872,0.001,True
POSCAR_As2Cr2_1_st975,3.942,-3.94,0.001,True
POSCAR_As2Cr2_4,4.085,-4.085,0.001,True
POSCAR_As2Cr2_4_st025,4.129,-4.128,0.002,True
POSCAR_As2Cr2_4_st050,4.159,-4.159,0.0,True
POSCAR_As2Cr2_4_st950,3.959,-3.958,0.003,True
POSCAR_As2Cr2_4_st975,4.033,-4.033,0.0,True
POSCAR_As2Mo2_1,2.34,-2.34,0.0,True
POSCAR_As2Mo2_1_st025,2.586,-2.586,0.0,True
POSCAR_As2Mo2_1_st050,2.799,-2.799,-0.0,True
POSCAR_As2Mo2_1_st950,1.341,-1.341,-0.0,True
POSCAR_As2Mo2_1_st975,2.032,-2.032,-0.0,True
POSCAR_As2Mo2_3,1.29,-1.294,-0.004,True
POSCAR_As2Mo2_3_st975,0.055,-0.056,-0.001,True
POSCAR_As2Mo2_4,1.662,-1.664,-0.003,True
POSCAR_As2Mo2_4_st025,2.103,-2.103,-0.002,True
POSCAR_As2Mo2_4_st050,2.589,-2.584,0.004,True
POSCAR_As2Mo2_4_st975,1.04,-1.038,0.001,True
POSCAR_As2Nb2_2,0.006,-0.004,0.002,True
POSCAR_As2Ni2_1,0.019,-0.02,-0.001,True
POSCAR_As2Ru2_2,1.052,-1.05,0.002,True
POSCAR_As2Ru2_2_st025,1.184,-1.183,0.001,True
POSCAR_As2Ru2_2_st050,1.471,-1.475,-0.004,True
POSCAR_As2Ru2_2_st950,0.824,-0.825,-0.0,True
POSCAR_As2Ru2_2_st975,0.923,-0.922,0.001,True
POSCAR_As2Ru2_2_x025,1.145,-1.152,-0.006,True
POSCAR_As2Ru2_2_x050,1.246,-1.251,-0.005,True
POSCAR_As2Ru2_2_x950,1.095,-1.091,0.004,True
POSCAR_As2Ru2_2_x975,1.04,-1.038,0.002,True
POSCAR_As2Ru2_2_y025,1.085,-1.078,0.006,True
POSCAR_As2Ru2_2_y050,1.245,-1.228,0.016,False
POSCAR_As2Ru2_2_y950,1.121,-1.122,-0.0,True
POSCAR_As2Ru2_2_y975,1.044,-1.044,0.0,True
POSCAR_As2Ru2_2_z025,1.138,-1.138,-0.0,True
POSCAR_As2Ru2_2_z050,1.31,-1.303,0.007,True
POSCAR_As2Ru2_2_z950,0.865,-0.865,0.001,True
POSCAR_As2Ru2_2_z975,0.952,-0.952,0.0,True
POSCAR_As2V2_1,2.19,-2.19,0.0,True
POSCAR_As2V2_1_st025,2.264,-2.264,0.0,True
POSCAR_As2V2_1_st050,2.336,-2.336,0.0,True
POSCAR_As2V2_1_st950,2.027,-2.027,0.0,True
POSCAR_As2V2_1_st975,2.116,-2.116,0.0,True
POSCAR_As2V2_2,2.237,-2.238,-0.001,True
POSCAR_As2V2_2_st025,2.339,-2.339,-0.001,True
POSCAR_As2V2_2_st050,2.426,-2.427,-0.001,True
POSCAR_As2V2_2_st950,1.892,-1.893,-0.0,True
POSCAR_As2V2_2_st975,2.103,-2.104,-0.001,True
POSCAR_As4Cr2_1,3.659,-3.659,-0.001,True
POSCAR_As4Cr2_1_st025,3.752,-3.752,-0.0,True
POSCAR_As4Cr2_1_st050,3.838,-3.838,-0.0,True
POSCAR_As4Cr2_1_st950,3.429,-3.429,-0.0,True
POSCAR_As4Cr2_1_st975,3.549,-3.55,-0.001,True
POSCAR_As4Fe2_1,3.229,-3.229,0.0,True
POSCAR_As4Fe2_1_st050,3.415,-3.415,0.0,True
POSCAR_As4Fe2_1_st950,2.32,-2.32,-0.0,True
POSCAR_As4Fe2_1_st975,2.708,-2.708,0.0,True
POSCAR_As8Co2_1,0.192,-0.196,-0.003,True
POSCAR_As8Co2_1_st025,-0.0,-0.004,-0.001,True
POSCAR_As8Co2_1_st050,0.006,0.008,0.002,True
POSCAR_As8Co2_1_st975,0.066,-0.065,0.0,True
POSCAR_As8Cr2_1,3.817,-3.815,0.004,True
POSCAR_As8Cr2_1_st025,3.889,-3.887,0.004,True
POSCAR_As8Cr2_1_st050,3.948,-3.947,0.003,True
POSCAR_As8Cr2_1_st950,3.599,-3.599,0.001,True
POSCAR_As8Cr2_1_st975,3.726,-3.725,0.001,True
POSCAR_As8Cr2_3,3.844,-3.844,0.0,True
POSCAR_As8Cr2_3_st025,3.897,-3.897,0.0,True
POSCAR_As8Cr2_3_st050,3.943,-3.943,0.0,True
POSCAR_As8Cr2_3_st950,3.696,-3.696,0.001,True
POSCAR_As8Cr2_3_st975,3.78,-3.779,0.001,True
POSCAR_B2Co2_5,0.465,-0.468,-0.003,True
POSCAR_B2Co2_5_st950,0.247,-0.247,0.0,True
POSCAR_B2Co2_5_st975,0.343,-0.343,-0.001,True
POSCAR_B2Fe2_3,2.429,-2.428,0.001,True
POSCAR_B2Fe2_3_st025,2.631,-2.63,0.001,True
POSCAR_B2Fe2_3_st950,1.755,-1.755,0.0,True
