filename,msg_type,bns,uni
Cu2O2_1,1,15.85,92
Cr2O2_2,1,66.491,589
Mo2O3_1,3,10.46,53
Cr2Sb2_1,3,194.268,1498
N2V2_1,1,9.37,44
Fe2P2_1,3,194.268,1498
Ni2Te2_1,3,63.464,562
C2Cr2_3,1,9.37,44
Cr2Te2_1,3,63.464,562
Mo2Sb2_2,3,63.464,562
Ge2Mn2_2,3,194.268,1498
Cr2P8_1,1,14.75,82
B8Fe2_1,3,58.398,496
Fe2Te2_1,3,63.464,562
B2Mo2_4,1,2.4,4
Ni2Se2_2,3,194.268,1498
Ni2Se2_1,3,194.268,1498
Fe2Sn2_1,1,15.85,92
Mn2S2_1,3,194.268,1498
As8Cr2_3,1,14.75,82
Fe2Si2_3,3,194.268,1498
Fe2P8_1,1,14.75,82
Mn2Se2_2,3,194.268,1498
As2V2_2,1,9.37,44
Co2S2_1,3,194.268,1498
Ru2Sn2_3,3,194.268,1498
Mo2Te2_1,1,15.85,92
Fe2O2_8,1,15.85,92
B8Co2_1,3,58.398,496
P2V2_2,1,9.37,44
Mn2N2_3,1,15.85,92
C2Fe2_3,3,63.464,562
Mn2Sb4_1,3,58.398,496
Mo2Se2_1,1,9.37,44
As2Mo2_1,1,9.37,44
Bi4Fe2_1,3,58.398,496
Fe2Ge2_1,3,194.268,1498
Fe2Se2_1,3,194.268,1498
Mn2O2_6,1,15.85,92
Ni2P8_1,1,14.75,82
Mn2Te2_1,3,194.268,1498
Mn2Se2_3,3,36.174,272
As4Fe2_1,3,58.398,496
Cr2Sn2_2,3,194.268,1498
O4Rh2_1,3,58.398,496
Bi3Fe2_1,3,65.486,584
S2V2_2,1,9.37,44
Cr2S2_1,3,63.464,562
Mo2O4_2,3,14.79,86
Cr2N2_7,3,194.268,1498
As2Cr2_1,1,1.1,1
Cr2Sb3_3,1,5.13,20
Cr2S2_5,1,2.4,4
Ge4V2_1,1,2.4,4
Cr2S2_2,1,15.85,92
Co2N2_1,3,8.34,41
Mo2N2_2,3,194.268,1498
Se2Ti2_4,1,9.37,44
Bi2Co2_1,3,194.268,1498
Nb2Te2_4,3,194.268,1498
