filename,ion1 tot
POSCAR_Ag2F6_3,0.102
POSCAR_Ag2F6_3_st950,0.078
POSCAR_Ag2F6_3_st975,0.088
POSCAR_Ag2F6_3_x950,0.004
POSCAR_Ag2F6_3_y025,0.132
POSCAR_Ag2F6_3_y950,0.006
POSCAR_Ag2F6_3_y975,0.008
POSCAR_Ag2F6_3_z025,0.109
POSCAR_Ag2F6_3_z950,0.015
POSCAR_Ag2F6_3_z975,0.096
POSCAR_Al10Fe2_1,3.038
POSCAR_Al10Fe2_1_st950,2.798
POSCAR_Al10Fe2_1_st975,2.935
POSCAR_Al10Fe2_1_x025,3.065
POSCAR_Al10Fe2_1_x050,3.09
POSCAR_Al10Fe2_1_x975,3.004
POSCAR_Al10Fe2_1_y050,3.084
POSCAR_Al10Fe2_1_y950,2.967
POSCAR_Al10Fe2_1_y975,3.007
POSCAR_Al10Fe2_1_z025,3.057
POSCAR_Al10Fe2_1_z050,3.26
POSCAR_Al10Fe2_1_z950,2.932
POSCAR_Al10Fe2_1_z975,3.001
POSCAR_Al2Fe2_2,3.074
POSCAR_Al2Fe2_2_st025,3.225
POSCAR_Al2Fe2_2_st950,2.67
POSCAR_Al2Fe2_2_x025,3.16
POSCAR_Al2Fe2_2_x050,3.175
POSCAR_Al2Fe2_2_x950,2.784
POSCAR_Al2Fe2_2_x975,2.824
POSCAR_Al2Fe2_2_y025,3.138
POSCAR_Al2Fe2_2_y050,3.179
POSCAR_Al2Fe2_2_y950,2.804
POSCAR_Al2Fe2_2_z025,2.889
POSCAR_Al2Fe2_2_z050,2.914
POSCAR_Al2Fe2_2_z950,2.938
POSCAR_Al2Fe2_2_z975,3.055
POSCAR_Al2Mn2_2,4.106
POSCAR_Al2Mn2_2_st950,3.786
POSCAR_Al2Mn2_2_st975,3.947
POSCAR_Al2Mn2_2_x025,4.154
POSCAR_Al2Mn2_2_x050,4.201
POSCAR_Al2Mn2_2_x950,3.984
POSCAR_Al2Mn2_2_x975,4.044
POSCAR_Al2Mn2_2_y025,4.154
