name,k_id,band,status,nions,cos_l_sum,cos_l_ion,cos_l_swap,cos_m_sum,cos_m_ion,norm_up,norm_dn,procar,host
POSCAR_Ag2F6_3,62,32,ok,8,0.9999692597233273,0.8001972435788184,0.8917163519960998,0.9912026850006391,0.7475943922612538,0.921,0.925,PROCAR,nurion
POSCAR_Ag2F6_3_st950,62,32,ok,8,0.9999851064561709,0.9064730090945949,0.843388909192193,0.9954685359885291,0.8818003692757298,0.938,0.944,ToBeDelete_PROCAR,nurion
POSCAR_Ag2F6_3_st975,62,32,ok,8,0.9999988692644948,0.8681291051016768,0.8589059175726963,0.9942339388053225,0.8349098582272827,0.9260000000000002,0.929,PROCAR,nurion
POSCAR_Ag2F6_3_x950,170,32,ok,8,0.9999993358999874,0.9999983025388387,0.161181127972048,0.9999965306448407,0.99999410986865,0.9349999999999999,0.9359999999999999,PROCAR,nurion
POSCAR_Ag2F6_3_y950,227,31,ok,8,0.9999993460983394,0.9999948414686897,0.14419112942331236,0.9999973212014964,0.9999864790105626,0.9389999999999998,0.938,PROCAR,nurion
POSCAR_Ag2F6_3_y975,5,31,ok,8,0.9999974147115225,0.9999929558051895,0.14531183860012645,0.9999962934231383,0.9999841567010207,0.9350000000000002,0.9370000000000002,PROCAR,nurion
POSCAR_Ag2F6_3_z025,102,32,ok,8,0.9999526629680819,0.8643648400112598,0.779143820369911,0.9877377548483814,0.8541618048878843,0.9199999999999999,0.9160000000000001,PROCAR,nurion
POSCAR_Ag2F6_3_z950,5,31,ok,8,0.9999955289798653,0.9999805434871513,0.13548694466428216,0.9999936142068401,0.9999731857903247,0.9359999999999999,0.9390000000000001,PROCAR,nurion
POSCAR_Ag2F6_3_z975,30,31,ok,8,0.9999852742027685,0.13536264315624033,0.983770751347652,0.7871456790712413,0.1552997837912686,0.9369999999999999,0.938,PROCAR,nurion
POSCAR_Al10Fe2_1,55,18,ok,12,0.9999145972369464,0.10604371258534333,0.9946471892002788,0.9982995811240046,0.09670456612205891,0.419,0.42200000000000004,PROCAR,nurion
POSCAR_Al10Fe2_1_st950,55,18,ok,12,0.9999768027356365,0.20904023737761193,0.9978927054285623,0.9999446786164635,0.18204543553243227,0.49000000000000005,0.496,ToBeDelete_PROCAR,nurion
POSCAR_Al10Fe2_1_st975,92,21,ok,12,0.9998413979641789,0.2772231494708538,0.9994508388318597,0.9983364903167127,0.22381105444238972,0.5910000000000001,0.5880000000000001,ToBeDelete_PROCAR,nurion
POSCAR_Al10Fe2_1_x025,28,21,ok,12,0.9999827102540658,0.24845707719645616,0.998386817875558,0.9992972475783636,0.26905203759770957,0.4699999999999999,0.4719999999999999,PROCAR,nurion
POSCAR_Al10Fe2_1_x975,63,17,ok,12,0.9998445075752953,0.17067538538627017,0.9971057169222055,0.9994302216625377,0.2276800153843415,0.47700000000000004,0.48700000000000004,PROCAR,nurion
POSCAR_Al10Fe2_1_y975,62,17,ok,12,0.9998621992689992,0.19668577573497228,0.9957077546059839,0.9996787198727424,0.12100029525325062,0.45100000000000007,0.4570000000000001,PROCAR,nurion
POSCAR_Al10Fe2_1_z050,61,22,ok,12,0.9996422542339876,0.1028222553728835,0.9915418871057173,0.9991915296004719,0.06125720586766103,0.536,0.528,PROCAR,nurion
POSCAR_Al2Fe2_2,511,12,ok,4,0.9999308934004806,0.2730285299109767,0.9996760397184996,0.9998960731787089,0.0915827043502933,0.7160000000000001,0.7020000000000001,ToBeDelete_PROCAR,nurion
POSCAR_Al2Fe2_2_st025,374,11,ok,4,0.9999967126427993,0.4853661219261267,0.992224272881889,0.9997677294389632,0.3270603295049859,0.6010000000000001,0.5980000000000001,PROCAR,nurion
POSCAR_Al2Fe2_2_st950,373,12,ok,4,0.999997847426376,0.38076673395828436,0.9967611458782198,0.99988957658805,0.22072208567098242,0.709,0.709,ToBeDelete_PROCAR,nurion
POSCAR_Al2Fe2_2_x025,124,12,ok,4,0.9999894911480849,0.2875146561914194,0.999709853258948,0.9999766336438378,0.10810485738732492,0.6769999999999999,0.6839999999999999,PROCAR,nurion
POSCAR_Al2Fe2_2_x050,374,11,ok,4,0.999999396775968,0.5322473335475676,0.994752972972753,0.9999734698315533,0.25232777612106744,0.65,0.6519999999999999,PROCAR,nurion
POSCAR_Al2Fe2_2_x950,408,11,ok,4,0.9999999999999999,0.26968555906015096,0.9996873653934332,0.9999677542519094,0.14159702450066283,0.7320000000000001,0.7320000000000001,PROCAR,nurion
POSCAR_Al2Fe2_2_x975,374,11,ok,4,0.9999976902599452,0.3179073344008869,0.9995050292574618,0.9999833176715055,0.06786578505097163,0.7620000000000001,0.7650000000000001,PROCAR,nurion
POSCAR_Al2Fe2_2_y025,172,12,ok,4,0.9999997359308932,0.21035878380271814,0.9997364364004903,0.9999873612784707,0.18958406874300374,0.7320000000000001,0.7360000000000001,PROCAR,nurion
POSCAR_Al2Fe2_2_y950,244,11,ok,4,0.9999999727530117,0.2559201650383587,0.9997687455400618,0.999990023587851,0.048709747390012874,0.7430000000000001,0.744,PROCAR,nurion
POSCAR_Al2Fe2_2_z050,374,11,ok,4,0.9999983593393001,0.26438207560328386,0.9998720983550181,0.9999822246198357,0.0938849094599051,0.768,0.7640000000000001,PROCAR,nurion
POSCAR_Al2Fe2_2_z950,526,12,ok,4,0.9999999999999999,0.09514789563824524,0.9993394026082877,0.9999954325490807,0.021628972604623906,0.753,0.753,PROCAR,nurion
POSCAR_Al2Fe2_2_z975,49,12,ok,4,0.9999998864467688,0.4147808580533059,0.9934984425219391,0.9999923983712363,0.31337025612521335,0.662,0.6609999999999999,PROCAR,nurion
POSCAR_Al2Mn2_2,519,16,ok,4,0.9999854175365888,0.6155135566096128,0.9999848119662361,0.9999692171510394,0.10903417733857941,0.45299999999999996,0.45099999999999996,ToBeDelete_PROCAR,nurion
POSCAR_Al2Mn2_2_st950,519,16,ok,4,0.9999939992950969,0.6935340324609969,0.9999898557469251,0.9999854124075237,0.1312328183354835,0.517,0.517,ToBeDelete_PROCAR,nurion
POSCAR_Al2Mn2_2_st975,519,16,ok,4,0.9999607181186689,0.6600832903958977,0.9999713524869385,0.9999568180842929,0.11668527614243245,0.48,0.478,ToBeDelete_PROCAR,nurion
POSCAR_Al2Mn2_2_x025,534,16,ok,4,1.0,0.7899892602597064,0.9999999999999999,1.0,0.25309971950079263,0.387,0.387,PROCAR,nurion
POSCAR_Al2Mn2_2_x050,534,16,ok,4,0.9999966626484433,0.8166623743376009,0.9999869980850942,0.9999890479590862,0.27098399979021903,0.38,0.379,PROCAR,nurion
POSCAR_Al2Mn2_2_y025,520,16,ok,4,0.9999960021562209,0.7919308201736268,0.9999868017270904,0.9999893597176915,0.2531769224957964,0.386,0.387,PROCAR,nurion
POSCAR_Al2Mn2_2_y050,520,16,ok,4,0.9999966241670707,0.8154418681047835,0.9999896038877413,0.9999839097954398,0.2669853447077475,0.378,0.379,PROCAR,nurion
POSCAR_Al2Mn2_2_z025,520,16,ok,4,0.9999961626306949,0.8027004369868621,0.9999870963481698,0.9999893812459139,0.2455045318490555,0.389,0.39,PROCAR,nurion
POSCAR_Al2Mn2_2_z050,520,16,ok,4,0.9999660789441533,0.816799540295855,0.9999485977278753,0.9999262192264908,0.2604835884189894,0.382,0.381,PROCAR,nurion
POSCAR_Al2Mn2_2_z950,519,16,ok,4,0.9999777157893412,0.7200591134053224,0.9999759163208095,0.9999595806418964,0.12105452587010967,0.46199999999999997,0.46099999999999997,PROCAR,nurion
POSCAR_Al2Mn2_2_z975,519,16,ok,4,1.0,0.6732180025249941,1.0000000000000002,1.0,0.11497091198258903,0.45399999999999996,0.45399999999999996,PROCAR,nurion
POSCAR_Al3Fe2_2,42,13,ok,5,0.9999993613534615,0.07335643866745033,0.9999957155746868,0.9999685809457395,0.04943244686408624,0.774,0.771,PROCAR,nurion
POSCAR_Al3Fe2_2_st975,42,13,ok,5,0.9999964349630306,0.09026871464073609,0.9999932691187935,0.9999043431522912,0.058564837341334046,0.774,0.777,ToBeDelete_PROCAR,nurion
POSCAR_Al3Fe2_2_x025,245,10,ok,5,0.9999970122278147,0.9211959413296802,0.9952453131107105,0.9999570962761146,0.48908982301286,0.5720000000000001,0.5700000000000001,PROCAR,nurion
POSCAR_Al3Fe2_2_x050,12,10,ok,5,0.9999981232277338,0.8236468571360102,0.9598141491437555,0.9999811275465661,0.5063853097997127,0.4730000000000001,0.4750000000000001,PROCAR,nurion
POSCAR_Al3Fe2_2_x950,315,10,ok,5,1.0,0.5974764783847565,0.999642903639868,0.9998837633502998,0.337175330365733,0.6690000000000002,0.6690000000000002,PROCAR,nurion
POSCAR_Al3Fe2_2_x975,255,10,ok,5,0.9999957509264935,0.20232764426606223,0.9998974775815247,0.9999084775275067,0.0423815804876811,0.7120000000000001,0.7080000000000001,PROCAR,nurion
POSCAR_Al3Fe2_2_y025,267,13,ok,5,0.9999972793438975,0.365757632253444,0.9982088968076583,0.9999423574036147,0.25992487001232095,0.627,0.627,PROCAR,nurion
POSCAR_Al3Fe2_2_y050,187,13,ok,5,0.9999971206149466,0.3070239281482416,0.9956923846128134,0.9999723808211243,0.2573031449149027,0.627,0.627,PROCAR,nurion
POSCAR_Al3Fe2_2_y975,28,13,ok,5,0.9999936803228059,0.5916326129546748,0.9857657826739598,0.999986879483286,0.2079068802489337,0.6070000000000001,0.606,PROCAR,nurion
POSCAR_Al3Fe2_2_z025,255,10,ok,5,0.9999957495740144,0.23567314645351906,0.9998968563685255,0.9998817239569182,0.056270254394154354,0.685,0.682,PROCAR,nurion
POSCAR_Al3Fe2_2_z050,120,14,ok,5,0.9999851171224552,0.39701984480894,0.9995937628461224,0.9999662416794677,0.11072011556482061,0.549,0.548,PROCAR,nurion
POSCAR_Al3Fe2_2_z950,11,10,ok,5,0.9999992422578335,0.5066301046993094,0.9927892077572262,0.9999432309339474,0.32849417621498844,0.6440000000000001,0.6419999999999999,PROCAR,nurion
