mag_atom_name,structure,fermi_level,gamma_avg_meV,band_number,max_split_eV,kx,ky,kz,ion1_tot,ion2_tot,overall_tot
Ag,POSCAR_Ag2F6_3_x950,-1.1074,0.115,32,0.003334,-0.125,0,0.375,-0.004,0.004,-0.001
Ag,POSCAR_Ag2F6_3_y025,-1.9779,1.63,32,0.030328,0.125,0.5,0.125,0.132,-0.127,0.008
Ag,POSCAR_Ag2F6_3_y950,-1.0884,0.179,32,0.005466,0.5,0.5,0.5,0.006,-0.006,0.001
Ag,POSCAR_Ag2F6_3_y975,-1.4069,0.347,31,0.00841,0.5,0.5,0.5,0.008,-0.007,0.003
Ag,POSCAR_Ag2F6_3_z025,-1.9603,2.191,32,0.077982,0.25,0.25,0.5,0.109,-0.108,0.002
Ag,POSCAR_Ag2F6_3_z950,-1.0932,0.156,31,0.015396,0.5,0,0,0.015,-0.015,0
Ag,POSCAR_Ag2F6_3_z975,-1.4055,1.319,31,0.064037,0,0.5,0,0.096,-0.096,0.001
Ag,POSCAR_Al10Fe2_1_x025,7.5201,3.728,21,0.021152,0.1,0.3,0,3.065,-3.068,-0.003
Ag,POSCAR_Al10Fe2_1_x050,7.2685,3.429,16,0.012359,0,0.5,0,3.09,-3.095,-0.006
Ag,POSCAR_Al10Fe2_1_x975,8.0252,3.407,17,0.047069,0,0.1,0.25,3.004,-3.007,-0.003
Ag,POSCAR_Al10Fe2_1_y050,7.278,3.386,17,0.012021,0,0.5,0,3.084,-3.09,-0.007
Ag,POSCAR_Al10Fe2_1_y950,8.294,4.243,17,0.023348,0,0.5,0.5,2.967,-2.972,-0.006
Ag,POSCAR_Al10Fe2_1_y975,8.0184,3.122,17,0.033551,-0.1,0,0.25,3.007,-3.011,-0.003
Ag,POSCAR_Al10Fe2_1_z025,7.5034,3.583,18,0.015864,0,0.5,0.5,3.057,-3.061,-0.006
Ag,POSCAR_Al10Fe2_1_z050,7.289,6.381,22,0.021833,-0.2,0,0.25,3.26,-3.264,-0.004
Ag,POSCAR_Al10Fe2_1_z950,8.308,84,23,0.602392,-0.4,0.3,0,2.932,-2.92,-0.007
Ag,POSCAR_Al10Fe2_1_z975,8.0408,4.17,18,0.04354,0.2,0,0.25,3.001,-3.005,-0.005
Ag,POSCAR_Al2Fe2_2_x025,6.7768,3.166,12,0.027716,-0.333333,0.363636,0.125,3.16,-3.16,0
Ag,POSCAR_Al2Fe2_2_x050,6.5782,1.63,11,0.007001,0.5,0.272727,0.375,3.175,-3.175,0
Ag,POSCAR_Al2Fe2_2_x950,7.4053,1.769,11,0.010943,0.333333,-0.454545,0.375,2.784,-2.785,-0.001
Ag,POSCAR_Al2Fe2_2_x975,7.1981,3.587,11,0.031944,0.5,0.272727,0.375,2.824,-2.826,-0.001
Ag,POSCAR_Al2Fe2_2_y025,6.7852,2.961,12,0.014834,-0.333333,-0.272727,0.125,3.138,-3.14,-0.002
