#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  80  30
# Band-Index:    1
   0.00000    -19.277277    -19.556576
   0.03369    -19.278770    -19.556742
   0.06738    -19.283164    -19.557191
   0.10107    -19.290701    -19.558136
   0.13476    -19.301371    -19.559652
   0.16845    -19.315325    -19.561948
   0.20214    -19.332784    -19.565373
   0.23583    -19.353797    -19.570216
   0.26952    -19.378523    -19.576974
   0.30321    -19.406927    -19.586057
   0.33690    -19.438876    -19.597918
   0.37059    -19.474347    -19.613141
   0.40428    -19.512986    -19.632002
   0.43797    -19.554479    -19.654818
   0.47166    -19.598720    -19.681858
   0.50535    -19.645036    -19.712827
   0.53904    -19.693149    -19.747562
   0.57273    -19.742570    -19.785589
   0.60642    -19.792923    -19.826416
   0.64011    -19.843779    -19.869433
   0.67379    -19.894721    -19.914025
   0.70748    -19.945255    -19.959493
   0.74117    -19.995120    -20.005359
   0.77486    -20.044000    -20.051127
   0.80855    -20.091448    -20.096202
   0.84224    -20.137278    -20.140247
   0.87593    -20.181161    -20.182832
   0.90962    -20.222798    -20.223551
   0.94331    -20.261901    -20.262029
   0.97700    -20.298299    -20.298051
   1.01069    -20.331870    -20.331418
   1.04438    -20.362371    -20.361838
   1.07807    -20.389689    -20.389156
   1.11176    -20.413663    -20.413186
   1.14545    -20.434091    -20.433701
   1.17914    -20.450960    -20.450667
   1.21283    -20.464155    -20.463955
   1.24652    -20.473609    -20.473479
   1.28021    -20.479352    -20.479270
   1.31390    -20.481245    -20.481177
   1.31390    -20.481245    -20.481177
   1.34721    -20.479341    -20.479288
   1.38051    -20.473691    -20.473683
   1.41382    -20.464291    -20.464350
   1.44713    -20.451169    -20.451315
   1.48043    -20.434437    -20.434673
   1.51374    -20.414123    -20.414442
   1.54705    -20.390429    -20.390804
   1.58035    -20.363495    -20.363876
   1.61366    -20.333299    -20.333596
   1.64697    -20.300278    -20.300364
   1.68028    -20.264513    -20.264221
   1.71358    -20.226379    -20.225489
   1.74689    -20.186054    -20.184278
   1.78020    -20.143818    -20.140792
   1.81350    -20.100098    -20.095350
   1.84681    -20.055250    -20.048196
   1.88012    -20.009699    -19.999634
   1.91342    -19.963933    -19.949988
   1.94673    -19.918549    -19.899684
   1.98004    -19.873942    -19.848904
   2.01334    -19.830844    -19.798182
   2.04665    -19.789749    -19.747780
   2.07996    -19.751368    -19.698248
   2.11327    -19.716227    -19.649986
   2.14657    -19.684780    -19.603401
   2.17988    -19.657312    -19.558940
   2.21319    -19.633968    -19.517003
   2.24649    -19.614547    -19.477827
   2.27980    -19.598946    -19.441910
   2.31311    -19.586711    -19.409433
   2.34641    -19.577425    -19.380608
   2.37972    -19.570458    -19.355375
   2.41303    -19.565380    -19.333798
   2.44633    -19.561894    -19.315945
   2.47964    -19.559510    -19.301594
   2.51295    -19.557925    -19.290596
   2.54625    -19.556961    -19.282866
   2.57956    -19.556491    -19.278334
   2.61287    -19.556330    -19.276810
 
# Band-Index:    2
   2.61287    -18.733327    -18.731679
   2.57956    -18.735142    -18.732496
   2.54625    -18.740405    -18.734770
   2.51295    -18.749064    -18.738465
   2.47964    -18.760769    -18.743274
   2.44633    -18.775135    -18.748902
   2.41303    -18.791598    -18.754923
   2.37972    -18.809683    -18.761138
   2.34641    -18.828526    -18.767036
   2.31311    -18.847349    -18.772271
   2.27980    -18.865384    -18.776666
   2.24649    -18.881808    -18.780020
   2.21319    -18.895908    -18.782241
   2.17988    -18.906966    -18.783119
   2.14657    -18.914631    -18.782748
   2.11327    -18.918636    -18.781077
   2.07996    -18.918972    -18.778189
   2.04665    -18.915911    -18.774295
   2.01334    -18.909593    -18.769340
   1.98004    -18.900391    -18.763464
   1.94673    -18.888648    -18.756737
   1.91342    -18.874745    -18.749245
   1.88012    -18.859090    -18.741136
   1.84681    -18.842116    -18.732597
   1.81350    -18.824110    -18.723688
   1.78020    -18.805486    -18.714574
   1.74689    -18.786558    -18.705388
   1.71358    -18.767626    -18.696246
   1.68028    -18.748989    -18.687266
   1.64697    -18.730935    -18.678594
   1.61366    -18.713728    -18.670343
   1.58035    -18.697521    -18.662534
   1.54705    -18.682608    -18.655334
   1.51374    -18.669154    -18.648794
   1.48043    -18.657477    -18.643147
   1.44713    -18.647678    -18.638403
   1.41382    -18.639858    -18.634583
   1.38051    -18.634154    -18.631776
   1.34721    -18.630699    -18.630073
   1.31390    -18.629534    -18.629488
   1.31390    -18.629534    -18.629488
   1.28021    -18.630128    -18.630672
   1.24652    -18.631983    -18.634266
   1.21283    -18.634915    -18.640087
   1.17914    -18.639008    -18.648156
   1.14545    -18.644008    -18.658188
   1.11176    -18.650027    -18.670208
   1.07807    -18.656895    -18.683965
   1.04438    -18.664503    -18.699242
   1.01069    -18.672733    -18.715807
   0.97700    -18.681478    -18.733432
   0.94331    -18.690677    -18.751925
   0.90962    -18.700042    -18.770859
   0.87593    -18.709650    -18.790132
   0.84224    -18.719199    -18.809293
   0.80855    -18.728604    -18.828065
   0.77486    -18.737757    -18.846132
   0.74117    -18.746490    -18.863115
   0.70748    -18.754721    -18.878700
   0.67379    -18.762248    -18.892430
   0.64011    -18.768978    -18.903928
   0.60642    -18.774844    -18.912853
   0.57273    -18.779709    -18.918821
   0.53904    -18.783487    -18.921503
   0.50535    -18.786099    -18.920654
   0.47166    -18.787381    -18.916083
   0.43797    -18.787368    -18.907874
   0.40428    -18.785940    -18.896254
   0.37059    -18.783310    -18.881772
   0.33690    -18.779352    -18.864889
   0.30321    -18.774369    -18.846546
   0.26952    -18.768508    -18.827456
   0.23583    -18.762087    -18.808466
   0.20214    -18.755432    -18.790390
   0.16845    -18.748844    -18.773808
   0.13476    -18.742831    -18.759450
   0.10107    -18.737725    -18.747768
   0.06738    -18.733831    -18.739143
   0.03369    -18.731406    -18.733872
   0.00000    -18.730572    -18.732092
 
# Band-Index:    3
   0.00000     -8.799048     -9.100391
   0.03369     -8.798786     -9.101122
   0.06738     -8.798010     -9.103279
   0.10107     -8.796754     -9.106766
   0.13476     -8.795058     -9.111429
   0.16845     -8.792986     -9.117071
   0.20214     -8.790611     -9.123464
   0.23583     -8.788008     -9.130371
   0.26952     -8.785263     -9.137557
   0.30321     -8.782462     -9.144808
   0.33690     -8.779694     -9.151950
   0.37059     -8.777050     -9.158849
