#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 280  30
# Band-Index:    1
   0.00000    -20.412664    -20.412596
   0.02931    -20.411351    -20.411296
   0.05862    -20.407353    -20.407351
   0.08793    -20.400772    -20.400849
   0.11724    -20.391570    -20.391762
   0.14655    -20.379850    -20.380185
   0.17586    -20.365575    -20.366087
   0.20517    -20.348857    -20.349580
   0.23448    -20.329804    -20.330775
   0.26379    -20.308406    -20.309664
   0.29310    -20.284893    -20.286459
   0.32241    -20.259287    -20.261191
   0.35172    -20.231731    -20.234001
   0.38103    -20.202423    -20.205095
   0.41034    -20.171486    -20.174587
   0.43965    -20.139016    -20.142568
   0.46896    -20.105183    -20.109212
   0.49827    -20.070300    -20.074833
   0.52758    -20.034462    -20.039516
   0.55689    -19.997887    -20.003489
   0.58620    -19.960835    -19.966996
   0.61551    -19.923523    -19.930256
   0.64482    -19.886162    -19.893468
   0.67413    -19.849082    -19.856982
   0.70344    -19.812427    -19.820913
   0.73275    -19.776492    -19.785578
   0.76206    -19.741549    -19.751221
   0.79137    -19.707923    -19.718174
   0.82068    -19.675751    -19.686558
   0.84999    -19.645312    -19.656656
   0.87930    -19.616885    -19.628739
   0.90861    -19.590803    -19.603135
   0.93792    -19.567175    -19.579942
   0.96723    -19.546189    -19.559343
   0.99654    -19.528099    -19.541586
   1.02585    -19.513055    -19.526825
   1.05516    -19.501219    -19.515216
   1.08447    -19.492700    -19.506862
   1.11378    -19.487493    -19.501757
   1.14309    -19.485770    -19.500071
   1.14309    -19.500453    -19.486024
   1.17240    -19.502127    -19.487729
   1.20171    -19.507162    -19.492864
   1.23102    -19.515580    -19.501444
   1.26033    -19.527185    -19.513275
   1.28964    -19.541923    -19.528297
   1.31895    -19.559703    -19.546409
   1.34826    -19.580266    -19.567360
   1.37757    -19.603422    -19.590950
   1.40688    -19.629038    -19.617045
   1.43619    -19.656941    -19.645460
   1.46550    -19.686804    -19.675858
   1.49481    -19.718369    -19.707984
   1.52412    -19.751420    -19.741607
   1.55343    -19.785764    -19.776537
   1.58274    -19.821086    -19.812460
   1.61205    -19.857108    -19.849078
   1.64136    -19.893692    -19.886248
   1.67067    -19.930471    -19.923604
   1.69998    -19.967208    -19.960914
   1.72929    -20.003714    -19.997980
   1.75860    -20.039686    -20.034505
   1.78791    -20.074968    -20.070305
   1.81722    -20.109387    -20.105223
   1.84653    -20.142704    -20.139016
   1.87584    -20.174690    -20.171452
   1.90515    -20.205215    -20.202404
   1.93446    -20.234148    -20.231734
   1.96377    -20.261266    -20.259228
   1.99308    -20.286523    -20.284820
   2.02239    -20.309696    -20.308310
   2.05170    -20.330775    -20.329674
   2.08101    -20.349635    -20.348776
   2.11032    -20.366117    -20.365469
   2.13963    -20.380256    -20.379787
   2.16894    -20.391897    -20.391575
   2.19825    -20.400985    -20.400777
   2.22756    -20.407464    -20.407333
   2.25687    -20.411386    -20.411305
   2.28618    -20.412664    -20.412596
   2.28618    -20.412664    -20.412596
   2.30253    -20.412080    -20.412012
   2.31888    -20.410323    -20.410256
   2.33523    -20.407401    -20.407332
   2.35158    -20.403308    -20.403242
   2.36793    -20.398051    -20.397985
   2.38428    -20.391634    -20.391567
   2.40063    -20.384084    -20.384019
   2.41698    -20.375382    -20.375315
   2.43333    -20.365512    -20.365445
   2.44968    -20.354504    -20.354437
   2.46603    -20.342368    -20.342301
   2.48238    -20.329111    -20.329045
   2.49873    -20.314745    -20.314678
   2.51508    -20.299234    -20.299168
   2.53143    -20.282643    -20.282576
   2.54778    -20.264996    -20.264928
   2.56413    -20.246315    -20.246247
   2.58048    -20.226593    -20.226526
