#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  80  48
# Band-Index:    1
   0.00000    -13.487067  0.664  0.002  0.004  0.000  0.005  0.028  0.003  0.001  0.027  0.732
   0.03304    -13.488995  0.664  0.002  0.004  0.000  0.005  0.027  0.003  0.001  0.026  0.732
   0.06608    -13.494825  0.664  0.003  0.004  0.000  0.005  0.027  0.003  0.001  0.026  0.731
   0.09912    -13.504689  0.661  0.004  0.004  0.000  0.005  0.026  0.003  0.001  0.026  0.731
   0.13215    -13.518770  0.661  0.006  0.005  0.000  0.005  0.025  0.003  0.001  0.025  0.729
   0.16519    -13.537265  0.659  0.008  0.005  0.000  0.005  0.023  0.003  0.001  0.024  0.728
   0.19823    -13.560330  0.659  0.009  0.004  0.000  0.004  0.022  0.003  0.001  0.024  0.725
   0.23127    -13.588045  0.657  0.009  0.005  0.000  0.003  0.020  0.003  0.001  0.023  0.723
   0.26431    -13.620401  0.656  0.011  0.005  0.000  0.003  0.018  0.003  0.001  0.022  0.721
   0.29735    -13.657298  0.653  0.012  0.005  0.000  0.003  0.017  0.003  0.001  0.021  0.717
   0.33039    -13.698553  0.651  0.013  0.006  0.000  0.003  0.015  0.003  0.001  0.021  0.714
   0.36342    -13.743917  0.650  0.013  0.007  0.000  0.003  0.013  0.003  0.001  0.020  0.711
   0.39646    -13.793072  0.648  0.014  0.007  0.000  0.003  0.012  0.002  0.001  0.019  0.708
   0.42950    -13.845651  0.647  0.016  0.007  0.000  0.002  0.011  0.002  0.001  0.019  0.704
   0.46254    -13.901235  0.647  0.016  0.007  0.000  0.002  0.010  0.001  0.001  0.018  0.701
   0.49558    -13.959370  0.645  0.015  0.007  0.000  0.002  0.010  0.001  0.001  0.017  0.698
   0.52862    -14.019586  0.644  0.015  0.007  0.000  0.002  0.008  0.001  0.001  0.016  0.694
   0.56165    -14.081390  0.642  0.015  0.007  0.000  0.002  0.007  0.001  0.001  0.016  0.691
   0.59469    -14.144281  0.641  0.014  0.006  0.000  0.002  0.007  0.001  0.001  0.015  0.687
   0.62773    -14.207764  0.640  0.013  0.006  0.000  0.001  0.006  0.001  0.001  0.014  0.684
   0.66077    -14.271345  0.639  0.013  0.006  0.000  0.001  0.006  0.001  0.001  0.013  0.680
   0.69381    -14.334547  0.639  0.013  0.006  0.000  0.001  0.004  0.001  0.001  0.014  0.677
   0.72685    -14.396909  0.639  0.012  0.006  0.000  0.001  0.004  0.001  0.000  0.013  0.673
   0.75989    -14.457993  0.638  0.011  0.005  0.000  0.001  0.004  0.001  0.000  0.013  0.671
   0.79292    -14.517385  0.637  0.010  0.004  0.000  0.001  0.003  0.001  0.000  0.012  0.668
   0.82596    -14.574696  0.637  0.009  0.004  0.000  0.001  0.003  0.001  0.000  0.012  0.666
   0.85900    -14.629565  0.636  0.008  0.002  0.000  0.001  0.003  0.001  0.000  0.011  0.663
   0.89204    -14.681659  0.637  0.007  0.002  0.000  0.001  0.003  0.001  0.000  0.011  0.661
   0.92508    -14.730669  0.635  0.004  0.002  0.000  0.001  0.002  0.001  0.000  0.010  0.659
   0.95812    -14.776316  0.636  0.003  0.002  0.000  0.001  0.002  0.001  0.000  0.010  0.657
   0.99116    -14.818353  0.636  0.003  0.002  0.000  0.000  0.001  0.001  0.000  0.010  0.656
   1.02419    -14.856551  0.635  0.002  0.000  0.000  0.000  0.001  0.000  0.000  0.010  0.654
   1.05723    -14.890713  0.637  0.002  0.000  0.000  0.000  0.001  0.000  0.000  0.009  0.653
   1.09027    -14.920663  0.636  0.001  0.000  0.000  0.000  0.001  0.000  0.000  0.009  0.652
   1.12331    -14.946252  0.636  0.001  0.000  0.000  0.000  0.001  0.000  0.000  0.009  0.651
   1.15635    -14.967355  0.636  0.001  0.000  0.000  0.000  0.001  0.000  0.000  0.009  0.650
   1.18939    -14.983875  0.636  0.000  0.000  0.000  0.000  0.001  0.000  0.000  0.009  0.649
   1.22243    -14.995729  0.636  0.000  0.000  0.000  0.000  0.001  0.000  0.000  0.009  0.649
   1.25546    -15.002864  0.636  0.000  0.000  0.000  0.000  0.001  0.000  0.000  0.010  0.649
   1.28850    -15.005248  0.636  0.000  0.000  0.000  0.000  0.001  0.000  0.000  0.010  0.649
   1.28850    -15.005248  0.636  0.000  0.000  0.000  0.000  0.001  0.000  0.000  0.010  0.649
   1.32159    -15.002738  0.636  0.000  0.000  0.000  0.000  0.001  0.000  0.000  0.010  0.649
   1.35468    -14.995224  0.636  0.000  0.000  0.000  0.000  0.001  0.000  0.000  0.010  0.649
   1.38778    -14.982738  0.636  0.000  0.000  0.000  0.000  0.001  0.000  0.000  0.009  0.649
   1.42087    -14.965337  0.636  0.000  0.000  0.001  0.000  0.001  0.000  0.000  0.009  0.650
   1.45396    -14.943101  0.635  0.000  0.000  0.001  0.000  0.001  0.000  0.000  0.009  0.650
   1.48705    -14.916136  0.637  0.000  0.000  0.001  0.000  0.001  0.000  0.000  0.009  0.650
   1.52014    -14.884568  0.637  0.000  0.000  0.002  0.000  0.001  0.000  0.000  0.009  0.652
   1.55323    -14.848550  0.636  0.000  0.000  0.002  0.000  0.001  0.000  0.002  0.009  0.654
   1.58632    -14.808267  0.637  0.000  0.002  0.003  0.000  0.001  0.000  0.002  0.009  0.655
   1.61941    -14.763927  0.637  0.000  0.002  0.004  0.000  0.001  0.001  0.002  0.009  0.657
   1.65250    -14.715766  0.636  0.000  0.002  0.007  0.000  0.001  0.001  0.002  0.009  0.658
   1.68560    -14.664055  0.637  0.000  0.002  0.007  0.001  0.001  0.001  0.002  0.008  0.660
   1.71869    -14.609092  0.637  0.000  0.002  0.008  0.001  0.001  0.001  0.003  0.008  0.662
   1.75178    -14.551208  0.637  0.000  0.004  0.009  0.001  0.001  0.001  0.003  0.008  0.665
   1.78487    -14.490777  0.638  0.000  0.004  0.010  0.001  0.001  0.001  0.004  0.009  0.668
   1.81796    -14.428197  0.639  0.000  0.005  0.011  0.001  0.001  0.001  0.004  0.009  0.671
   1.85105    -14.363908  0.640  0.000  0.006  0.012  0.001  0.001  0.001  0.005  0.008  0.674
   1.88414    -14.298383  0.641  0.000  0.006  0.013  0.001  0.001  0.001  0.006  0.008  0.677
   1.91723    -14.232136  0.641  0.000  0.006  0.014  0.001  0.001  0.001  0.007  0.008  0.680
   1.95033    -14.165705  0.643  0.000  0.006  0.015  0.001  0.001  0.001  0.008  0.008  0.683
   1.98342    -14.099667  0.644  0.000  0.006  0.015  0.001  0.000  0.001  0.009  0.008  0.687
   2.01651    -14.034628  0.645  0.000  0.006  0.016  0.001  0.000  0.001  0.011  0.008  0.690
   2.04960    -13.971218  0.647  0.000  0.006  0.016  0.001  0.000  0.002  0.013  0.008  0.694
   2.08269    -13.910082  0.648  0.000  0.006  0.017  0.001  0.000  0.002  0.016  0.007  0.698
   2.11578    -13.851882  0.649  0.000  0.006  0.016  0.002  0.000  0.003  0.019  0.008  0.703
