#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  80  20
# Band-Index:    1
   0.00000     -9.564734     -9.564508
   0.02900     -9.689467     -9.689410
   0.05801     -9.827232     -9.827181
   0.08701     -9.965140     -9.965089
   0.11602    -10.102693    -10.102641
   0.14502    -10.239585    -10.239531
   0.17403    -10.375560    -10.375504
   0.20303    -10.510386    -10.510328
   0.23204    -10.643841    -10.643782
   0.26104    -10.775708    -10.775646
   0.29005    -10.905765    -10.905702
   0.31905    -11.033794    -11.033730
   0.34806    -11.159575    -11.159510
   0.37706    -11.282883    -11.282817
   0.40607    -11.403497    -11.403430
   0.43507    -11.521200    -11.521133
   0.46408    -11.635772    -11.635704
   0.49308    -11.747002    -11.746933
   0.52209    -11.854685    -11.854616
   0.55109    -11.958625    -11.958555
   0.58010    -12.058634    -12.058564
   0.60910    -12.154533    -12.154463
   0.63811    -12.246154    -12.246084
   0.66711    -12.333339    -12.333269
   0.69612    -12.415941    -12.415871
   0.72512    -12.493825    -12.493756
   0.75413    -12.566860    -12.566791
   0.78313    -12.634933    -12.634864
   0.81214    -12.697936    -12.697868
   0.84114    -12.755771    -12.755702
   0.87015    -12.808352    -12.808284
   0.89915    -12.855601    -12.855532
   0.92815    -12.897448    -12.897380
   0.95716    -12.933839    -12.933771
   0.98616    -12.964713    -12.964646
   1.01517    -12.990036    -12.989968
   1.04417    -13.009766    -13.009698
   1.07318    -13.023879    -13.023811
   1.10218    -13.032354    -13.032286
   1.13119    -13.035174    -13.035106
   1.13119    -13.035174    -13.035106
   1.16123    -13.032121    -13.032054
   1.19127    -13.022957    -13.022889
   1.22132    -13.007692    -13.007624
   1.25136    -12.986348    -12.986280
   1.28140    -12.958957    -12.958889
   1.31144    -12.925548    -12.925479
   1.34149    -12.886166    -12.886097
   1.37153    -12.840868    -12.840798
   1.40157    -12.789710    -12.789639
   1.43161    -12.732764    -12.732693
   1.46166    -12.670106    -12.670034
   1.49170    -12.601829    -12.601756
   1.52174    -12.528028    -12.527954
   1.55178    -12.448816    -12.448741
   1.58183    -12.364304    -12.364228
   1.61187    -12.274619    -12.274542
   1.64191    -12.179912    -12.179833
   1.67195    -12.080325    -12.080244
   1.70200    -11.976022    -11.975940
   1.73204    -11.867179    -11.867095
   1.76208    -11.753972    -11.753886
   1.79212    -11.636603    -11.636515
   1.82217    -11.515265    -11.515175
   1.85221    -11.390182    -11.390089
   1.88225    -11.261568    -11.261473
   1.91229    -11.129656    -11.129558
   1.94234    -10.994678    -10.994578
   1.97238    -10.856871    -10.856767
   2.00242    -10.716483    -10.716376
   2.03246    -10.573758    -10.573647
   2.06251    -10.428952    -10.428837
   2.09255    -10.282320    -10.282200
   2.12259    -10.134143    -10.134019
   2.15263     -9.984729     -9.984598
   2.18268     -9.834468     -9.834330
   2.21272     -9.683929     -9.683781
   2.24276     -9.534287     -9.534120
   2.27280     -9.389761     -9.389553
   2.30285     -9.294327     -9.294005
 
# Band-Index:    2
   2.30285     -9.146415     -9.146490
   2.27280     -9.051971     -9.051934
   2.24276     -8.910656     -8.910579
   2.21272     -8.767202     -8.767112
   2.18268     -8.627249     -8.627156
   2.15263     -8.494263     -8.494174
   2.12259     -8.372314     -8.372235
   2.09255     -8.266660     -8.266596
   2.06251     -8.183378     -8.183333
   2.03246     -8.127494     -8.127464
   2.00242     -8.100094     -8.100071
   1.97238     -8.097177     -8.097151
   1.94234     -8.111808     -8.111770
   1.91229     -8.137105     -8.137051
   1.88225     -8.167737     -8.167666
   1.85221     -8.200023     -8.199933
   1.82217     -8.231544     -8.231436
   1.79212     -8.260757     -8.260631
   1.76208     -8.286690     -8.286547
   1.73204     -8.308756     -8.308595
   1.70200     -8.326626     -8.326447
   1.67195     -8.340155     -8.339959
   1.64191     -8.349334     -8.349121
   1.61187     -8.354256     -8.354024
   1.58183     -8.355105     -8.354855
   1.55178     -8.352132     -8.351864
   1.52174     -8.345658     -8.345371
   1.49170     -8.336068     -8.335760
   1.46166     -8.323807     -8.323480
   1.43161     -8.309383     -8.309035
   1.40157     -8.293349     -8.292980
   1.37153     -8.276319     -8.275930
   1.34149     -8.258953     -8.258544
   1.31144     -8.241942     -8.241514
   1.28140     -8.225986     -8.225541
   1.25136     -8.211768     -8.211307
   1.22132     -8.199937     -8.199463
   1.19127     -8.191045     -8.190561
   1.16123     -8.185526     -8.185036
   1.13119     -8.183654     -8.183162
   1.13119     -8.183654     -8.183162
   1.10218     -8.185912     -8.185422
   1.07318     -8.192581     -8.192097
   1.04417     -8.203372     -8.202897
   1.01517     -8.217818     -8.217356
   0.98616     -8.235336     -8.234889
   0.95716     -8.255252     -8.254822
   0.92815     -8.276845     -8.276434
   0.89915     -8.299390     -8.298999
   0.87015     -8.322172     -8.321801
   0.84114     -8.344527     -8.344177
   0.81214     -8.365835     -8.365506
   0.78313     -8.385540     -8.385232
   0.75413     -8.403144     -8.402856
   0.72512     -8.418231     -8.417964
   0.69612     -8.430450     -8.430203
   0.66711     -8.439529     -8.439302
   0.63811     -8.445281     -8.445073
   0.60910     -8.447613     -8.447425
   0.58010     -8.446551     -8.446382
   0.55109     -8.442264     -8.442115
   0.52209     -8.435109     -8.434980
   0.49308     -8.425695     -8.425586
   0.46408     -8.414974     -8.414886
   0.43507     -8.404373     -8.404305
   0.40607     -8.395936     -8.395890
   0.37706     -8.392512     -8.392487
   0.34806     -8.397768     -8.397761
   0.31905     -8.415936     -8.415944
   0.29005     -8.450999     -8.451017
   0.26104     -8.505449     -8.505471
   0.23204     -8.579402     -8.579421
   0.20303     -8.670748     -8.670761
   0.17403     -8.776188     -8.776194
   0.14502     -8.892304     -8.892302
   0.11602     -9.016139     -9.016131
   0.08701     -9.145375     -9.145363
   0.05801     -9.278257     -9.278242
   0.02900     -9.413352     -9.413342
   0.00000     -9.537250     -9.537407
 
# Band-Index:    3
   0.00000     -6.779165     -6.779703
   0.02900     -6.803498     -6.803963
   0.05801     -6.863404     -6.863731
   0.08701     -6.938170     -6.938373
   0.11602     -7.014596     -7.014701
   0.14502     -7.085095     -7.085124
   0.17403     -7.144392     -7.144359
   0.20303     -7.187954     -7.187869
   0.23204     -7.211500     -7.211372
   0.26104     -7.211329     -7.211167
   0.29005     -7.185260     -7.185073
   0.31905     -7.133612     -7.133411
   0.34806     -7.059361     -7.059154
   0.37706     -6.967236     -6.967032
   0.40607     -6.862525     -6.862329
   0.43507     -6.750313     -6.750131
   0.46408     -6.635244     -6.635088
   0.49308     -6.521625     -6.521507
   0.52209     -6.413575     -6.413512
   0.55109     -6.315090     -6.315103
   0.58010     -6.229868     -6.229981
   0.60910     -6.160833     -6.161063
   0.63811     -6.109404     -6.109753
   0.66711     -6.075011     -6.075464
   0.69612     -6.055362     -6.055893
   0.72512     -6.047395     -6.047978
   0.75413     -6.048192     -6.048805
   0.78313     -6.055392     -6.056020
   0.81214     -6.067210     -6.067843
   0.84114     -6.082300     -6.082932
   0.87015     -6.099593     -6.100220
   0.89915     -6.118184     -6.118804
   0.92815     -6.137236     -6.137850
   0.95716     -6.155951     -6.156559
   0.98616     -6.173541     -6.174144
   1.01517     -6.189241     -6.189840
   1.04417     -6.202334     -6.202930
   1.07318     -6.212188     -6.212782
   1.10218     -6.218313     -6.218905
   1.13119     -6.220390     -6.220982
   1.13119     -6.220390     -6.220982
   1.16123     -6.218217     -6.218809
   1.19127     -6.211803     -6.212392
   1.22132     -6.201449     -6.202034
   1.25136     -6.187628     -6.188209
   1.28140     -6.170955     -6.171530
   1.31144     -6.152129     -6.152698
   1.34149     -6.131912     -6.132474
   1.37153     -6.111094     -6.111648
   1.40157     -6.090473     -6.091016
   1.43161     -6.070861     -6.071390
   1.46166     -6.053091     -6.053601
   1.49170     -6.038052     -6.038536
   1.52174     -6.026719     -6.027168
   1.55178     -6.020209     -6.020611
   1.58183     -6.019820     -6.020161
   1.61187     -6.027060     -6.027326
   1.64191     -6.043628     -6.043804
   1.67195     -6.071300     -6.071374
   1.70200     -6.111707     -6.111676
   1.73204     -6.166020     -6.165886
   1.76208     -6.234607     -6.234384
   1.79212     -6.316816     -6.316522
   1.82217     -6.410918     -6.410573
   1.85221     -6.514194     -6.513816
   1.88225     -6.623029     -6.622635
   1.91229     -6.732898     -6.732501
   1.94234     -6.838162     -6.837773
   1.97238     -6.931795     -6.931425
   2.00242     -7.005555     -7.005219
   2.03246     -7.051496     -7.051209
   2.06251     -7.064964     -7.064741
   2.09255     -7.046757     -7.046608
   2.12259     -7.002037     -7.001969
   2.15263     -6.937527     -6.937550
