#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 280  20
# Band-Index:    1
   0.00000    -12.907024    -12.906956
   0.02559    -12.904631    -12.904563
   0.05119    -12.897439    -12.897371
   0.07678    -12.885455    -12.885388
   0.10237    -12.868684    -12.868617
   0.12797    -12.847134    -12.847066
   0.15356    -12.820809    -12.820742
   0.17915    -12.789725    -12.789657
   0.20475    -12.753884    -12.753817
   0.23034    -12.713308    -12.713241
   0.25593    -12.668014    -12.667946
   0.28153    -12.618012    -12.617944
   0.30712    -12.563323    -12.563256
   0.33271    -12.503976    -12.503908
   0.35831    -12.439989    -12.439922
   0.38390    -12.371390    -12.371322
   0.40949    -12.298210    -12.298142
   0.43509    -12.220479    -12.220411
   0.46068    -12.138231    -12.138163
   0.48627    -12.051505    -12.051437
   0.51187    -11.960339    -11.960270
   0.53746    -11.864781    -11.864712
   0.56305    -11.764878    -11.764808
   0.58865    -11.660683    -11.660614
   0.61424    -11.552258    -11.552188
   0.63983    -11.439664    -11.439594
   0.66543    -11.322972    -11.322901
   0.69102    -11.202260    -11.202189
   0.71661    -11.077609    -11.077538
   0.74221    -10.949130    -10.949059
   0.76780    -10.816926    -10.816855
   0.79339    -10.681124    -10.681053
   0.81899    -10.541869    -10.541799
   0.84458    -10.399331    -10.399263
   0.87017    -10.253718    -10.253653
   0.89577    -10.105295    -10.105236
   0.92136     -9.954443     -9.954395
   0.94695     -9.801870     -9.801846
   0.97255     -9.649968     -9.650015
   0.99814     -9.536631     -9.536999
   0.99814     -9.870914     -9.871293
   1.02251     -9.962294     -9.962432
   1.04687    -10.097425    -10.097479
   1.07124    -10.235116    -10.235137
   1.09561    -10.371683    -10.371687
   1.11998    -10.506163    -10.506155
   1.14434    -10.638110    -10.638094
   1.16871    -10.767255    -10.767232
   1.19308    -10.893400    -10.893372
   1.21744    -11.016390    -11.016358
   1.24181    -11.136097    -11.136062
   1.26618    -11.252408    -11.252369
   1.29054    -11.365230    -11.365189
   1.31491    -11.474478    -11.474435
   1.33928    -11.580074    -11.580028
