#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  80  24
# Band-Index:    1
   0.00000    -44.509081  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.02574    -44.509089  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.05148    -44.509099  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.07722    -44.509111  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.10296    -44.509128  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.12870    -44.509150  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.15444    -44.509171  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.18018    -44.509197  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.20592    -44.509223  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.23166    -44.509254  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.25740    -44.509290  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.28314    -44.509331  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.30888    -44.509377  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.33462    -44.509416  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.36036    -44.509463  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.38610    -44.509508  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.41184    -44.509560  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.43758    -44.509612  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
