#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  80  24
# Band-Index:    1
   0.00000    -44.507912  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.02574    -44.507920  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.05148    -44.507929  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.07722    -44.507940  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.10296    -44.507958  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.12870    -44.507980  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.15444    -44.508001  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.18018    -44.508028  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.20592    -44.508053  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.23166    -44.508085  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.25740    -44.508121  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.28314    -44.508163  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.30888    -44.508210  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.33462    -44.508249  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.36036    -44.508296  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.38610    -44.508342  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.41184    -44.508393  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.43758    -44.508445  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.46332    -44.508495  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.48906    -44.508550  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.51480    -44.508595  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.54054    -44.508653  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.56628    -44.508703  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.59202    -44.508754  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.61776    -44.508800  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.64350    -44.508846  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.66924    -44.508896  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.69498    -44.508944  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.72072    -44.508979  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.74646    -44.509020  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.77220    -44.509056  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.79794    -44.509079  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.82368    -44.509112  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.84942    -44.509136  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.87516    -44.509159  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.90090    -44.509178  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.92664    -44.509195  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.95238    -44.509210  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.97812    -44.509229  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.00386    -44.509233  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.00386    -44.509233  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.02960    -44.509229  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.05534    -44.509211  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.08107    -44.509196  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.10681    -44.509179  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.13255    -44.509159  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.15829    -44.509137  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.18403    -44.509112  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.20977    -44.509079  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.23551    -44.509054  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.26125    -44.509019  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.28699    -44.508978  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.31273    -44.508943  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.33847    -44.508895  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.36421    -44.508844  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.38995    -44.508798  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.41569    -44.508753  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.44143    -44.508702  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.46717    -44.508652  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.49291    -44.508595  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.51865    -44.508549  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.54439    -44.508494  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.57013    -44.508443  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.59587    -44.508391  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.62161    -44.508340  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.64735    -44.508294  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.67309    -44.508247  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.69883    -44.508209  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.72457    -44.508163  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.75031    -44.508121  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.77605    -44.508085  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.80179    -44.508054  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.82753    -44.508029  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.85327    -44.508002  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.87901    -44.507981  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.90475    -44.507959  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.93049    -44.507942  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.95623    -44.507930  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.98197    -44.507920  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.00771    -44.507912  0.000  0.000  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.994
 
# Band-Index:    2
   2.00771    -44.491009  0.000  0.978  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.994
   1.98197    -44.491010  0.000  0.978  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.994
   1.95623    -44.490984  0.000  0.977  0.000  0.017  0.000  0.000  0.000  0.000  0.000  0.994
   1.93049    -44.490961  0.000  0.977  0.000  0.017  0.000  0.000  0.000  0.000  0.000  0.994
   1.90475    -44.490941  0.000  0.976  0.000  0.017  0.000  0.000  0.000  0.000  0.000  0.994
   1.87901    -44.490914  0.000  0.976  0.000  0.018  0.000  0.000  0.000  0.000  0.000  0.994
   1.85327    -44.490876  0.000  0.975  0.000  0.019  0.000  0.000  0.000  0.000  0.000  0.994
   1.82753    -44.490828  0.000  0.974  0.000  0.020  0.000  0.000  0.000  0.000  0.000  0.994
   1.80179    -44.490780  0.000  0.973  0.000  0.021  0.000  0.000  0.000  0.000  0.000  0.994
   1.77605    -44.490727  0.000  0.971  0.000  0.023  0.000  0.000  0.000  0.000  0.000  0.994
   1.75031    -44.490668  0.000  0.969  0.000  0.025  0.000  0.000  0.000  0.000  0.000  0.994
   1.72457    -44.490604  0.000  0.967  0.000  0.027  0.000  0.000  0.000  0.000  0.000  0.994
   1.69883    -44.490542  0.000  0.965  0.000  0.029  0.000  0.000  0.000  0.000  0.000  0.994
   1.67309    -44.490466  0.000  0.961  0.000  0.032  0.000  0.000  0.000  0.000  0.000  0.994
   1.64735    -44.490389  0.000  0.957  0.000  0.036  0.000  0.000  0.000  0.000  0.000  0.994
   1.62161    -44.490305  0.000  0.953  0.000  0.041  0.000  0.000  0.000  0.000  0.000  0.994
   1.59587    -44.490232  0.000  0.947  0.000  0.047  0.000  0.000  0.000  0.000  0.000  0.994
   1.57013    -44.490153  0.000  0.940  0.000  0.054  0.000  0.000  0.000  0.000  0.000  0.994
   1.54439    -44.490070  0.000  0.930  0.000  0.064  0.000  0.000  0.000  0.000  0.000  0.994
   1.51865    -44.489986  0.000  0.918  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.994
   1.49291    -44.489904  0.000  0.902  0.000  0.092  0.000  0.000  0.000  0.000  0.000  0.994
   1.46717    -44.489825  0.000  0.880  0.000  0.114  0.000  0.000  0.000  0.000  0.000  0.994
   1.44143    -44.489742  0.000  0.852  0.000  0.142  0.000  0.000  0.000  0.000  0.000  0.994
   1.41569    -44.489667  0.000  0.818  0.000  0.176  0.000  0.000  0.000  0.000  0.000  0.994
   1.38995    -44.489602  0.000  0.782  0.000  0.212  0.000  0.000  0.000  0.000  0.000  0.994
   1.36421    -44.489540  0.000  0.736  0.000  0.258  0.000  0.000  0.000  0.000  0.000  0.994
   1.33847    -44.489485  0.000  0.679  0.000  0.315  0.000  0.000  0.000  0.000  0.000  0.994
   1.31273    -44.489434  0.000  0.616  0.000  0.378  0.000  0.000  0.000  0.000  0.000  0.994
   1.28699    -44.489391  0.000  0.561  0.000  0.433  0.000  0.000  0.000  0.000  0.000  0.994
   1.26125    -44.489351  0.000  0.486  0.000  0.508  0.000  0.000  0.000  0.000  0.000  0.994
   1.23551    -44.489316  0.000  0.425  0.000  0.569  0.000  0.000  0.000  0.000  0.000  0.994
   1.20977    -44.489283  0.000  0.371  0.000  0.623  0.000  0.000  0.000  0.000  0.000  0.994
   1.18403    -44.489258  0.000  0.319  0.000  0.675  0.000  0.000  0.000  0.000  0.000  0.994
   1.15829    -44.489240  0.000  0.288  0.000  0.706  0.000  0.000  0.000  0.000  0.000  0.994
   1.13255    -44.489224  0.000  0.259  0.000  0.735  0.000  0.000  0.000  0.000  0.000  0.994
   1.10681    -44.489211  0.000  0.239  0.000  0.755  0.000  0.000  0.000  0.000  0.000  0.994
   1.08107    -44.489200  0.000  0.224  0.000  0.770  0.000  0.000  0.000  0.000  0.000  0.994
   1.05534    -44.489196  0.000  0.214  0.000  0.780  0.000  0.000  0.000  0.000  0.000  0.994
   1.02960    -44.489203  0.000  0.207  0.000  0.787  0.000  0.000  0.000  0.000  0.000  0.994
   1.00386    -44.489204  0.000  0.210  0.000  0.784  0.000  0.000  0.000  0.000  0.000  0.994
