#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  80  24
# Band-Index:    1
   0.00000    -64.716737  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.03364    -64.716773  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.06729    -64.716872  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.10093    -64.717046  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.13457    -64.717289  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.16822    -64.717601  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.20186    -64.717965  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.23551    -64.718396  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.26915    -64.718888  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.30279    -64.719438  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.33644    -64.720038  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.37008    -64.720687  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.40372    -64.721380  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.43737    -64.722115  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.47101    -64.722878  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.50465    -64.723672  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.53830    -64.724495  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.57194    -64.725335  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.60559    -64.726190  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.63923    -64.727055  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.67287    -64.727920  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.70652    -64.728783  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.74016    -64.729634  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.77380    -64.730474  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.80745    -64.731293  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.84109    -64.732087  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.87473    -64.732852  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.90838    -64.733583  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.94202    -64.734275  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.97567    -64.734924  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.00931    -64.735522  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.04295    -64.736066  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.07660    -64.736561  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.11024    -64.736996  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.14388    -64.737367  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.17753    -64.737679  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.21117    -64.737920  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.24481    -64.738095  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.27846    -64.738201  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.31210    -64.738236  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.31210    -64.738236  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.34574    -64.738201  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.37939    -64.738095  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.41303    -64.737920  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.44668    -64.737679  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.48032    -64.737368  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.51396    -64.736997  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.54761    -64.736560  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.58125    -64.736066  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
