#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  80  24
# Band-Index:    1
   0.00000    -64.716462  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.03364    -64.716499  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.06729    -64.716599  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.10093    -64.716773  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.13457    -64.717016  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.16822    -64.717327  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.20186    -64.717688  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.23551    -64.718119  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.26915    -64.718612  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.30279    -64.719164  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.33644    -64.719764  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.37008    -64.720412  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.40372    -64.721104  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.43737    -64.721838  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.47101    -64.722602  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.50465    -64.723398  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.53830    -64.724222  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.57194    -64.725060  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.60559    -64.725915  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.63923    -64.726781  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.67287    -64.727646  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.70652    -64.728508  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.74016    -64.729362  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.77380    -64.730201  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.80745    -64.731022  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.84109    -64.731814  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.87473    -64.732577  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   0.90838    -64.733307  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.94202    -64.733997  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.97567    -64.734648  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.00931    -64.735247  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.04295    -64.735792  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.07660    -64.736286  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.11024    -64.736723  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.14388    -64.737094  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.17753    -64.737406  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.21117    -64.737647  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.24481    -64.737821  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.27846    -64.737927  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.31210    -64.737962  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.31210    -64.737962  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.34574    -64.737927  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.37939    -64.737821  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.41303    -64.737647  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.44668    -64.737406  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.48032    -64.737093  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.51396    -64.736722  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.54761    -64.736287  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.58125    -64.735792  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.61489    -64.735248  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.64854    -64.734650  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.68218    -64.734001  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.71582    -64.733309  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.74947    -64.732578  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.78311    -64.731813  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.81676    -64.731019  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.85040    -64.730200  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.88404    -64.729360  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.91769    -64.728509  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.95133    -64.727646  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.98497    -64.726781  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.01862    -64.725916  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.05226    -64.725061  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.08590    -64.724220  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.11955    -64.723397  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.15319    -64.722604  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.18684    -64.721841  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.22048    -64.721106  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.25412    -64.720413  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.28777    -64.719764  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.32141    -64.719164  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.35505    -64.718613  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.38870    -64.718121  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.42234    -64.717691  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.45598    -64.717326  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.48963    -64.717014  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.52327    -64.716771  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.55692    -64.716598  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.59056    -64.716499  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.62420    -64.716462  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
 
# Band-Index:    2
   2.62420    -62.179635  0.998  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.998
   2.59056    -62.179679  0.998  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.998
   2.55692    -62.179775  0.998  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.998
   2.52327    -62.179954  0.998  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.998
   2.48963    -62.180206  0.998  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.998
   2.45598    -62.180529  0.998  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.998
   2.42234    -62.180890  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.998
   2.38870    -62.181320  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.35505    -62.181821  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.32141    -62.182380  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.28777    -62.182986  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.25412    -62.183640  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.22048    -62.184351  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.18684    -62.185101  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.15319    -62.185869  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.11955    -62.186668  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.08590    -62.187505  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.05226    -62.188357  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   2.01862    -62.189229  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.98497    -62.190109  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.95133    -62.190982  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.91769    -62.191858  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.88404    -62.192717  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.85040    -62.193566  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.81676    -62.194394  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.78311    -62.195198  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.74947    -62.195970  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.71582    -62.196712  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.68218    -62.197411  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.64854    -62.198068  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.61489    -62.198667  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.58125    -62.199208  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.54761    -62.199706  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.51396    -62.200148  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.48032    -62.200527  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.44668    -62.200850  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.41303    -62.201093  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.37939    -62.201274  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.34574    -62.201385  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.31210    -62.201420  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.31210    -62.201420  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.27846    -62.201385  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.24481    -62.201274  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.21117    -62.201093  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
   1.17753    -62.200850  0.997  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.997
