#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  80  24
# Band-Index:    1
   0.00000    -18.906064  0.792  0.000  0.000  0.000  0.004  0.034  0.003  0.002  0.018  0.856
   0.03737    -18.907221  0.792  0.000  0.000  0.000  0.004  0.034  0.003  0.002  0.018  0.856
   0.07473    -18.910707  0.792  0.001  0.000  0.000  0.004  0.034  0.003  0.002  0.018  0.855
   0.11210    -18.916561  0.792  0.001  0.000  0.000  0.004  0.033  0.003  0.002  0.018  0.855
   0.14947    -18.924841  0.791  0.002  0.000  0.000  0.004  0.032  0.003  0.002  0.018  0.855
   0.18683    -18.935695  0.790  0.003  0.001  0.000  0.004  0.030  0.003  0.002  0.018  0.853
   0.22420    -18.949291  0.789  0.005  0.002  0.000  0.004  0.029  0.003  0.002  0.017  0.853
   0.26157    -18.965667  0.789  0.006  0.002  0.000  0.004  0.027  0.003  0.002  0.018  0.853
   0.29893    -18.985040  0.788  0.008  0.002  0.000  0.004  0.025  0.003  0.002  0.018  0.850
   0.33630    -19.007330  0.788  0.009  0.003  0.000  0.003  0.023  0.003  0.002  0.017  0.848
   0.37366    -19.032647  0.787  0.011  0.004  0.000  0.003  0.021  0.003  0.002  0.017  0.847
   0.41103    -19.060814  0.785  0.012  0.004  0.000  0.003  0.019  0.003  0.001  0.016  0.846
   0.44840    -19.091849  0.785  0.013  0.004  0.000  0.003  0.017  0.003  0.001  0.016  0.843
   0.48576    -19.125519  0.784  0.014  0.004  0.000  0.002  0.015  0.003  0.001  0.015  0.842
   0.52313    -19.161642  0.784  0.014  0.004  0.000  0.002  0.014  0.003  0.001  0.016  0.840
   0.56050    -19.199865  0.784  0.014  0.004  0.000  0.002  0.012  0.002  0.001  0.016  0.837
   0.59786    -19.239971  0.783  0.014  0.005  0.000  0.002  0.011  0.002  0.001  0.015  0.836
   0.63523    -19.281613  0.784  0.014  0.005  0.000  0.002  0.010  0.002  0.001  0.015  0.834
