#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  80  24
# Band-Index:    1
   0.00000    -18.959046  0.786  0.000  0.000  0.000  0.002  0.051  0.004  0.001  0.013  0.860
   0.03737    -18.959772  0.786  0.000  0.000  0.000  0.002  0.051  0.004  0.001  0.013  0.859
   0.07473    -18.961957  0.786  0.000  0.000  0.000  0.002  0.050  0.004  0.001  0.013  0.858
   0.11210    -18.965640  0.786  0.001  0.000  0.000  0.002  0.049  0.004  0.001  0.012  0.858
   0.14947    -18.970875  0.786  0.001  0.001  0.000  0.002  0.048  0.004  0.001  0.012  0.857
   0.18683    -18.977843  0.786  0.002  0.001  0.000  0.002  0.047  0.004  0.001  0.013  0.857
   0.22420    -18.986761  0.786  0.003  0.001  0.000  0.002  0.045  0.004  0.001  0.013  0.856
   0.26157    -18.997778  0.785  0.004  0.002  0.000  0.002  0.043  0.004  0.001  0.013  0.854
   0.29893    -19.011274  0.786  0.005  0.002  0.000  0.002  0.040  0.004  0.001  0.013  0.853
   0.33630    -19.027422  0.785  0.006  0.002  0.000  0.002  0.037  0.004  0.001  0.013  0.851
   0.37366    -19.046592  0.784  0.008  0.002  0.000  0.002  0.034  0.004  0.001  0.012  0.850
   0.41103    -19.068883  0.785  0.010  0.004  0.000  0.001  0.031  0.003  0.001  0.012  0.848
   0.44840    -19.094554  0.785  0.011  0.004  0.000  0.001  0.027  0.003  0.001  0.013  0.846
   0.48576    -19.123528  0.785  0.012  0.004  0.000  0.001  0.024  0.003  0.001  0.012  0.844
   0.52313    -19.155717  0.784  0.013  0.004  0.000  0.001  0.021  0.003  0.001  0.012  0.841
   0.56050    -19.190799  0.784  0.014  0.005  0.000  0.001  0.018  0.002  0.001  0.012  0.839
   0.59786    -19.228510  0.783  0.014  0.005  0.000  0.001  0.016  0.002  0.001  0.013  0.838
   0.63523    -19.268454  0.784  0.014  0.005  0.000  0.001  0.014  0.002  0.001  0.012  0.834
   0.67260    -19.310302  0.785  0.014  0.004  0.000  0.001  0.012  0.002  0.001  0.012  0.832
   0.70996    -19.353531  0.784  0.014  0.004  0.000  0.001  0.010  0.002  0.001  0.013  0.830
   0.74733    -19.397791  0.785  0.013  0.004  0.000  0.001  0.009  0.002  0.001  0.012  0.828
   0.78470    -19.442577  0.784  0.013  0.004  0.000  0.001  0.008  0.002  0.001  0.012  0.825
   0.82206    -19.487519  0.785  0.012  0.004  0.000  0.001  0.007  0.002  0.001  0.013  0.825
   0.85943    -19.532243  0.785  0.011  0.004  0.000  0.001  0.006  0.002  0.001  0.013  0.822
   0.89679    -19.576305  0.786  0.010  0.004  0.000  0.001  0.005  0.002  0.001  0.012  0.820
   0.93416    -19.619493  0.785  0.009  0.003  0.000  0.001  0.004  0.002  0.001  0.012  0.818
