#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  80  24
# Band-Index:    1
   0.00000    -12.418674  0.637  0.015  0.010  0.000  0.000  0.016  0.000  0.000  0.008  0.683
   0.01442    -12.409706  0.636  0.016  0.009  0.000  0.000  0.015  0.000  0.000  0.006  0.682
   0.02884    -12.416824  0.637  0.017  0.009  0.000  0.000  0.011  0.000  0.000  0.005  0.680
   0.04325    -12.432484  0.638  0.018  0.009  0.000  0.000  0.010  0.000  0.000  0.004  0.678
   0.05767    -12.450140  0.639  0.018  0.008  0.000  0.000  0.009  0.000  0.000  0.003  0.675
   0.07209    -12.468302  0.638  0.018  0.008  0.000  0.000  0.008  0.000  0.000  0.003  0.675
   0.08651    -12.486543  0.637  0.018  0.008  0.000  0.000  0.008  0.000  0.000  0.003  0.673
   0.10092    -12.504693  0.637  0.018  0.007  0.000  0.000  0.007  0.000  0.000  0.003  0.672
   0.11534    -12.522662  0.635  0.018  0.007  0.000  0.000  0.007  0.000  0.000  0.002  0.671
   0.12976    -12.540393  0.635  0.019  0.007  0.000  0.000  0.007  0.000  0.000  0.002  0.669
   0.14418    -12.557838  0.635  0.020  0.007  0.000  0.000  0.006  0.000  0.000  0.002  0.668
   0.15859    -12.574965  0.634  0.020  0.005  0.000  0.000  0.006  0.000  0.000  0.002  0.668
   0.17301    -12.591741  0.634  0.020  0.004  0.000  0.000  0.005  0.000  0.000  0.002  0.666
   0.18743    -12.608139  0.633  0.020  0.004  0.000  0.000  0.005  0.000  0.000  0.002  0.666
   0.20185    -12.624133  0.632  0.020  0.004  0.000  0.000  0.005  0.000  0.000  0.002  0.664
   0.21627    -12.639699  0.632  0.021  0.004  0.000  0.000  0.004  0.000  0.000  0.002  0.664
   0.23068    -12.654816  0.632  0.021  0.003  0.000  0.000  0.004  0.000  0.000  0.002  0.663
   0.24510    -12.669463  0.632  0.021  0.003  0.000  0.000  0.004  0.000  0.000  0.002  0.662
