#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  80  24
# Band-Index:    1
   0.00000    -12.418547  0.636  0.015  0.010  0.000  0.000  0.016  0.000  0.000  0.008  0.683
   0.01442    -12.434495  0.636  0.016  0.009  0.000  0.000  0.015  0.000  0.000  0.007  0.682
   0.02884    -12.452026  0.636  0.016  0.009  0.000  0.000  0.015  0.000  0.000  0.007  0.680
   0.04325    -12.469962  0.634  0.016  0.008  0.000  0.000  0.014  0.000  0.000  0.007  0.679
   0.05767    -12.487951  0.634  0.017  0.008  0.000  0.000  0.014  0.000  0.000  0.006  0.678
   0.07209    -12.505846  0.634  0.017  0.008  0.000  0.000  0.013  0.000  0.000  0.006  0.676
   0.08651    -12.523562  0.633  0.017  0.007  0.000  0.000  0.013  0.000  0.000  0.006  0.675
   0.10092    -12.541047  0.633  0.018  0.007  0.000  0.000  0.012  0.000  0.000  0.006  0.674
   0.11534    -12.558259  0.633  0.018  0.007  0.000  0.000  0.011  0.000  0.000  0.006  0.673
   0.12976    -12.575166  0.632  0.018  0.005  0.000  0.000  0.010  0.000  0.000  0.005  0.671
   0.14418    -12.591736  0.632  0.019  0.005  0.000  0.000  0.010  0.000  0.000  0.005  0.670
   0.15859    -12.607944  0.631  0.019  0.005  0.000  0.000  0.009  0.000  0.000  0.005  0.670
   0.17301    -12.623764  0.631  0.019  0.005  0.000  0.000  0.009  0.000  0.000  0.005  0.669
   0.18743    -12.639172  0.631  0.019  0.003  0.000  0.000  0.009  0.000  0.000  0.005  0.668
   0.20185    -12.654147  0.630  0.020  0.003  0.000  0.000  0.008  0.000  0.000  0.004  0.667
   0.21627    -12.668667  0.629  0.020  0.003  0.000  0.000  0.008  0.000  0.000  0.004  0.666
   0.23068    -12.682715  0.630  0.020  0.003  0.000  0.000  0.007  0.000  0.000  0.004  0.665
   0.24510    -12.696271  0.628  0.020  0.003  0.000  0.000  0.007  0.000  0.000  0.004  0.664
   0.25952    -12.709319  0.628  0.021  0.003  0.000  0.000  0.007  0.000  0.000  0.004  0.663
   0.27394    -12.721837  0.629  0.021  0.003  0.000  0.000  0.006  0.000  0.000  0.004  0.662
   0.28835    -12.733815  0.628  0.021  0.003  0.000  0.000  0.006  0.000  0.000  0.003  0.662
   0.30277    -12.745235  0.628  0.023  0.002  0.000  0.000  0.006  0.000  0.000  0.003  0.660
   0.31719    -12.756083  0.627  0.023  0.001  0.000  0.000  0.005  0.000  0.000  0.003  0.660
   0.33161    -12.766346  0.628  0.024  0.001  0.000  0.000  0.005  0.000  0.000  0.003  0.661
   0.34602    -12.776010  0.627  0.023  0.001  0.000  0.000  0.005  0.000  0.000  0.003  0.659
