#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  80  24
# Band-Index:    1
   0.00000    -43.581698  0.000  0.046  0.912  0.036  0.000  0.000  0.000  0.000  0.000  0.994
   0.03249    -43.581701  0.000  0.046  0.912  0.036  0.000  0.000  0.000  0.000  0.000  0.994
   0.06498    -43.581698  0.000  0.046  0.911  0.036  0.000  0.000  0.000  0.000  0.000  0.994
   0.09747    -43.581693  0.000  0.046  0.911  0.037  0.000  0.000  0.000  0.000  0.000  0.994
   0.12996    -43.581684  0.000  0.046  0.911  0.037  0.000  0.000  0.000  0.000  0.000  0.994
   0.16245    -43.581674  0.000  0.045  0.910  0.038  0.000  0.000  0.000  0.000  0.000  0.994
   0.19494    -43.581656  0.000  0.045  0.910  0.039  0.000  0.000  0.000  0.000  0.000  0.994
   0.22743    -43.581640  0.000  0.045  0.909  0.040  0.000  0.000  0.000  0.000  0.000  0.994
   0.25991    -43.581615  0.000  0.044  0.909  0.041  0.000  0.000  0.000  0.000  0.000  0.994
   0.29240    -43.581588  0.000  0.044  0.908  0.042  0.000  0.000  0.000  0.000  0.000  0.994
   0.32489    -43.581566  0.000  0.043  0.907  0.044  0.000  0.000  0.000  0.000  0.000  0.994
   0.35738    -43.581532  0.000  0.043  0.906  0.045  0.000  0.000  0.000  0.000  0.000  0.994
   0.38987    -43.581508  0.000  0.042  0.905  0.047  0.000  0.000  0.000  0.000  0.000  0.994
   0.42236    -43.581481  0.000  0.042  0.904  0.048  0.000  0.000  0.000  0.000  0.000  0.994
   0.45485    -43.581451  0.000  0.041  0.903  0.049  0.000  0.000  0.000  0.000  0.000  0.994
   0.48734    -43.581421  0.000  0.041  0.902  0.051  0.000  0.000  0.000  0.000  0.000  0.994
   0.51983    -43.581388  0.000  0.040  0.901  0.053  0.000  0.000  0.000  0.000  0.000  0.994
   0.55232    -43.581360  0.000  0.040  0.900  0.054  0.000  0.000  0.000  0.000  0.000  0.994
   0.58481    -43.581338  0.000  0.039  0.899  0.056  0.000  0.000  0.000  0.000  0.000  0.994
   0.61730    -43.581317  0.000  0.038  0.898  0.057  0.000  0.000  0.000  0.000  0.000  0.994
   0.64979    -43.581298  0.000  0.038  0.897  0.059  0.000  0.000  0.000  0.000  0.000  0.994
   0.68228    -43.581278  0.000  0.038  0.896  0.060  0.000  0.000  0.000  0.000  0.000  0.994
   0.71477    -43.581267  0.000  0.037  0.895  0.061  0.000  0.000  0.000  0.000  0.000  0.994
   0.74725    -43.581248  0.000  0.037  0.895  0.062  0.000  0.000  0.000  0.000  0.000  0.994
   0.77974    -43.581235  0.000  0.036  0.894  0.063  0.000  0.000  0.000  0.000  0.000  0.994
   0.81223    -43.581226  0.000  0.036  0.893  0.064  0.000  0.000  0.000  0.000  0.000  0.994
   0.84472    -43.581217  0.000  0.036  0.893  0.065  0.000  0.000  0.000  0.000  0.000  0.994
   0.87721    -43.581207  0.000  0.035  0.892  0.066  0.000  0.000  0.000  0.000  0.000  0.994
   0.90970    -43.581203  0.000  0.035  0.892  0.067  0.000  0.000  0.000  0.000  0.000  0.994
   0.94219    -43.581197  0.000  0.035  0.891  0.068  0.000  0.000  0.000  0.000  0.000  0.994
   0.97468    -43.581199  0.000  0.035  0.891  0.069  0.000  0.000  0.000  0.000  0.000  0.994
   1.00717    -43.581199  0.000  0.034  0.890  0.069  0.000  0.000  0.000  0.000  0.000  0.994
   1.03966    -43.581197  0.000  0.034  0.890  0.069  0.000  0.000  0.000  0.000  0.000  0.994
   1.07215    -43.581189  0.000  0.034  0.890  0.069  0.000  0.000  0.000  0.000  0.000  0.994
   1.10464    -43.581187  0.000  0.034  0.890  0.070  0.000  0.000  0.000  0.000  0.000  0.994
   1.13713    -43.581192  0.000  0.034  0.890  0.070  0.000  0.000  0.000  0.000  0.000  0.994
   1.16962    -43.581189  0.000  0.034  0.890  0.070  0.000  0.000  0.000  0.000  0.000  0.994
   1.20211    -43.581183  0.000  0.034  0.889  0.071  0.000  0.000  0.000  0.000  0.000  0.994
   1.23459    -43.581179  0.000  0.034  0.889  0.071  0.000  0.000  0.000  0.000  0.000  0.994
   1.26708    -43.581177  0.000  0.034  0.890  0.070  0.000  0.000  0.000  0.000  0.000  0.994
   1.26708    -43.581177  0.000  0.034  0.890  0.070  0.000  0.000  0.000  0.000  0.000  0.994
   1.29957    -43.581179  0.000  0.034  0.889  0.071  0.000  0.000  0.000  0.000  0.000  0.994
   1.33206    -43.581185  0.000  0.033  0.888  0.073  0.000  0.000  0.000  0.000  0.000  0.994
   1.36455    -43.581191  0.000  0.033  0.886  0.075  0.000  0.000  0.000  0.000  0.000  0.994
   1.39703    -43.581196  0.000  0.032  0.883  0.079  0.000  0.000  0.000  0.000  0.000  0.994
   1.42952    -43.581198  0.000  0.031  0.878  0.085  0.000  0.000  0.000  0.000  0.000  0.994
   1.46201    -43.581204  0.000  0.030  0.872  0.092  0.000  0.000  0.000  0.000  0.000  0.994
   1.49450    -43.581220  0.000  0.028  0.865  0.101  0.000  0.000  0.000  0.000  0.000  0.994
   1.52698    -43.581239  0.000  0.026  0.855  0.112  0.000  0.000  0.000  0.000  0.000  0.994
   1.55947    -43.581267  0.000  0.024  0.843  0.126  0.000  0.000  0.000  0.000  0.000  0.994
   1.59196    -43.581299  0.000  0.022  0.828  0.144  0.000  0.000  0.000  0.000  0.000  0.994
   1.62445    -43.581351  0.000  0.019  0.809  0.165  0.000  0.000  0.000  0.000  0.000  0.994
   1.65693    -43.581418  0.000  0.016  0.786  0.192  0.000  0.000  0.000  0.000  0.000  0.994
   1.68942    -43.581508  0.000  0.013  0.759  0.222  0.000  0.000  0.000  0.000  0.000  0.994
   1.72191    -43.581619  0.000  0.010  0.725  0.258  0.000  0.000  0.000  0.000  0.000  0.994
   1.75440    -43.581758  0.000  0.007  0.687  0.300  0.000  0.000  0.000  0.000  0.000  0.994
   1.78688    -43.581931  0.000  0.005  0.645  0.345  0.000  0.000  0.000  0.000  0.000  0.994
   1.81937    -43.582130  0.000  0.003  0.599  0.393  0.000  0.000  0.000  0.000  0.000  0.994
   1.85186    -43.582363  0.000  0.001  0.551  0.442  0.000  0.000  0.000  0.000  0.000  0.994
   1.88435    -43.582626  0.000  0.000  0.504  0.490  0.000  0.000  0.000  0.000  0.000  0.994
   1.91683    -43.582915  0.000  0.000  0.459  0.534  0.000  0.000  0.000  0.000  0.000  0.994
   1.94932    -43.583229  0.000  0.000  0.417  0.577  0.000  0.000  0.000  0.000  0.000  0.994
   1.98181    -43.583558  0.000  0.001  0.379  0.614  0.000  0.000  0.000  0.000  0.000  0.994
   2.01429    -43.583907  0.000  0.002  0.346  0.646  0.000  0.000  0.000  0.000  0.000  0.994
   2.04678    -43.584260  0.000  0.003  0.316  0.675  0.000  0.000  0.000  0.000  0.000  0.994
   2.07927    -43.584611  0.000  0.004  0.291  0.699  0.000  0.000  0.000  0.000  0.000  0.994
   2.11176    -43.584958  0.000  0.005  0.270  0.719  0.000  0.000  0.000  0.000  0.000  0.994
   2.14424    -43.585296  0.000  0.006  0.251  0.737  0.000  0.000  0.000  0.000  0.000  0.994
   2.17673    -43.585619  0.000  0.007  0.236  0.751  0.000  0.000  0.000  0.000  0.000  0.994
   2.20922    -43.585934  0.000  0.008  0.223  0.763  0.000  0.000  0.000  0.000  0.000  0.994
   2.24171    -43.586217  0.000  0.009  0.211  0.774  0.000  0.000  0.000  0.000  0.000  0.993
   2.27419    -43.586492  0.000  0.009  0.201  0.783  0.000  0.000  0.000  0.000  0.000  0.993
   2.30668    -43.586740  0.000  0.010  0.193  0.790  0.000  0.000  0.000  0.000  0.000  0.993
