#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  80  24
# Band-Index:    1
   0.00000    -43.586654  0.000  0.810  0.168  0.015  0.000  0.000  0.000  0.000  0.000  0.993
   0.03249    -43.586640  0.000  0.810  0.168  0.015  0.000  0.000  0.000  0.000  0.000  0.993
   0.06498    -43.586584  0.000  0.809  0.169  0.015  0.000  0.000  0.000  0.000  0.000  0.993
   0.09747    -43.586503  0.000  0.807  0.171  0.015  0.000  0.000  0.000  0.000  0.000  0.993
   0.12996    -43.586382  0.000  0.805  0.174  0.015  0.000  0.000  0.000  0.000  0.000  0.993
   0.16245    -43.586236  0.000  0.801  0.178  0.014  0.000  0.000  0.000  0.000  0.000  0.993
   0.19494    -43.586045  0.000  0.797  0.183  0.014  0.000  0.000  0.000  0.000  0.000  0.993
   0.22743    -43.585826  0.000  0.791  0.190  0.013  0.000  0.000  0.000  0.000  0.000  0.993
   0.25991    -43.585575  0.000  0.784  0.197  0.012  0.000  0.000  0.000  0.000  0.000  0.993
   0.29240    -43.585296  0.000  0.775  0.207  0.011  0.000  0.000  0.000  0.000  0.000  0.993
   0.32489    -43.585008  0.000  0.765  0.218  0.010  0.000  0.000  0.000  0.000  0.000  0.994
   0.35738    -43.584690  0.000  0.754  0.230  0.009  0.000  0.000  0.000  0.000  0.000  0.994
   0.38987    -43.584360  0.000  0.740  0.246  0.008  0.000  0.000  0.000  0.000  0.000  0.994
   0.42236    -43.584018  0.000  0.723  0.263  0.007  0.000  0.000  0.000  0.000  0.000  0.994
   0.45485    -43.583665  0.000  0.704  0.284  0.006  0.000  0.000  0.000  0.000  0.000  0.994
   0.48734    -43.583307  0.000  0.680  0.309  0.004  0.000  0.000  0.000  0.000  0.000  0.994
   0.51983    -43.582942  0.000  0.653  0.338  0.003  0.000  0.000  0.000  0.000  0.000  0.994
   0.55232    -43.582588  0.000  0.621  0.372  0.002  0.000  0.000  0.000  0.000  0.000  0.994
   0.58481    -43.582250  0.000  0.583  0.410  0.001  0.000  0.000  0.000  0.000  0.000  0.994
   0.61730    -43.581926  0.000  0.541  0.453  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.64979    -43.581631  0.000  0.495  0.499  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.68228    -43.581358  0.000  0.446  0.548  0.001  0.000  0.000  0.000  0.000  0.000  0.994
   0.71477    -43.581122  0.000  0.394  0.597  0.002  0.000  0.000  0.000  0.000  0.000  0.994
   0.74725    -43.580917  0.000  0.344  0.645  0.004  0.000  0.000  0.000  0.000  0.000  0.994
   0.77974    -43.580742  0.000  0.297  0.690  0.007  0.000  0.000  0.000  0.000  0.000  0.994
   0.81223    -43.580601  0.000  0.254  0.730  0.010  0.000  0.000  0.000  0.000  0.000  0.994
   0.84472    -43.580490  0.000  0.216  0.764  0.014  0.000  0.000  0.000  0.000  0.000  0.994
   0.87721    -43.580400  0.000  0.185  0.792  0.017  0.000  0.000  0.000  0.000  0.000  0.994
   0.90970    -43.580334  0.000  0.158  0.816  0.020  0.000  0.000  0.000  0.000  0.000  0.994
   0.94219    -43.580283  0.000  0.136  0.835  0.023  0.000  0.000  0.000  0.000  0.000  0.994
   0.97468    -43.580253  0.000  0.118  0.849  0.026  0.000  0.000  0.000  0.000  0.000  0.994
   1.00717    -43.580228  0.000  0.104  0.861  0.028  0.000  0.000  0.000  0.000  0.000  0.994
   1.03966    -43.580210  0.000  0.093  0.870  0.030  0.000  0.000  0.000  0.000  0.000  0.994
   1.07215    -43.580196  0.000  0.084  0.878  0.032  0.000  0.000  0.000  0.000  0.000  0.994
   1.10464    -43.580190  0.000  0.077  0.883  0.034  0.000  0.000  0.000  0.000  0.000  0.994
   1.13713    -43.580191  0.000  0.072  0.887  0.035  0.000  0.000  0.000  0.000  0.000  0.994
   1.16962    -43.580186  0.000  0.068  0.890  0.036  0.000  0.000  0.000  0.000  0.000  0.994
   1.20211    -43.580180  0.000  0.066  0.892  0.036  0.000  0.000  0.000  0.000  0.000  0.994
   1.23459    -43.580175  0.000  0.064  0.893  0.037  0.000  0.000  0.000  0.000  0.000  0.994
   1.26708    -43.580174  0.000  0.063  0.894  0.037  0.000  0.000  0.000  0.000  0.000  0.994
   1.26708    -43.580174  0.000  0.063  0.894  0.037  0.000  0.000  0.000  0.000  0.000  0.994
   1.29957    -43.580175  0.000  0.064  0.894  0.037  0.000  0.000  0.000  0.000  0.000  0.994
   1.33206    -43.580181  0.000  0.063  0.894  0.037  0.000  0.000  0.000  0.000  0.000  0.994
   1.36455    -43.580185  0.000  0.063  0.894  0.037  0.000  0.000  0.000  0.000  0.000  0.994
   1.39703    -43.580188  0.000  0.063  0.894  0.037  0.000  0.000  0.000  0.000  0.000  0.994
   1.42952    -43.580185  0.000  0.063  0.894  0.037  0.000  0.000  0.000  0.000  0.000  0.994
   1.46201    -43.580186  0.000  0.062  0.894  0.037  0.000  0.000  0.000  0.000  0.000  0.994
   1.49450    -43.580194  0.000  0.062  0.894  0.037  0.000  0.000  0.000  0.000  0.000  0.994
   1.52698    -43.580196  0.000  0.062  0.895  0.037  0.000  0.000  0.000  0.000  0.000  0.994
   1.55947    -43.580196  0.000  0.061  0.895  0.038  0.000  0.000  0.000  0.000  0.000  0.994
   1.59196    -43.580195  0.000  0.061  0.895  0.038  0.000  0.000  0.000  0.000  0.000  0.994
   1.62445    -43.580201  0.000  0.060  0.896  0.038  0.000  0.000  0.000  0.000  0.000  0.994
   1.65693    -43.580206  0.000  0.059  0.896  0.039  0.000  0.000  0.000  0.000  0.000  0.994
   1.68942    -43.580216  0.000  0.058  0.897  0.039  0.000  0.000  0.000  0.000  0.000  0.994
   1.72191    -43.580225  0.000  0.057  0.897  0.039  0.000  0.000  0.000  0.000  0.000  0.994
   1.75440    -43.580235  0.000  0.056  0.898  0.040  0.000  0.000  0.000  0.000  0.000  0.994
   1.78688    -43.580248  0.000  0.055  0.899  0.040  0.000  0.000  0.000  0.000  0.000  0.994
   1.81937    -43.580267  0.000  0.054  0.899  0.040  0.000  0.000  0.000  0.000  0.000  0.994
   1.85186    -43.580281  0.000  0.053  0.900  0.041  0.000  0.000  0.000  0.000  0.000  0.994
   1.88435    -43.580300  0.000  0.051  0.901  0.041  0.000  0.000  0.000  0.000  0.000  0.994
   1.91683    -43.580322  0.000  0.050  0.902  0.042  0.000  0.000  0.000  0.000  0.000  0.994
   1.94932    -43.580340  0.000  0.049  0.903  0.043  0.000  0.000  0.000  0.000  0.000  0.994
   1.98181    -43.580364  0.000  0.047  0.904  0.043  0.000  0.000  0.000  0.000  0.000  0.994
   2.01429    -43.580396  0.000  0.045  0.905  0.044  0.000  0.000  0.000  0.000  0.000  0.994
   2.04678    -43.580427  0.000  0.044  0.906  0.044  0.000  0.000  0.000  0.000  0.000  0.994
   2.07927    -43.580457  0.000  0.042  0.907  0.045  0.000  0.000  0.000  0.000  0.000  0.994
   2.11176    -43.580488  0.000  0.041  0.907  0.046  0.000  0.000  0.000  0.000  0.000  0.994
   2.14424    -43.580516  0.000  0.040  0.908  0.046  0.000  0.000  0.000  0.000  0.000  0.994
   2.17673    -43.580540  0.000  0.038  0.909  0.047  0.000  0.000  0.000  0.000  0.000  0.994
   2.20922    -43.580571  0.000  0.037  0.910  0.047  0.000  0.000  0.000  0.000  0.000  0.994
   2.24171    -43.580598  0.000  0.035  0.910  0.048  0.000  0.000  0.000  0.000  0.000  0.994
   2.27419    -43.580626  0.000  0.034  0.911  0.048  0.000  0.000  0.000  0.000  0.000  0.994
   2.30668    -43.580651  0.000  0.033  0.912  0.049  0.000  0.000  0.000  0.000  0.000  0.994
   2.33917    -43.580666  0.000  0.032  0.912  0.049  0.000  0.000  0.000  0.000  0.000  0.994
   2.37166    -43.580686  0.000  0.031  0.913  0.050  0.000  0.000  0.000  0.000  0.000  0.994
   2.40414    -43.580696  0.000  0.031  0.913  0.050  0.000  0.000  0.000  0.000  0.000  0.994
   2.43663    -43.580705  0.000  0.030  0.913  0.050  0.000  0.000  0.000  0.000  0.000  0.994
   2.46912    -43.580711  0.000  0.030  0.914  0.050  0.000  0.000  0.000  0.000  0.000  0.994
   2.50161    -43.580713  0.000  0.029  0.914  0.051  0.000  0.000  0.000  0.000  0.000  0.994
   2.53409    -43.580711  0.000  0.029  0.914  0.051  0.000  0.000  0.000  0.000  0.000  0.994
 
# Band-Index:    2
   2.53409    -43.575188  0.000  0.901  0.010  0.083  0.000  0.000  0.000  0.000  0.000  0.994
   2.50161    -43.575187  0.000  0.901  0.010  0.083  0.000  0.000  0.000  0.000  0.000  0.994
   2.46912    -43.575175  0.000  0.900  0.011  0.083  0.000  0.000  0.000  0.000  0.000  0.994
   2.43663    -43.575159  0.000  0.900  0.011  0.083  0.000  0.000  0.000  0.000  0.000  0.994
   2.40414    -43.575136  0.000  0.899  0.011  0.083  0.000  0.000  0.000  0.000  0.000  0.994
   2.37166    -43.575109  0.000  0.899  0.012  0.084  0.000  0.000  0.000  0.000  0.000  0.994
   2.33917    -43.575073  0.000  0.898  0.012  0.084  0.000  0.000  0.000  0.000  0.000  0.994
   2.30668    -43.575030  0.000  0.897  0.013  0.084  0.000  0.000  0.000  0.000  0.000  0.994
   2.27419    -43.574980  0.000  0.896  0.013  0.085  0.000  0.000  0.000  0.000  0.000  0.994
   2.24171    -43.574923  0.000  0.895  0.014  0.085  0.000  0.000  0.000  0.000  0.000  0.994
   2.20922    -43.574866  0.000  0.894  0.015  0.085  0.000  0.000  0.000  0.000  0.000  0.994
   2.17673    -43.574803  0.000  0.892  0.016  0.086  0.000  0.000  0.000  0.000  0.000  0.994
   2.14424    -43.574739  0.000  0.891  0.017  0.086  0.000  0.000  0.000  0.000  0.000  0.994
   2.11176    -43.574671  0.000  0.890  0.018  0.086  0.000  0.000  0.000  0.000  0.000  0.994
   2.07927    -43.574601  0.000  0.889  0.019  0.087  0.000  0.000  0.000  0.000  0.000  0.994
   2.04678    -43.574521  0.000  0.887  0.020  0.087  0.000  0.000  0.000  0.000  0.000  0.994
   2.01429    -43.574440  0.000  0.885  0.021  0.087  0.000  0.000  0.000  0.000  0.000  0.994
   1.98181    -43.574357  0.000  0.884  0.022  0.088  0.000  0.000  0.000  0.000  0.000  0.994
   1.94932    -43.574276  0.000  0.883  0.023  0.088  0.000  0.000  0.000  0.000  0.000  0.994
   1.91683    -43.574201  0.000  0.881  0.025  0.088  0.000  0.000  0.000  0.000  0.000  0.994
   1.88435    -43.574123  0.000  0.880  0.026  0.089  0.000  0.000  0.000  0.000  0.000  0.994
   1.85186    -43.574041  0.000  0.879  0.027  0.089  0.000  0.000  0.000  0.000  0.000  0.994
   1.81937    -43.573969  0.000  0.878  0.028  0.089  0.000  0.000  0.000  0.000  0.000  0.994
   1.78688    -43.573889  0.000  0.877  0.028  0.089  0.000  0.000  0.000  0.000  0.000  0.994
   1.75440    -43.573814  0.000  0.876  0.029  0.089  0.000  0.000  0.000  0.000  0.000  0.994
   1.72191    -43.573738  0.000  0.875  0.030  0.089  0.000  0.000  0.000  0.000  0.000  0.994
   1.68942    -43.573666  0.000  0.874  0.031  0.090  0.000  0.000  0.000  0.000  0.000  0.994
   1.65693    -43.573600  0.000  0.873  0.032  0.090  0.000  0.000  0.000  0.000  0.000  0.994
   1.62445    -43.573538  0.000  0.872  0.032  0.090  0.000  0.000  0.000  0.000  0.000  0.994
   1.59196    -43.573478  0.000  0.871  0.033  0.090  0.000  0.000  0.000  0.000  0.000  0.994
   1.55947    -43.573426  0.000  0.871  0.034  0.090  0.000  0.000  0.000  0.000  0.000  0.994
   1.52698    -43.573377  0.000  0.871  0.034  0.090  0.000  0.000  0.000  0.000  0.000  0.994
   1.49450    -43.573334  0.000  0.870  0.034  0.090  0.000  0.000  0.000  0.000  0.000  0.994
   1.46201    -43.573292  0.000  0.870  0.034  0.090  0.000  0.000  0.000  0.000  0.000  0.994
   1.42952    -43.573257  0.000  0.870  0.035  0.090  0.000  0.000  0.000  0.000  0.000  0.994
   1.39703    -43.573228  0.000  0.870  0.035  0.090  0.000  0.000  0.000  0.000  0.000  0.994
   1.36455    -43.573208  0.000  0.869  0.035  0.090  0.000  0.000  0.000  0.000  0.000  0.994
   1.33206    -43.573195  0.000  0.869  0.035  0.090  0.000  0.000  0.000  0.000  0.000  0.994
   1.29957    -43.573187  0.000  0.869  0.035  0.090  0.000  0.000  0.000  0.000  0.000  0.994
