#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  80  48
# Band-Index:    1
   0.00000    -11.312645  0.586  0.023  0.003  0.000  0.000  0.042  0.000  0.000  0.024  0.680
   0.02838    -11.313352  0.586  0.023  0.003  0.000  0.000  0.042  0.000  0.000  0.024  0.680
   0.05676    -11.315617  0.586  0.023  0.003  0.000  0.000  0.042  0.000  0.000  0.024  0.679
   0.08514    -11.320145  0.585  0.024  0.004  0.000  0.000  0.040  0.000  0.000  0.022  0.679
   0.11352    -11.329857  0.587  0.026  0.004  0.000  0.000  0.035  0.000  0.000  0.019  0.672
   0.14190    -11.354779  0.590  0.029  0.004  0.000  0.000  0.026  0.000  0.000  0.012  0.663
   0.17028    -11.401089  0.593  0.031  0.005  0.000  0.000  0.019  0.000  0.000  0.008  0.656
   0.19866    -11.460560  0.591  0.030  0.004  0.000  0.000  0.016  0.000  0.000  0.007  0.651
   0.22704    -11.528290  0.589  0.031  0.007  0.000  0.000  0.014  0.000  0.000  0.005  0.646
   0.25542    -11.602192  0.587  0.030  0.007  0.000  0.000  0.012  0.000  0.000  0.005  0.641
   0.28380    -11.680916  0.584  0.029  0.007  0.000  0.000  0.011  0.000  0.000  0.005  0.635
   0.31218    -11.763372  0.583  0.028  0.007  0.000  0.000  0.009  0.000  0.000  0.004  0.631
   0.34056    -11.848600  0.580  0.027  0.006  0.000  0.000  0.008  0.000  0.000  0.004  0.627
   0.36894    -11.935738  0.578  0.026  0.007  0.000  0.000  0.007  0.000  0.000  0.003  0.623
   0.39732    -12.024007  0.577  0.025  0.007  0.000  0.000  0.006  0.000  0.000  0.003  0.618
   0.42570    -12.112703  0.575  0.024  0.007  0.000  0.000  0.006  0.000  0.000  0.002  0.615
   0.45408    -12.201193  0.575  0.023  0.007  0.000  0.000  0.005  0.000  0.000  0.002  0.610
   0.48246    -12.288906  0.574  0.021  0.007  0.000  0.000  0.003  0.000  0.000  0.002  0.606
   0.51084    -12.375331  0.573  0.020  0.006  0.000  0.000  0.003  0.000  0.000  0.001  0.604
   0.53922    -12.460009  0.573  0.019  0.006  0.000  0.000  0.002  0.000  0.000  0.001  0.602
   0.56760    -12.542531  0.572  0.017  0.006  0.000  0.000  0.002  0.000  0.000  0.001  0.599
   0.59598    -12.622528  0.572  0.016  0.005  0.000  0.000  0.001  0.000  0.000  0.001  0.597
   0.62436    -12.699675  0.571  0.015  0.005  0.000  0.000  0.001  0.000  0.000  0.001  0.593
   0.65274    -12.773678  0.573  0.014  0.004  0.000  0.000  0.001  0.000  0.000  0.000  0.591
