#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  80  48
# Band-Index:    1
   0.00000    -11.324727  0.587  0.023  0.003  0.000  0.000  0.041  0.000  0.000  0.024  0.679
   0.02838    -11.329314  0.587  0.023  0.003  0.000  0.000  0.040  0.000  0.000  0.024  0.679
   0.05676    -11.343013  0.587  0.023  0.003  0.000  0.000  0.039  0.000  0.000  0.024  0.678
   0.08514    -11.365644  0.587  0.024  0.003  0.000  0.000  0.038  0.000  0.000  0.023  0.675
   0.11352    -11.396907  0.586  0.024  0.003  0.000  0.000  0.036  0.000  0.000  0.021  0.671
   0.14190    -11.436390  0.585  0.025  0.004  0.000  0.000  0.033  0.000  0.000  0.020  0.668
   0.17028    -11.483574  0.583  0.026  0.004  0.000  0.000  0.030  0.000  0.000  0.018  0.663
   0.19866    -11.537848  0.582  0.026  0.004  0.000  0.000  0.027  0.000  0.000  0.017  0.658
   0.22704    -11.598524  0.582  0.026  0.004  0.000  0.000  0.024  0.000  0.000  0.015  0.653
   0.25542    -11.664857  0.579  0.025  0.006  0.000  0.000  0.022  0.000  0.000  0.013  0.647
   0.28380    -11.736064  0.578  0.027  0.006  0.000  0.000  0.019  0.000  0.000  0.012  0.642
   0.31218    -11.811348  0.576  0.026  0.007  0.000  0.000  0.016  0.000  0.000  0.010  0.636
   0.34056    -11.889913  0.577  0.026  0.007  0.000  0.000  0.014  0.000  0.000  0.009  0.630
   0.36894    -11.970985  0.576  0.025  0.007  0.000  0.000  0.012  0.000  0.000  0.008  0.627
   0.39732    -12.053818  0.574  0.024  0.007  0.000  0.000  0.010  0.000  0.000  0.006  0.621
   0.42570    -12.137709  0.574  0.023  0.007  0.000  0.000  0.008  0.000  0.000  0.005  0.617
   0.45408    -12.222000  0.573  0.022  0.007  0.000  0.000  0.007  0.000  0.000  0.005  0.612
   0.48246    -12.306084  0.573  0.021  0.006  0.000  0.000  0.006  0.000  0.000  0.004  0.609
   0.51084    -12.389402  0.573  0.020  0.006  0.000  0.000  0.005  0.000  0.000  0.003  0.606
   0.53922    -12.471443  0.572  0.018  0.006  0.000  0.000  0.004  0.000  0.000  0.003  0.601
   0.56760    -12.551748  0.573  0.017  0.006  0.000  0.000  0.003  0.000  0.000  0.002  0.598
   0.59598    -12.629899  0.572  0.016  0.006  0.000  0.000  0.002  0.000  0.000  0.002  0.595
   0.62436    -12.705520  0.571  0.015  0.005  0.000  0.000  0.002  0.000  0.000  0.001  0.594
