#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  80  48
# Band-Index:    1
   0.00000    -13.507192  0.659  0.002  0.002  0.000  0.003  0.059  0.003  0.001  0.009  0.739
   0.03304    -13.508701  0.659  0.002  0.002  0.000  0.003  0.059  0.003  0.001  0.009  0.739
   0.06608    -13.513178  0.659  0.002  0.002  0.000  0.003  0.058  0.003  0.001  0.009  0.736
   0.09912    -13.520494  0.659  0.002  0.002  0.000  0.003  0.057  0.003  0.001  0.009  0.736
   0.13215    -13.530522  0.658  0.002  0.003  0.000  0.003  0.056  0.003  0.001  0.009  0.735
   0.16519    -13.543269  0.658  0.002  0.003  0.000  0.003  0.055  0.003  0.000  0.009  0.733
   0.19823    -13.558992  0.657  0.003  0.004  0.000  0.003  0.053  0.003  0.000  0.010  0.732
   0.23127    -13.578282  0.657  0.004  0.004  0.000  0.002  0.050  0.003  0.000  0.009  0.730
   0.26431    -13.602000  0.657  0.005  0.004  0.000  0.002  0.045  0.003  0.000  0.009  0.726
   0.29735    -13.630989  0.656  0.007  0.004  0.000  0.002  0.040  0.003  0.000  0.009  0.723
   0.33039    -13.665725  0.655  0.010  0.005  0.000  0.002  0.034  0.003  0.000  0.009  0.719
   0.36342    -13.706187  0.654  0.012  0.005  0.000  0.001  0.029  0.003  0.000  0.009  0.715
   0.39646    -13.751989  0.652  0.013  0.006  0.000  0.001  0.025  0.002  0.000  0.009  0.710
   0.42950    -13.802568  0.651  0.014  0.006  0.000  0.001  0.021  0.002  0.000  0.009  0.707
   0.46254    -13.857293  0.650  0.017  0.006  0.000  0.001  0.018  0.002  0.000  0.008  0.702
   0.49558    -13.915505  0.649  0.017  0.006  0.000  0.001  0.015  0.002  0.000  0.009  0.697
   0.52862    -13.976559  0.647  0.017  0.006  0.000  0.001  0.013  0.002  0.000  0.009  0.693
   0.56165    -14.039812  0.646  0.016  0.006  0.000  0.001  0.012  0.001  0.000  0.008  0.689
   0.59469    -14.104627  0.643  0.015  0.006  0.000  0.001  0.009  0.001  0.000  0.008  0.685
   0.62773    -14.170393  0.642  0.015  0.006  0.000  0.000  0.008  0.001  0.000  0.009  0.682
   0.66077    -14.236518  0.642  0.014  0.006  0.000  0.000  0.007  0.001  0.000  0.009  0.680
   0.69381    -14.302433  0.640  0.013  0.006  0.000  0.000  0.006  0.001  0.000  0.009  0.677
   0.72685    -14.367610  0.640  0.012  0.006  0.000  0.000  0.005  0.001  0.000  0.008  0.674
   0.75989    -14.431540  0.639  0.011  0.005  0.000  0.000  0.004  0.001  0.000  0.009  0.670
   0.79292    -14.493760  0.638  0.010  0.005  0.000  0.000  0.004  0.001  0.000  0.009  0.668
   0.82596    -14.553834  0.638  0.009  0.004  0.000  0.000  0.003  0.001  0.000  0.009  0.666
   0.85900    -14.611366  0.638  0.008  0.002  0.000  0.000  0.003  0.001  0.001  0.009  0.662
   0.89204    -14.665991  0.638  0.007  0.002  0.000  0.001  0.002  0.000  0.001  0.008  0.660
   0.92508    -14.717382  0.636  0.007  0.002  0.000  0.001  0.002  0.000  0.001  0.008  0.658
   0.95812    -14.765239  0.637  0.004  0.002  0.000  0.001  0.002  0.000  0.001  0.008  0.657
   0.99116    -14.809300  0.636  0.003  0.002  0.000  0.001  0.002  0.000  0.001  0.009  0.655
   1.02419    -14.849328  0.637  0.002  0.000  0.000  0.001  0.002  0.000  0.001  0.009  0.654
   1.05723    -14.885117  0.636  0.002  0.000  0.000  0.001  0.001  0.000  0.001  0.009  0.652
   1.09027    -14.916483  0.637  0.001  0.000  0.000  0.001  0.001  0.000  0.001  0.009  0.651
   1.12331    -14.943276  0.636  0.001  0.000  0.000  0.001  0.001  0.000  0.001  0.009  0.650
   1.15635    -14.965368  0.635  0.001  0.000  0.000  0.001  0.000  0.000  0.001  0.009  0.649
   1.18939    -14.982657  0.636  0.000  0.000  0.000  0.001  0.000  0.000  0.001  0.009  0.649
   1.22243    -14.995063  0.636  0.000  0.000  0.000  0.001  0.000  0.000  0.001  0.009  0.648
   1.25546    -15.002529  0.637  0.000  0.000  0.000  0.001  0.000  0.000  0.001  0.009  0.649
   1.28850    -15.005022  0.637  0.000  0.000  0.000  0.001  0.000  0.000  0.001  0.009  0.649
   1.28850    -15.005022  0.637  0.000  0.000  0.000  0.001  0.000  0.000  0.001  0.009  0.649
   1.32159    -15.002625  0.637  0.000  0.000  0.000  0.001  0.000  0.000  0.001  0.009  0.648
   1.35468    -14.995447  0.636  0.000  0.000  0.000  0.001  0.000  0.000  0.001  0.009  0.648
   1.38778    -14.983520  0.635  0.000  0.000  0.000  0.001  0.000  0.000  0.001  0.009  0.649
   1.42087    -14.966901  0.636  0.000  0.000  0.001  0.001  0.000  0.000  0.001  0.009  0.650
   1.45396    -14.945668  0.636  0.000  0.000  0.001  0.001  0.000  0.000  0.001  0.009  0.651
   1.48705    -14.919926  0.635  0.000  0.000  0.001  0.001  0.000  0.000  0.001  0.010  0.651
   1.52014    -14.889796  0.636  0.000  0.000  0.002  0.001  0.000  0.000  0.001  0.009  0.653
   1.55323    -14.855428  0.636  0.000  0.000  0.002  0.001  0.000  0.000  0.001  0.009  0.653
   1.58632    -14.817001  0.636  0.000  0.002  0.003  0.001  0.000  0.000  0.001  0.009  0.656
   1.61941    -14.774716  0.636  0.000  0.002  0.003  0.001  0.000  0.001  0.001  0.009  0.657
   1.65250    -14.728798  0.636  0.000  0.002  0.006  0.001  0.000  0.001  0.002  0.010  0.659
   1.68560    -14.679502  0.636  0.000  0.002  0.007  0.002  0.000  0.001  0.002  0.010  0.661
   1.71869    -14.627108  0.636  0.000  0.002  0.008  0.002  0.000  0.001  0.002  0.010  0.664
   1.75178    -14.571925  0.638  0.000  0.004  0.009  0.002  0.000  0.001  0.003  0.011  0.666
   1.78487    -14.514295  0.637  0.000  0.004  0.010  0.002  0.000  0.001  0.003  0.011  0.669
   1.81796    -14.454579  0.638  0.000  0.005  0.011  0.002  0.001  0.001  0.004  0.012  0.671
   1.85105    -14.393171  0.639  0.000  0.006  0.012  0.002  0.001  0.001  0.004  0.012  0.674
   1.88414    -14.330486  0.638  0.000  0.006  0.013  0.003  0.001  0.001  0.004  0.013  0.677
   1.91723    -14.266974  0.639  0.000  0.006  0.014  0.003  0.001  0.001  0.005  0.012  0.681
   1.95033    -14.203096  0.640  0.000  0.006  0.014  0.003  0.001  0.001  0.005  0.013  0.684
   1.98342    -14.139337  0.641  0.000  0.006  0.014  0.003  0.001  0.001  0.007  0.013  0.688
   2.01651    -14.076195  0.643  0.000  0.006  0.015  0.004  0.001  0.001  0.007  0.014  0.691
   2.04960    -14.014176  0.644  0.000  0.006  0.015  0.004  0.001  0.002  0.008  0.015  0.694
   2.08269    -13.953781  0.645  0.000  0.007  0.015  0.004  0.001  0.002  0.009  0.015  0.699
   2.11578    -13.895512  0.647  0.000  0.007  0.016  0.005  0.001  0.002  0.009  0.016  0.702
   2.14887    -13.839848  0.648  0.000  0.007  0.016  0.005  0.001  0.003  0.011  0.017  0.706
   2.18196    -13.787245  0.650  0.000  0.006  0.015  0.005  0.001  0.003  0.012  0.018  0.710
   2.21505    -13.738124  0.651  0.000  0.005  0.015  0.006  0.001  0.003  0.014  0.017  0.712
   2.24815    -13.692859  0.652  0.000  0.005  0.012  0.006  0.001  0.003  0.015  0.018  0.715
   2.28124    -13.651762  0.655  0.000  0.005  0.011  0.006  0.001  0.003  0.016  0.019  0.719
   2.31433    -13.615083  0.655  0.000  0.005  0.012  0.007  0.001  0.003  0.018  0.020  0.720
   2.34742    -13.582991  0.656  0.000  0.004  0.010  0.008  0.001  0.003  0.019  0.020  0.723
   2.38051    -13.555567  0.658  0.000  0.005  0.009  0.008  0.001  0.003  0.021  0.021  0.726
   2.41360    -13.532794  0.659  0.000  0.006  0.007  0.008  0.001  0.003  0.023  0.022  0.729
   2.44669    -13.514562  0.661  0.000  0.004  0.005  0.008  0.001  0.003  0.024  0.022  0.729
   2.47978    -13.500693  0.662  0.000  0.004  0.004  0.009  0.001  0.003  0.025  0.023  0.731
   2.51287    -13.490976  0.663  0.000  0.004  0.003  0.009  0.001  0.003  0.026  0.023  0.732
   2.54597    -13.485229  0.663  0.000  0.004  0.002  0.009  0.001  0.003  0.026  0.023  0.733
   2.57906    -13.483331  0.664  0.000  0.004  0.002  0.009  0.001  0.003  0.027  0.023  0.733
 
# Band-Index:    2
   2.57906    -13.409976  0.634  0.000  0.021  0.040  0.000  0.000  0.000  0.000  0.000  0.696
   2.54597    -13.410923  0.634  0.000  0.021  0.040  0.000  0.000  0.000  0.000  0.000  0.696
   2.51287    -13.413700  0.635  0.000  0.021  0.039  0.000  0.000  0.000  0.000  0.000  0.695
   2.47978    -13.418098  0.634  0.000  0.021  0.038  0.000  0.000  0.000  0.001  0.000  0.695
   2.44669    -13.423793  0.634  0.000  0.021  0.036  0.000  0.000  0.000  0.002  0.000  0.696
   2.41360    -13.430383  0.636  0.000  0.022  0.033  0.000  0.000  0.000  0.003  0.001  0.694
   2.38051    -13.437432  0.635  0.000  0.022  0.031  0.000  0.000  0.000  0.004  0.001  0.695
   2.34742    -13.444521  0.636  0.000  0.023  0.028  0.000  0.000  0.000  0.005  0.001  0.695
   2.31433    -13.451260  0.636  0.000  0.024  0.028  0.000  0.000  0.000  0.005  0.001  0.694
   2.28124    -13.457307  0.637  0.000  0.024  0.025  0.001  0.000  0.000  0.006  0.001  0.694
   2.24815    -13.462359  0.636  0.000  0.025  0.022  0.001  0.000  0.000  0.007  0.001  0.694
   2.21505    -13.466147  0.637  0.000  0.026  0.020  0.001  0.000  0.000  0.007  0.002  0.693
   2.18196    -13.468436  0.637  0.000  0.026  0.018  0.001  0.000  0.000  0.007  0.001  0.693
   2.14887    -13.469024  0.637  0.000  0.028  0.017  0.001  0.000  0.000  0.008  0.001  0.693
   2.11578    -13.467741  0.638  0.000  0.029  0.015  0.001  0.000  0.000  0.008  0.001  0.693
   2.08269    -13.464448  0.638  0.000  0.030  0.014  0.001  0.000  0.000  0.008  0.002  0.692
   2.04960    -13.459044  0.638  0.000  0.032  0.012  0.001  0.000  0.000  0.008  0.002  0.692
   2.01651    -13.451466  0.638  0.000  0.032  0.011  0.001  0.000  0.000  0.007  0.002  0.692
   1.98342    -13.441681  0.638  0.000  0.034  0.008  0.001  0.000  0.000  0.007  0.002  0.692
   1.95033    -13.429705  0.640  0.000  0.035  0.007  0.001  0.000  0.000  0.007  0.002  0.692
   1.91723    -13.415581  0.639  0.000  0.037  0.005  0.001  0.000  0.000  0.007  0.002  0.692
   1.88414    -13.399397  0.640  0.000  0.038  0.004  0.001  0.000  0.000  0.006  0.002  0.692
   1.85105    -13.381284  0.641  0.000  0.040  0.004  0.001  0.000  0.000  0.006  0.002  0.694
   1.81796    -13.361410  0.640  0.000  0.041  0.003  0.001  0.000  0.000  0.005  0.001  0.695
   1.78487    -13.339982  0.641  0.000  0.043  0.003  0.000  0.000  0.000  0.005  0.001  0.696
   1.75178    -13.317251  0.643  0.000  0.045  0.002  0.000  0.000  0.000  0.005  0.001  0.697
   1.71869    -13.293507  0.644  0.000  0.047  0.001  0.000  0.000  0.000  0.004  0.000  0.698
   1.68560    -13.269077  0.644  0.000  0.049  0.001  0.000  0.000  0.000  0.004  0.000  0.699
   1.65250    -13.244321  0.645  0.000  0.050  0.001  0.000  0.000  0.000  0.003  0.000  0.701
   1.61941    -13.219636  0.646  0.000  0.050  0.001  0.000  0.000  0.000  0.003  0.000  0.701
   1.58632    -13.195439  0.647  0.000  0.050  0.001  0.000  0.000  0.000  0.002  0.000  0.703
   1.55323    -13.172166  0.648  0.000  0.052  0.001  0.000  0.000  0.000  0.002  0.000  0.704
   1.52014    -13.150263  0.649  0.000  0.053  0.000  0.000  0.000  0.000  0.001  0.000  0.705
   1.48705    -13.130174  0.651  0.000  0.055  0.000  0.000  0.000  0.000  0.001  0.000  0.707
   1.45396    -13.112320  0.651  0.000  0.054  0.000  0.000  0.000  0.000  0.001  0.000  0.708
   1.42087    -13.097102  0.651  0.000  0.054  0.000  0.000  0.000  0.000  0.001  0.000  0.709
   1.38778    -13.084867  0.653  0.000  0.056  0.000  0.000  0.000  0.000  0.000  0.000  0.709
   1.35468    -13.075906  0.652  0.000  0.056  0.000  0.000  0.000  0.000  0.000  0.000  0.710
   1.32159    -13.070437  0.653  0.000  0.056  0.000  0.000  0.000  0.000  0.000  0.000  0.711
   1.28850    -13.068600  0.653  0.000  0.056  0.000  0.000  0.000  0.000  0.000  0.000  0.710
   1.28850    -13.068600  0.653  0.000  0.056  0.000  0.000  0.000  0.000  0.000  0.000  0.710
   1.25546    -13.070732  0.653  0.000  0.056  0.000  0.000  0.000  0.000  0.000  0.000  0.711
   1.22243    -13.077072  0.652  0.000  0.056  0.000  0.000  0.000  0.000  0.000  0.000  0.710
   1.18939    -13.087463  0.653  0.000  0.055  0.000  0.000  0.001  0.000  0.000  0.000  0.710
   1.15635    -13.101642  0.651  0.000  0.054  0.000  0.000  0.001  0.000  0.000  0.000  0.708
   1.12331    -13.119271  0.650  0.000  0.053  0.000  0.000  0.002  0.000  0.000  0.000  0.708
   1.09027    -13.139940  0.649  0.000  0.055  0.000  0.000  0.003  0.000  0.000  0.000  0.708
   1.05723    -13.163186  0.647  0.001  0.053  0.000  0.000  0.004  0.000  0.000  0.000  0.706
   1.02419    -13.188518  0.646  0.001  0.052  0.000  0.001  0.005  0.000  0.000  0.000  0.705
   0.99116    -13.215426  0.645  0.001  0.050  0.000  0.001  0.006  0.001  0.000  0.000  0.704
   0.95812    -13.243397  0.644  0.001  0.049  0.000  0.001  0.007  0.001  0.000  0.000  0.704
   0.92508    -13.271935  0.642  0.001  0.047  0.000  0.001  0.009  0.001  0.000  0.001  0.703
   0.89204    -13.300559  0.641  0.001  0.047  0.000  0.001  0.010  0.001  0.000  0.001  0.702
   0.85900    -13.328823  0.639  0.002  0.045  0.000  0.001  0.011  0.001  0.001  0.001  0.701
   0.82596    -13.356316  0.639  0.002  0.043  0.000  0.001  0.012  0.001  0.001  0.001  0.701
   0.79292    -13.382656  0.637  0.003  0.042  0.000  0.001  0.014  0.001  0.001  0.001  0.699
   0.75989    -13.407512  0.635  0.003  0.040  0.000  0.001  0.015  0.001  0.001  0.001  0.699
   0.72685    -13.430588  0.635  0.004  0.039  0.000  0.002  0.016  0.001  0.001  0.001  0.698
   0.69381    -13.451636  0.633  0.005  0.037  0.000  0.002  0.017  0.001  0.001  0.001  0.699
   0.66077    -13.470443  0.635  0.005  0.036  0.000  0.002  0.018  0.001  0.001  0.001  0.698
   0.62773    -13.486831  0.633  0.007  0.034  0.000  0.002  0.019  0.001  0.001  0.001  0.698
   0.59469    -13.500669  0.633  0.008  0.033  0.000  0.002  0.019  0.001  0.001  0.001  0.697
   0.56165    -13.511853  0.633  0.009  0.030  0.000  0.002  0.020  0.001  0.001  0.001  0.698
   0.52862    -13.520310  0.633  0.010  0.029  0.000  0.002  0.020  0.001  0.001  0.001  0.697
   0.49558    -13.525993  0.632  0.013  0.028  0.000  0.002  0.020  0.001  0.001  0.001  0.697
