#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  80  64
# Band-Index:    1
   0.00000    -12.390420  0.621  0.022  0.003  0.000  0.000  0.050  0.000  0.000  0.026  0.721
   0.03017    -12.390822  0.621  0.022  0.003  0.000  0.000  0.050  0.000  0.000  0.025  0.721
   0.06033    -12.392067  0.621  0.022  0.003  0.000  0.000  0.050  0.000  0.000  0.025  0.720
   0.09050    -12.394279  0.621  0.022  0.004  0.000  0.000  0.049  0.000  0.000  0.025  0.720
   0.12067    -12.397764  0.621  0.022  0.004  0.000  0.000  0.048  0.000  0.000  0.024  0.719
   0.15083    -12.403231  0.622  0.022  0.004  0.000  0.000  0.046  0.000  0.000  0.022  0.717
   0.18100    -12.412393  0.623  0.023  0.005  0.000  0.000  0.042  0.000  0.000  0.020  0.713
   0.21116    -12.429271  0.625  0.025  0.005  0.000  0.000  0.035  0.000  0.000  0.017  0.708
   0.24133    -12.460526  0.629  0.028  0.005  0.000  0.000  0.025  0.000  0.000  0.010  0.699
   0.27150    -12.508844  0.634  0.029  0.005  0.000  0.000  0.016  0.000  0.000  0.007  0.689
   0.30166    -12.569614  0.635  0.027  0.005  0.000  0.000  0.011  0.000  0.000  0.004  0.684
   0.33183    -12.637997  0.634  0.029  0.005  0.000  0.000  0.009  0.000  0.000  0.003  0.681
   0.36200    -12.711206  0.633  0.027  0.005  0.000  0.000  0.007  0.000  0.000  0.003  0.675
   0.39216    -12.787602  0.631  0.027  0.007  0.000  0.000  0.005  0.000  0.000  0.002  0.672
   0.42233    -12.866068  0.630  0.025  0.007  0.000  0.000  0.005  0.000  0.000  0.002  0.669
   0.45249    -12.945734  0.629  0.024  0.006  0.000  0.000  0.004  0.000  0.000  0.002  0.665
   0.48266    -13.025875  0.629  0.023  0.006  0.000  0.000  0.003  0.000  0.000  0.001  0.661
   0.51283    -13.105873  0.627  0.021  0.006  0.000  0.000  0.003  0.000  0.000  0.001  0.659
   0.54299    -13.185175  0.627  0.021  0.007  0.000  0.000  0.003  0.000  0.000  0.001  0.655
   0.57316    -13.263292  0.626  0.019  0.007  0.000  0.000  0.002  0.000  0.000  0.001  0.653
   0.60333    -13.339784  0.625  0.018  0.005  0.000  0.000  0.001  0.000  0.000  0.001  0.651
   0.63349    -13.414254  0.625  0.017  0.003  0.000  0.000  0.001  0.000  0.000  0.001  0.647
   0.66366    -13.486344  0.625  0.015  0.003  0.000  0.000  0.001  0.000  0.000  0.000  0.645
   0.69382    -13.555740  0.626  0.013  0.003  0.000  0.000  0.001  0.000  0.000  0.000  0.644
   0.72399    -13.622150  0.624  0.011  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.642
   0.75416    -13.685322  0.626  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.639
   0.78432    -13.745021  0.624  0.009  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.638
   0.81449    -13.801036  0.625  0.008  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.635
   0.84466    -13.853188  0.625  0.008  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.635
   0.87482    -13.901313  0.626  0.006  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.633
   0.90499    -13.945262  0.625  0.006  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.633
   0.93515    -13.984905  0.626  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.631
   0.96532    -14.020136  0.627  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.630
   0.99549    -14.050856  0.627  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.631
   1.02565    -14.076984  0.627  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.629
   1.05582    -14.098451  0.627  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.629
   1.08599    -14.115203  0.627  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.627
   1.11615    -14.127201  0.627  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.628
   1.14632    -14.134412  0.629  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.629
   1.17648    -14.136820  0.629  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.629
   1.17648    -14.136820  0.629  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.629
   1.20665    -14.134412  0.629  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.629
   1.23682    -14.127204  0.627  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.628
   1.26698    -14.115218  0.627  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.627
   1.29715    -14.098495  0.627  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.629
   1.32732    -14.077088  0.627  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.629
   1.35748    -14.051071  0.627  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.631
   1.38765    -14.020536  0.627  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.630
   1.41781    -13.985588  0.626  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.631
   1.44798    -13.946358  0.625  0.006  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.633
   1.47815    -13.902993  0.625  0.006  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.633
   1.50831    -13.855665  0.625  0.008  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.635
   1.53848    -13.804568  0.625  0.008  0.002  0.000  0.000  0.001  0.000  0.000  0.000  0.636
   1.56865    -13.749921  0.625  0.009  0.002  0.000  0.000  0.001  0.000  0.000  0.001  0.639
   1.59881    -13.691967  0.625  0.010  0.002  0.000  0.000  0.001  0.000  0.000  0.001  0.640
   1.62898    -13.630978  0.625  0.011  0.002  0.000  0.000  0.002  0.000  0.000  0.001  0.643
   1.65914    -13.567264  0.624  0.013  0.002  0.000  0.000  0.002  0.000  0.000  0.001  0.643
   1.68931    -13.501155  0.623  0.013  0.004  0.000  0.000  0.003  0.000  0.000  0.002  0.647
   1.71948    -13.433023  0.624  0.014  0.004  0.000  0.000  0.004  0.000  0.000  0.002  0.650
   1.74964    -13.363265  0.624  0.018  0.004  0.000  0.000  0.005  0.000  0.000  0.003  0.653
   1.77981    -13.292322  0.624  0.019  0.004  0.000  0.000  0.006  0.000  0.000  0.003  0.657
   1.80998    -13.220666  0.623  0.020  0.004  0.000  0.000  0.007  0.000  0.000  0.004  0.660
   1.84014    -13.148805  0.623  0.021  0.004  0.000  0.000  0.009  0.000  0.000  0.005  0.664
   1.87031    -13.077268  0.623  0.022  0.004  0.000  0.000  0.011  0.000  0.000  0.006  0.666
   1.90047    -13.006617  0.623  0.022  0.004  0.000  0.000  0.013  0.000  0.000  0.007  0.671
   1.93064    -12.937420  0.623  0.021  0.004  0.000  0.000  0.016  0.000  0.000  0.008  0.675
   1.96081    -12.870263  0.623  0.021  0.004  0.000  0.000  0.018  0.000  0.000  0.010  0.680
   1.99097    -12.805721  0.623  0.022  0.004  0.000  0.000  0.021  0.000  0.000  0.011  0.684
   2.02114    -12.744346  0.622  0.022  0.004  0.000  0.000  0.025  0.000  0.000  0.013  0.688
   2.05131    -12.686660  0.622  0.023  0.004  0.000  0.000  0.028  0.000  0.000  0.015  0.693
   2.08147    -12.633133  0.623  0.023  0.004  0.000  0.000  0.032  0.000  0.000  0.016  0.698
   2.11164    -12.584181  0.622  0.024  0.003  0.000  0.000  0.035  0.000  0.000  0.018  0.701
   2.14180    -12.540155  0.622  0.023  0.003  0.000  0.000  0.038  0.000  0.000  0.020  0.706
   2.17197    -12.501359  0.621  0.021  0.004  0.000  0.000  0.041  0.000  0.000  0.021  0.711
   2.20214    -12.468042  0.621  0.022  0.004  0.000  0.000  0.044  0.000  0.000  0.023  0.713
   2.23230    -12.440425  0.622  0.022  0.003  0.000  0.000  0.046  0.000  0.000  0.024  0.716
   2.26247    -12.418703  0.621  0.021  0.003  0.000  0.000  0.048  0.000  0.000  0.024  0.718
   2.29264    -12.403042  0.621  0.022  0.003  0.000  0.000  0.049  0.000  0.000  0.025  0.719
   2.32280    -12.393584  0.621  0.022  0.003  0.000  0.000  0.050  0.000  0.000  0.025  0.721
   2.35297    -12.390420  0.621  0.022  0.003  0.000  0.000  0.050  0.000  0.000  0.026  0.721
 
# Band-Index:    2
   2.35297    -12.127594  0.659  0.025  0.003  0.000  0.000  0.013  0.000  0.000  0.007  0.708
   2.32280    -12.128743  0.659  0.025  0.003  0.000  0.000  0.013  0.000  0.000  0.007  0.708
   2.29264    -12.132170  0.658  0.024  0.003  0.000  0.000  0.013  0.000  0.000  0.006  0.707
   2.26247    -12.137814  0.659  0.024  0.004  0.000  0.000  0.013  0.000  0.000  0.006  0.706
   2.23230    -12.145557  0.658  0.024  0.004  0.000  0.000  0.013  0.000  0.000  0.006  0.706
   2.20214    -12.155215  0.657  0.023  0.005  0.000  0.000  0.014  0.000  0.000  0.007  0.706
   2.17197    -12.166526  0.655  0.022  0.006  0.000  0.000  0.015  0.000  0.000  0.007  0.706
   2.14180    -12.179159  0.654  0.021  0.006  0.000  0.000  0.016  0.000  0.000  0.007  0.705
   2.11164    -12.192731  0.653  0.020  0.007  0.000  0.000  0.016  0.000  0.000  0.007  0.705
   2.08147    -12.206834  0.652  0.018  0.009  0.000  0.000  0.018  0.000  0.000  0.007  0.705
   2.05131    -12.221058  0.649  0.017  0.011  0.000  0.000  0.018  0.000  0.000  0.008  0.705
   2.02114    -12.235014  0.648  0.015  0.013  0.000  0.000  0.020  0.000  0.000  0.009  0.705
   1.99097    -12.248350  0.647  0.014  0.015  0.000  0.000  0.021  0.000  0.000  0.008  0.705
   1.96081    -12.260750  0.645  0.013  0.016  0.000  0.000  0.021  0.000  0.000  0.009  0.705
   1.93064    -12.271955  0.644  0.011  0.018  0.000  0.000  0.023  0.000  0.000  0.009  0.705
   1.90047    -12.281752  0.644  0.010  0.019  0.000  0.000  0.022  0.000  0.000  0.010  0.704
   1.87031    -12.289978  0.642  0.009  0.021  0.000  0.000  0.023  0.000  0.000  0.009  0.705
   1.84014    -12.296515  0.642  0.007  0.022  0.000  0.000  0.023  0.000  0.000  0.009  0.703
   1.80998    -12.301286  0.641  0.006  0.024  0.000  0.000  0.023  0.000  0.000  0.009  0.704
   1.77981    -12.304260  0.640  0.005  0.026  0.000  0.000  0.022  0.000  0.000  0.009  0.704
   1.74964    -12.305429  0.640  0.005  0.028  0.000  0.000  0.021  0.000  0.000  0.008  0.704
   1.71948    -12.304833  0.640  0.004  0.030  0.000  0.000  0.020  0.000  0.000  0.008  0.703
   1.68931    -12.302539  0.640  0.003  0.032  0.000  0.000  0.019  0.000  0.000  0.008  0.703
   1.65914    -12.298653  0.639  0.002  0.034  0.000  0.000  0.019  0.000  0.000  0.008  0.702
   1.62898    -12.293301  0.640  0.002  0.036  0.000  0.000  0.017  0.000  0.000  0.007  0.702
   1.59881    -12.286648  0.639  0.002  0.038  0.000  0.000  0.016  0.000  0.000  0.006  0.700
   1.56865    -12.278873  0.640  0.001  0.040  0.000  0.000  0.014  0.000  0.000  0.005  0.701
   1.53848    -12.270187  0.640  0.001  0.042  0.000  0.000  0.013  0.000  0.000  0.005  0.701
   1.50831    -12.260823  0.642  0.001  0.044  0.000  0.000  0.011  0.000  0.000  0.005  0.701
   1.47815    -12.251026  0.642  0.000  0.046  0.000  0.000  0.009  0.000  0.000  0.004  0.700
   1.44798    -12.241057  0.640  0.000  0.048  0.000  0.000  0.008  0.000  0.000  0.004  0.700
   1.41781    -12.231182  0.642  0.000  0.047  0.000  0.000  0.006  0.000  0.000  0.002  0.700
   1.38765    -12.221672  0.642  0.000  0.048  0.000  0.000  0.005  0.000  0.000  0.002  0.701
   1.35748    -12.212791  0.644  0.000  0.050  0.000  0.000  0.004  0.000  0.000  0.001  0.699
   1.32732    -12.204786  0.644  0.000  0.051  0.000  0.000  0.003  0.000  0.000  0.001  0.699
   1.29715    -12.197884  0.644  0.000  0.052  0.000  0.000  0.001  0.000  0.000  0.001  0.700
   1.26698    -12.192293  0.644  0.000  0.053  0.000  0.000  0.001  0.000  0.000  0.000  0.699
   1.23682    -12.188175  0.644  0.000  0.054  0.000  0.000  0.000  0.000  0.000  0.000  0.699
   1.20665    -12.185654  0.646  0.000  0.054  0.000  0.000  0.000  0.000  0.000  0.000  0.700
   1.17648    -12.184806  0.646  0.000  0.054  0.000  0.000  0.000  0.000  0.000  0.000  0.700
   1.17648    -12.184806  0.646  0.000  0.054  0.000  0.000  0.000  0.000  0.000  0.000  0.700
   1.14632    -12.185655  0.646  0.000  0.054  0.000  0.000  0.000  0.000  0.000  0.000  0.700
   1.11615    -12.188184  0.644  0.000  0.054  0.000  0.000  0.000  0.000  0.000  0.000  0.699
   1.08599    -12.192338  0.644  0.000  0.053  0.000  0.000  0.001  0.000  0.000  0.000  0.699
   1.05582    -12.198020  0.644  0.000  0.052  0.000  0.000  0.001  0.000  0.000  0.001  0.700
   1.02565    -12.205109  0.644  0.000  0.051  0.000  0.000  0.003  0.000  0.000  0.001  0.699
   0.99549    -12.213448  0.644  0.000  0.050  0.000  0.000  0.004  0.000  0.000  0.001  0.700
   0.96532    -12.222863  0.642  0.000  0.048  0.000  0.000  0.005  0.000  0.000  0.002  0.701
   0.93515    -12.233164  0.642  0.000  0.047  0.000  0.000  0.007  0.000  0.000  0.002  0.701
   0.90499    -12.244152  0.641  0.000  0.048  0.000  0.000  0.009  0.000  0.000  0.004  0.700
   0.87482    -12.255620  0.640  0.000  0.046  0.000  0.000  0.010  0.000  0.000  0.005  0.700
   0.84466    -12.267360  0.639  0.001  0.044  0.000  0.000  0.012  0.000  0.000  0.005  0.701
   0.81449    -12.279177  0.639  0.001  0.042  0.000  0.000  0.013  0.000  0.000  0.006  0.701
   0.78432    -12.290879  0.638  0.001  0.040  0.000  0.000  0.016  0.000  0.000  0.007  0.702
   0.75416    -12.302288  0.637  0.001  0.038  0.000  0.000  0.018  0.000  0.000  0.008  0.702
   0.72399    -12.313241  0.636  0.002  0.036  0.000  0.000  0.020  0.000  0.000  0.009  0.702
   0.69382    -12.323600  0.635  0.002  0.034  0.000  0.000  0.021  0.000  0.000  0.010  0.705
   0.66366    -12.333235  0.635  0.003  0.031  0.000  0.000  0.024  0.000  0.000  0.010  0.705
   0.63349    -12.342048  0.634  0.003  0.029  0.000  0.000  0.026  0.000  0.000  0.011  0.705
   0.60333    -12.349949  0.633  0.004  0.027  0.000  0.000  0.028  0.000  0.000  0.012  0.707
   0.57316    -12.356874  0.633  0.005  0.025  0.000  0.000  0.030  0.000  0.000  0.013  0.707
   0.54299    -12.362776  0.632  0.006  0.024  0.000  0.000  0.031  0.000  0.000  0.014  0.707
   0.51283    -12.367623  0.632  0.007  0.022  0.000  0.000  0.033  0.000  0.000  0.015  0.708
   0.48266    -12.371391  0.631  0.008  0.020  0.000  0.000  0.035  0.000  0.000  0.016  0.710
   0.45249    -12.374061  0.630  0.008  0.018  0.000  0.000  0.036  0.000  0.000  0.017  0.710
   0.42233    -12.375606  0.629  0.009  0.017  0.000  0.000  0.038  0.000  0.000  0.018  0.712
   0.39216    -12.375957  0.630  0.010  0.015  0.000  0.000  0.040  0.000  0.000  0.019  0.713
   0.36200    -12.374967  0.630  0.011  0.013  0.000  0.000  0.041  0.000  0.000  0.021  0.714
   0.33183    -12.372288  0.630  0.012  0.011  0.000  0.000  0.041  0.000  0.000  0.021  0.714
