#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  80  64
# Band-Index:    1
   0.00000    -12.390424  0.621  0.022  0.003  0.000  0.000  0.050  0.000  0.000  0.026  0.721
   0.03017    -12.393588  0.621  0.022  0.003  0.000  0.000  0.050  0.000  0.000  0.025  0.721
   0.06033    -12.403047  0.622  0.022  0.003  0.000  0.000  0.049  0.000  0.000  0.025  0.720
   0.09050    -12.418709  0.621  0.021  0.003  0.000  0.000  0.048  0.000  0.000  0.024  0.718
   0.12067    -12.440433  0.621  0.022  0.003  0.000  0.000  0.046  0.000  0.000  0.024  0.716
   0.15083    -12.468051  0.620  0.022  0.004  0.000  0.000  0.044  0.000  0.000  0.023  0.714
   0.18100    -12.501369  0.621  0.021  0.004  0.000  0.000  0.041  0.000  0.000  0.021  0.711
   0.21116    -12.540165  0.622  0.023  0.003  0.000  0.000  0.038  0.000  0.000  0.020  0.707
   0.24133    -12.584191  0.621  0.024  0.003  0.000  0.000  0.035  0.000  0.000  0.018  0.701
   0.27150    -12.633142  0.623  0.023  0.004  0.000  0.000  0.032  0.000  0.000  0.016  0.698
   0.30166    -12.686669  0.622  0.023  0.004  0.000  0.000  0.028  0.000  0.000  0.015  0.693
   0.33183    -12.744354  0.622  0.022  0.004  0.000  0.000  0.025  0.000  0.000  0.013  0.689
   0.36200    -12.805727  0.623  0.022  0.004  0.000  0.000  0.021  0.000  0.000  0.011  0.684
   0.39216    -12.870268  0.623  0.021  0.004  0.000  0.000  0.018  0.000  0.000  0.010  0.680
   0.42233    -12.937423  0.623  0.021  0.004  0.000  0.000  0.016  0.000  0.000  0.008  0.675
   0.45249    -13.006618  0.623  0.022  0.004  0.000  0.000  0.013  0.000  0.000  0.007  0.671
   0.48266    -13.077269  0.623  0.022  0.004  0.000  0.000  0.011  0.000  0.000  0.006  0.666
   0.51283    -13.148804  0.624  0.021  0.004  0.000  0.000  0.009  0.000  0.000  0.005  0.664
   0.54299    -13.220664  0.623  0.020  0.004  0.000  0.000  0.007  0.000  0.000  0.004  0.660
   0.57316    -13.292319  0.624  0.019  0.004  0.000  0.000  0.006  0.000  0.000  0.003  0.656
   0.60333    -13.363261  0.624  0.018  0.004  0.000  0.000  0.005  0.000  0.000  0.003  0.653
   0.63349    -13.433018  0.624  0.014  0.004  0.000  0.000  0.004  0.000  0.000  0.002  0.650
   0.66366    -13.501150  0.623  0.013  0.004  0.000  0.000  0.003  0.000  0.000  0.002  0.647
   0.69382    -13.567258  0.623  0.013  0.002  0.000  0.000  0.002  0.000  0.000  0.001  0.643
   0.72399    -13.630972  0.625  0.011  0.002  0.000  0.000  0.002  0.000  0.000  0.001  0.643
   0.75416    -13.691960  0.625  0.010  0.002  0.000  0.000  0.001  0.000  0.000  0.001  0.640
   0.78432    -13.749914  0.625  0.009  0.002  0.000  0.000  0.001  0.000  0.000  0.001  0.639
   0.81449    -13.804561  0.625  0.008  0.002  0.000  0.000  0.001  0.000  0.000  0.000  0.636
   0.84466    -13.855658  0.625  0.007  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.635
   0.87482    -13.902986  0.625  0.006  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.633
   0.90499    -13.946351  0.625  0.006  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.633
   0.93515    -13.985580  0.626  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.631
