#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  80  20
# Band-Index:    1
   0.00000    -12.607383  0.641  0.004  0.011  0.014  0.005  0.004  0.000  0.012  0.002  0.692
   0.01451    -12.623723  0.641  0.004  0.010  0.015  0.005  0.004  0.000  0.011  0.002  0.691
   0.02902    -12.642605  0.640  0.004  0.010  0.014  0.005  0.003  0.000  0.010  0.002  0.690
   0.04353    -12.662109  0.639  0.005  0.010  0.015  0.005  0.003  0.000  0.011  0.002  0.689
   0.05805    -12.681727  0.639  0.005  0.009  0.015  0.005  0.003  0.000  0.010  0.002  0.687
   0.07256    -12.701256  0.639  0.005  0.009  0.016  0.005  0.003  0.000  0.010  0.001  0.686
   0.08707    -12.720598  0.638  0.005  0.009  0.016  0.004  0.003  0.000  0.008  0.001  0.685
   0.10158    -12.739688  0.639  0.005  0.009  0.016  0.004  0.003  0.000  0.008  0.001  0.684
   0.11609    -12.758477  0.637  0.005  0.008  0.017  0.004  0.003  0.000  0.008  0.001  0.682
   0.13060    -12.776930  0.637  0.004  0.007  0.017  0.004  0.002  0.000  0.007  0.001  0.681
   0.14511    -12.795011  0.637  0.004  0.007  0.017  0.004  0.002  0.000  0.007  0.001  0.681
   0.15963    -12.812695  0.636  0.004  0.007  0.017  0.004  0.002  0.000  0.007  0.001  0.679
   0.17414    -12.829954  0.637  0.005  0.007  0.018  0.003  0.002  0.000  0.007  0.001  0.679
   0.18865    -12.846761  0.636  0.005  0.005  0.018  0.003  0.002  0.000  0.006  0.001  0.677
   0.20316    -12.863093  0.635  0.005  0.004  0.018  0.003  0.002  0.000  0.006  0.001  0.676
   0.21767    -12.878931  0.635  0.005  0.004  0.018  0.003  0.002  0.000  0.006  0.001  0.675
   0.23218    -12.894258  0.634  0.005  0.003  0.017  0.003  0.002  0.000  0.005  0.001  0.675
   0.24669    -12.909044  0.635  0.005  0.003  0.018  0.003  0.002  0.000  0.005  0.001  0.674
   0.26120    -12.923276  0.633  0.005  0.003  0.018  0.003  0.002  0.000  0.005  0.001  0.673
   0.27572    -12.936935  0.634  0.005  0.003  0.018  0.003  0.002  0.000  0.005  0.001  0.672
   0.29023    -12.950006  0.634  0.005  0.003  0.018  0.003  0.001  0.000  0.004  0.001  0.672
   0.30474    -12.962474  0.633  0.005  0.003  0.018  0.002  0.001  0.000  0.004  0.001  0.671
   0.31925    -12.974321  0.633  0.005  0.003  0.019  0.002  0.001  0.000  0.004  0.001  0.671
   0.33376    -12.985535  0.633  0.005  0.001  0.019  0.002  0.001  0.000  0.004  0.001  0.670
