#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  80  20
# Band-Index:    1
   0.00000    -12.607500  0.640  0.004  0.011  0.014  0.005  0.004  0.000  0.012  0.002  0.693
   0.01451    -12.601951  0.642  0.005  0.011  0.015  0.005  0.003  0.000  0.010  0.001  0.690
   0.02902    -12.613572  0.643  0.004  0.011  0.015  0.004  0.003  0.000  0.008  0.002  0.689
   0.04353    -12.631557  0.643  0.005  0.010  0.016  0.003  0.002  0.000  0.008  0.001  0.687
   0.05805    -12.650994  0.643  0.005  0.010  0.016  0.003  0.002  0.000  0.007  0.001  0.686
   0.07256    -12.670780  0.642  0.005  0.010  0.016  0.003  0.002  0.000  0.006  0.001  0.685
   0.08707    -12.690575  0.641  0.005  0.009  0.016  0.002  0.002  0.000  0.006  0.001  0.683
   0.10158    -12.710226  0.640  0.005  0.009  0.017  0.002  0.002  0.000  0.006  0.001  0.682
   0.11609    -12.729647  0.640  0.005  0.009  0.017  0.002  0.001  0.000  0.005  0.001  0.681
   0.13060    -12.748783  0.640  0.005  0.008  0.017  0.002  0.001  0.000  0.005  0.001  0.680
   0.14511    -12.767588  0.639  0.005  0.008  0.017  0.002  0.001  0.000  0.005  0.001  0.679
   0.15963    -12.786029  0.638  0.005  0.007  0.017  0.002  0.001  0.000  0.005  0.001  0.678
   0.17414    -12.804074  0.639  0.005  0.007  0.018  0.002  0.001  0.000  0.004  0.001  0.677
   0.18865    -12.821693  0.638  0.005  0.006  0.018  0.002  0.001  0.000  0.004  0.001  0.675
   0.20316    -12.838859  0.637  0.005  0.006  0.018  0.002  0.001  0.000  0.003  0.001  0.676
   0.21767    -12.855551  0.638  0.005  0.004  0.018  0.002  0.001  0.000  0.003  0.001  0.674
   0.23218    -12.871749  0.636  0.005  0.004  0.018  0.002  0.001  0.000  0.003  0.001  0.673
   0.24669    -12.887423  0.637  0.005  0.004  0.018  0.002  0.001  0.000  0.003  0.001  0.672
   0.26120    -12.902558  0.635  0.005  0.003  0.018  0.002  0.001  0.000  0.003  0.001  0.672
   0.27572    -12.917134  0.636  0.005  0.003  0.019  0.002  0.001  0.000  0.003  0.001  0.671
   0.29023    -12.931134  0.634  0.005  0.003  0.019  0.001  0.001  0.000  0.002  0.000  0.670
   0.30474    -12.944541  0.636  0.005  0.003  0.019  0.001  0.001  0.000  0.002  0.000  0.669
   0.31925    -12.957338  0.634  0.007  0.002  0.021  0.001  0.001  0.000  0.002  0.000  0.670
   0.33376    -12.969512  0.634  0.007  0.002  0.021  0.001  0.001  0.000  0.002  0.000  0.668
   0.34827    -12.981047  0.634  0.007  0.001  0.021  0.001  0.001  0.000  0.002  0.000  0.668
   0.36278    -12.991931  0.633  0.007  0.001  0.021  0.001  0.001  0.000  0.002  0.000  0.666
   0.37730    -13.002151  0.633  0.008  0.001  0.022  0.001  0.001  0.000  0.002  0.000  0.666
   0.39181    -13.011698  0.632  0.008  0.001  0.022  0.001  0.001  0.000  0.002  0.000  0.667
   0.40632    -13.020560  0.632  0.008  0.001  0.022  0.001  0.000  0.000  0.001  0.000  0.666
   0.42083    -13.028728  0.633  0.008  0.001  0.022  0.001  0.000  0.000  0.001  0.000  0.665
   0.43534    -13.036192  0.634  0.008  0.001  0.022  0.001  0.000  0.000  0.001  0.000  0.665
   0.44985    -13.042946  0.632  0.008  0.001  0.022  0.001  0.000  0.000  0.001  0.000  0.665
   0.46436    -13.048981  0.632  0.008  0.001  0.022  0.001  0.000  0.000  0.001  0.000  0.666
   0.47888    -13.054292  0.632  0.008  0.000  0.023  0.001  0.000  0.000  0.001  0.000  0.664
   0.49339    -13.058874  0.633  0.008  0.000  0.023  0.001  0.000  0.000  0.001  0.000  0.664
   0.50790    -13.062721  0.633  0.008  0.000  0.023  0.002  0.000  0.000  0.001  0.000  0.664
   0.52241    -13.065831  0.632  0.008  0.000  0.022  0.002  0.000  0.000  0.002  0.000  0.664
   0.53692    -13.068199  0.632  0.008  0.000  0.022  0.002  0.000  0.000  0.002  0.000  0.665
   0.55143    -13.069825  0.632  0.008  0.000  0.022  0.002  0.000  0.000  0.002  0.000  0.665
   0.56594    -13.070707  0.631  0.008  0.000  0.022  0.002  0.000  0.000  0.002  0.000  0.665
   0.56594    -13.070707  0.631  0.008  0.000  0.022  0.002  0.000  0.000  0.002  0.000  0.665
   0.58046    -13.070845  0.631  0.008  0.000  0.022  0.001  0.000  0.000  0.001  0.000  0.665
   0.59497    -13.070238  0.631  0.008  0.000  0.022  0.001  0.000  0.000  0.001  0.000  0.665
   0.60948    -13.068888  0.633  0.008  0.000  0.022  0.001  0.000  0.000  0.001  0.000  0.665
   0.62399    -13.066797  0.633  0.008  0.000  0.023  0.001  0.000  0.000  0.001  0.000  0.665
   0.63850    -13.063966  0.633  0.008  0.000  0.022  0.001  0.001  0.000  0.002  0.000  0.666
   0.65301    -13.060398  0.632  0.008  0.000  0.022  0.001  0.001  0.000  0.002  0.000  0.665
   0.66752    -13.056100  0.632  0.008  0.000  0.022  0.001  0.001  0.000  0.002  0.000  0.665
   0.68203    -13.051073  0.632  0.008  0.001  0.022  0.001  0.001  0.000  0.002  0.000  0.665
   0.69655    -13.045325  0.631  0.008  0.001  0.022  0.001  0.001  0.000  0.002  0.000  0.667
   0.71106    -13.038863  0.632  0.008  0.001  0.022  0.002  0.001  0.000  0.002  0.001  0.667
   0.72557    -13.031694  0.632  0.008  0.001  0.022  0.002  0.001  0.000  0.003  0.001  0.667
   0.74008    -13.023825  0.632  0.007  0.001  0.021  0.002  0.001  0.000  0.003  0.001  0.667
   0.75459    -13.015266  0.632  0.007  0.001  0.021  0.002  0.001  0.000  0.003  0.001  0.668
   0.76910    -13.006028  0.633  0.007  0.001  0.021  0.002  0.001  0.000  0.003  0.001  0.669
   0.78361    -12.996119  0.633  0.005  0.001  0.019  0.002  0.001  0.000  0.003  0.001  0.669
   0.79813    -12.985552  0.633  0.005  0.001  0.019  0.002  0.001  0.000  0.004  0.001  0.669
   0.81264    -12.974338  0.633  0.005  0.003  0.019  0.002  0.001  0.000  0.004  0.001  0.671
