filename,feature,symbol,rank,feature_value,shap,sse
POSCAR_Ag2F6_3,p_metric,MSBI,1,0.17045765,0.014967993,0.042023
POSCAR_Ag2F6_3_st950,p_metric,MSBI,1,0.17045765,0.0158138,0.036292
POSCAR_Ag2F6_3_st975,p_metric,MSBI,1,0.17045765,0.015081379,0.03876
POSCAR_Ag2F6_3_x950,p_metric,MSBI,1,0.16760522,0.017429963,0.003334
POSCAR_Ag2F6_3_y950,p_metric,MSBI,1,0.17146482,0.017432185,0.005466
POSCAR_Ag2F6_3_y975,p_metric,MSBI,1,0.17096822,0.016278693,0.00841
POSCAR_Ag2F6_3_z025,p_metric,MSBI,1,0.16952601,0.015652033,0.077982
POSCAR_Ag2F6_3_z950,p_metric,MSBI,1,0.17228034,0.017155448,0.015396
POSCAR_Ag2F6_3_z975,p_metric,MSBI,1,0.17137635,0.015902422,0.064037
POSCAR_Al10Fe2_1,p_metric,MSBI,1,8.702783e-06,-0.21446024,0.042896
POSCAR_Al10Fe2_1_st950,p_metric,MSBI,1,8.702783e-06,-0.21800229,0.019014
POSCAR_Al10Fe2_1_st975,p_metric,MSBI,1,8.702783e-06,-0.21720394,0.042746
POSCAR_Al10Fe2_1_x025,p_metric,MSBI,1,8.666595e-06,-0.21726172,0.021152
POSCAR_Al10Fe2_1_x975,p_metric,MSBI,1,8.739864e-06,-0.21292269,0.047069
POSCAR_Al10Fe2_1_y975,p_metric,MSBI,1,8.84043e-06,-0.21212499,0.033551
POSCAR_Al10Fe2_1_z050,p_metric,MSBI,1,9.047712e-06,-0.20906617,0.021833
POSCAR_Al2Fe2_2,p_metric,MSBI,1,0.0014800074,-0.23850657,0.082671
POSCAR_Al2Fe2_2_st025,p_metric,MSBI,1,0.0014800074,-0.23818953,0.013031
POSCAR_Al2Fe2_2_st950,p_metric,MSBI,1,0.0014800074,-0.23706223,0.013366
POSCAR_Al2Fe2_2_x025,p_metric,MSBI,1,0.0014921911,-0.23862779,0.027716
POSCAR_Al2Fe2_2_x050,p_metric,MSBI,1,0.0015041725,-0.23953784,0.007001
POSCAR_Al2Fe2_2_x950,p_metric,MSBI,1,0.0020400558,-0.22844495,0.010943
POSCAR_Al2Fe2_2_x975,p_metric,MSBI,1,0.0014676222,-0.23884983,0.031944
POSCAR_Al2Fe2_2_y025,p_metric,MSBI,1,0.0014717665,-0.2360499,0.014834
POSCAR_Al2Fe2_2_y950,p_metric,MSBI,1,0.0014961001,-0.23903912,0.005462
POSCAR_Al2Fe2_2_z050,p_metric,MSBI,1,0.0014712663,-0.23778696,0.017962
POSCAR_Al2Fe2_2_z950,p_metric,MSBI,1,0.0014876378,-0.23844394,0.00829
POSCAR_Al2Fe2_2_z975,p_metric,MSBI,1,0.0014839697,-0.24036826,0.006618
POSCAR_Al2Mn2_2,p_metric,MSBI,1,1.5641076e-06,-0.22228606,0.011028
POSCAR_Al2Mn2_2_st950,p_metric,MSBI,1,1.5641076e-06,-0.22458798,0.011499
POSCAR_Al2Mn2_2_st975,p_metric,MSBI,1,1.5641076e-06,-0.22363524,0.011657
POSCAR_Al2Mn2_2_x025,p_metric,MSBI,1,1.5396605e-06,-0.22234195,0.00999
POSCAR_Al2Mn2_2_x050,p_metric,MSBI,1,1.515455e-06,-0.2222778,0.010084
POSCAR_Al2Mn2_2_y025,p_metric,MSBI,1,1.5390261e-06,-0.22234197,0.009996
POSCAR_Al2Mn2_2_y050,p_metric,MSBI,1,1.5141927e-06,-0.22227383,0.01009
POSCAR_Al2Mn2_2_z025,p_metric,MSBI,1,1.6136912e-06,-0.21544486,0.010663
POSCAR_Al2Mn2_2_z050,p_metric,MSBI,1,1.6628927e-06,-0.21610565,0.009765
POSCAR_Al2Mn2_2_z950,p_metric,MSBI,1,1.4639639e-06,-0.22431877,0.010735
POSCAR_Al2Mn2_2_z975,p_metric,MSBI,1,1.5141836e-06,-0.22336751,0.010537
POSCAR_Al3Fe2_2,p_metric,MSBI,1,0.0015788322,-0.22848998,0.013452
POSCAR_Al3Fe2_2_st975,p_metric,MSBI,1,0.0015788322,-0.22675551,0.01104
POSCAR_Al3Fe2_2_x025,p_metric,MSBI,1,0.0015640862,-0.22845365,0.008255
POSCAR_Al3Fe2_2_x050,p_metric,MSBI,1,0.0015498447,-0.22831716,0.007952
POSCAR_Al3Fe2_2_x950,p_metric,MSBI,1,0.0016066729,-0.22868787,0.009013
POSCAR_Al3Fe2_2_x975,p_metric,MSBI,1,0.0015940827,-0.22869757,0.008457
POSCAR_Al3Fe2_2_y025,p_metric,MSBI,1,0.0015635946,-0.23025115,0.011615
POSCAR_Al3Fe2_2_y050,p_metric,MSBI,1,0.0015488561,-0.23494512,0.010364
POSCAR_Al3Fe2_2_y975,p_metric,MSBI,1,0.0015945608,-0.22738111,0.010483
POSCAR_Al3Fe2_2_z025,p_metric,MSBI,1,0.0016096024,-0.22860655,0.007795
POSCAR_Al3Fe2_2_z050,p_metric,MSBI,1,0.0016390025,-0.22801453,0.013742
POSCAR_Al3Fe2_2_z950,p_metric,MSBI,1,0.0015191912,-0.22810198,0.00858
POSCAR_Al3Fe2_2_z975,p_metric,MSBI,1,0.0015486653,-0.22865428,0.008667
POSCAR_Al5Mn2_1,p_metric,MSBI,1,2.9866595e-05,-0.23277225,0.015454
POSCAR_Al5Mn2_1_st025,p_metric,MSBI,1,2.9866595e-05,-0.22792387,0.013926
POSCAR_Al5Mn2_1_st050,p_metric,MSBI,1,2.9866595e-05,-0.22057618,0.015113
POSCAR_Al5Mn2_1_st975,p_metric,MSBI,1,2.9866595e-05,-0.2342848,0.015802
POSCAR_Al5Mn2_1_x025,p_metric,MSBI,1,2.9346429e-05,-0.23279011,0.015286
POSCAR_Al5Mn2_1_x050,p_metric,MSBI,1,2.8838156e-05,-0.23334593,0.015588
POSCAR_Al5Mn2_1_x950,p_metric,MSBI,1,3.0942e-05,-0.23635733,0.014834
POSCAR_Al5Mn2_1_x975,p_metric,MSBI,1,3.0398518e-05,-0.23451014,0.014906
POSCAR_Al5Mn2_1_y025,p_metric,MSBI,1,3.0025341e-05,-0.23358338,0.015101
POSCAR_Al5Mn2_1_y050,p_metric,MSBI,1,3.0187859e-05,-0.23512633,0.015316
POSCAR_Al5Mn2_1_y950,p_metric,MSBI,1,2.9562903e-05,-0.23702492,0.014216
POSCAR_Al5Mn2_1_y975,p_metric,MSBI,1,2.971223e-05,-0.23462234,0.01486
POSCAR_Al5Mn2_1_z025,p_metric,MSBI,1,3.0237314e-05,-0.23109894,0.01486
POSCAR_Al5Mn2_1_z050,p_metric,MSBI,1,3.0610398e-05,-0.23144858,0.014306
POSCAR_Al5Mn2_1_z975,p_metric,MSBI,1,2.9498628e-05,-0.23343047,0.015625
POSCAR_As1V2_1,p_metric,MSBI,1,0.0020249558,-0.21333387,0.010596
POSCAR_As1V2_1_st050,p_metric,MSBI,1,0.0020249558,-0.21385834,0.011958
POSCAR_As1V2_1_x025,p_metric,MSBI,1,0.0020056148,-0.2136953,0.006343
POSCAR_As1V2_1_x050,p_metric,MSBI,1,0.0019867055,-0.21335952,0.005809
POSCAR_As1V2_1_x950,p_metric,MSBI,1,0.002064894,-0.21314745,0.005735
POSCAR_As1V2_1_x975,p_metric,MSBI,1,0.0020447194,-0.21302418,0.006191
POSCAR_As1V2_1_y025,p_metric,MSBI,1,0.002029407,-0.21302532,0.006241
POSCAR_As1V2_1_y050,p_metric,MSBI,1,0.0020335312,-0.21314146,0.005902
POSCAR_As1V2_1_y950,p_metric,MSBI,1,0.0020149832,-0.21311721,0.006592
POSCAR_As1V2_1_y975,p_metric,MSBI,1,0.0020201558,-0.2137434,0.005919
POSCAR_As1V2_1_z025,p_metric,MSBI,1,0.0020399212,-0.21341789,0.005736
POSCAR_As1V2_1_z050,p_metric,MSBI,1,0.002054931,-0.21308665,0.006135
POSCAR_As1V2_1_z950,p_metric,MSBI,1,0.0014712558,-0.1963763,0.006102
POSCAR_As1V2_1_z975,p_metric,MSBI,1,0.0020100682,-0.21374778,0.006598
POSCAR_As2Cr2_1,p_metric,MSBI,1,0.3944287,0.03394678,0.740445
POSCAR_As2Cr2_1_st025,p_metric,MSBI,1,0.3944287,0.033822786,0.748907
POSCAR_As2Cr2_1_st950,p_metric,MSBI,1,0.3944287,0.034888975,0.779899
POSCAR_As2Cr2_1_st975,p_metric,MSBI,1,0.3944287,0.03456073,0.709517
POSCAR_As2Cr2_1_z025,p_metric,MSBI,1,0.39221802,0.034150194,0.688894
POSCAR_As2Cr2_1_z050,p_metric,MSBI,1,0.38994727,0.03309987,0.670694
POSCAR_As2Cr2_1_z950,p_metric,MSBI,1,0.3986514,0.037512664,0.868294
POSCAR_As2Cr2_1_z975,p_metric,MSBI,1,0.3965747,0.034792345,0.805968
POSCAR_As2Cr2_4,p_metric,MSBI,1,0.0015399285,-0.21201667,0.014335
POSCAR_As2Cr2_4_st025,p_metric,MSBI,1,0.0015399285,-0.21169662,0.013762
POSCAR_As2Cr2_4_st050,p_metric,MSBI,1,0.0015399285,-0.21100536,0.012103
POSCAR_As2Cr2_4_st950,p_metric,MSBI,1,0.0015399285,-0.21342199,0.018884
POSCAR_As2Cr2_4_st975,p_metric,MSBI,1,0.0015399285,-0.2124445,0.015725
POSCAR_As2Cr2_4_x025,p_metric,MSBI,1,0.0015498452,-0.2136205,0.016136
POSCAR_As2Cr2_4_x050,p_metric,MSBI,1,0.001560033,-0.21369506,0.013975
POSCAR_As2Cr2_4_x950,p_metric,MSBI,1,0.0015209696,-0.21567674,0.017682
POSCAR_As2Cr2_4_x975,p_metric,MSBI,1,0.001530298,-0.214526,0.017416
POSCAR_As2Cr2_4_y025,p_metric,MSBI,1,0.0015635573,-0.21441267,0.014218
POSCAR_As2Cr2_4_y050,p_metric,MSBI,1,0.0015876492,-0.21498512,0.014009
POSCAR_As2Cr2_4_y950,p_metric,MSBI,1,0.0014941891,-0.21416417,0.017292
POSCAR_As2Cr2_4_y975,p_metric,MSBI,1,0.0015167949,-0.21365505,0.01333
POSCAR_As2Cr2_4_z025,p_metric,MSBI,1,0.0015072984,-0.21223372,0.01425
POSCAR_As2Cr2_4_z050,p_metric,MSBI,1,0.0014757137,-0.21279667,0.015783
POSCAR_As2Cr2_4_z975,p_metric,MSBI,1,0.0015736333,-0.21141014,0.01708
POSCAR_As2Mo2_1,p_metric,MSBI,1,0.40840688,0.064909786,0.787982
POSCAR_As2Mo2_1_st025,p_metric,MSBI,1,0.40840688,0.06163009,0.793091
POSCAR_As2Mo2_1_st050,p_metric,MSBI,1,0.40840688,0.061116528,1.034625
POSCAR_As2Mo2_1_st950,p_metric,MSBI,1,0.40840688,0.065785736,0.91958
POSCAR_As2Mo2_1_st975,p_metric,MSBI,1,0.40840688,0.0654775,0.851399
POSCAR_As2Mo2_1_z025,p_metric,MSBI,1,0.4080372,0.063630275,0.825663
POSCAR_As2Mo2_1_z050,p_metric,MSBI,1,0.4076437,0.061731867,0.85641
POSCAR_As2Mo2_1_z950,p_metric,MSBI,1,0.4090798,0.06836209,0.765184
POSCAR_As2Mo2_1_z975,p_metric,MSBI,1,0.40875396,0.06688899,0.865291
POSCAR_As2Mo2_3,p_metric,MSBI,1,0.5948025,0.059803195,0.669785
POSCAR_As2Mo2_3_st975,p_metric,MSBI,1,0.5948025,0.062041517,0.083541
POSCAR_As2Mo2_3_x950,p_metric,MSBI,1,0.5828958,0.059091575,0.750309
POSCAR_As2Mo2_3_x975,p_metric,MSBI,1,0.5888118,0.061010312,0.77387
POSCAR_As2Mo2_3_y975,p_metric,MSBI,1,0.588811,0.06100584,0.7735
POSCAR_As2Mo2_4,p_metric,MSBI,1,0.0010658331,-0.24454719,0.013832
POSCAR_As2Mo2_4_st025,p_metric,MSBI,1,0.0010658331,-0.24231735,0.012847
POSCAR_As2Mo2_4_st050,p_metric,MSBI,1,0.0010658331,-0.24087483,0.015537
POSCAR_As2Mo2_4_st975,p_metric,MSBI,1,0.0010658331,-0.24629569,0.014885
POSCAR_As2Mo2_4_x025,p_metric,MSBI,1,0.0010523763,-0.24462987,0.014758
POSCAR_As2Mo2_4_y025,p_metric,MSBI,1,0.0010517464,-0.24468069,0.013445
POSCAR_As2Mo2_4_z050,p_metric,MSBI,1,0.0015297891,-0.20969225,0.013309
POSCAR_As2Mo2_4_z950,p_metric,MSBI,1,0.0010098474,-0.24526666,0.013513
POSCAR_As2Mo2_4_z975,p_metric,MSBI,1,0.0010380218,-0.24519287,0.013802
POSCAR_As2Nb2_2,p_metric,MSBI,1,0.5555146,0.051892444,0.014892
POSCAR_As2Nb2_2_y025,p_metric,MSBI,1,0.5617437,0.052505437,0.005726
POSCAR_As2Ni2_1,p_metric,MSBI,1,0.7224368,0.07738021,0.039255
POSCAR_As2Ni2_1_x025,p_metric,MSBI,1,0.72748053,0.07845976,0.006353
POSCAR_As2Ni2_1_x050,p_metric,MSBI,1,0.7325797,0.07344835,0.006627
POSCAR_As2Ni2_1_y025,p_metric,MSBI,1,0.7274806,0.07845707,0.00749
POSCAR_As2Ni2_1_y050,p_metric,MSBI,1,0.7325798,0.07351869,0.007334
POSCAR_As2Ni2_1_z050,p_metric,MSBI,1,0.7024518,0.08033367,0.015835
POSCAR_As2Ru2_2,p_metric,MSBI,1,0.638443,0.07125059,0.418411
POSCAR_As2Ru2_2_st025,p_metric,MSBI,1,0.638443,0.071654834,0.466105
POSCAR_As2Ru2_2_st050,p_metric,MSBI,1,0.638443,0.07112774,0.453433
POSCAR_As2Ru2_2_st950,p_metric,MSBI,1,0.638443,0.06995195,0.498606
POSCAR_As2Ru2_2_st975,p_metric,MSBI,1,0.638443,0.070113376,0.454282
POSCAR_As2Ru2_2_x950,p_metric,MSBI,1,0.62693423,0.062825695,0.512908
POSCAR_As2Ru2_2_x975,p_metric,MSBI,1,0.63265294,0.06634242,0.448862
POSCAR_As2Ru2_2_y950,p_metric,MSBI,1,0.62714624,0.06340044,0.531928
POSCAR_As2Ru2_2_y975,p_metric,MSBI,1,0.63275737,0.06154247,0.472193
