filename,kp_idx,band,spin,mag_elem,nonmag_elem,s_tot,s_mag_tot,d_mag_tot,s_nonmag_tot,p_nonmag_tot,p_tot,d_tot,total_occ,s_global,p_global,d_global,pd_hybrid_minimum,pd_hybrid_geometric,pd_hybrid_product,p_to_d_ratio,sse,pd_ratio
POSCAR_Ag2F6_3,62,32,down,Ag,F,0.033,0.019,0.463,0.014,0.41800000000000004,0.41800000000000004,0.463,0.9140000000000001,0.03610503282275711,0.4573304157549234,0.5065645514223194,0.9146608315098468,0.9626367474986098,0.9266695076347023,0.9028077753779697,0.042023,0.499999950000005
POSCAR_Ag2F6_3,62,32,up,Ag,F,0.035,0.020999999999999998,0.463,0.014,0.413,0.413,0.463,0.911,0.038419319429198684,0.4533479692645444,0.5082327113062569,0.9066959385290888,0.9600130573789193,0.9216250703380201,0.8920086393088552,0.042023,0.499999950000005
POSCAR_Ag2F6_3_st950,62,32,down,Ag,F,0.049,0.026000000000000002,0.521,0.023,0.359,0.359,0.521,0.929,0.0527448869752422,0.38643702906350913,0.5608180839612487,0.7728740581270183,0.9310657854546575,0.8668834968442982,0.6890595009596928,0.036292,0.499999950000005
POSCAR_Ag2F6_3_st950,62,32,up,Ag,F,0.049,0.027,0.52,0.022,0.356,0.356,0.52,0.925,0.05297297297297297,0.3848648648648648,0.5621621621621622,0.7697297297297296,0.9302826765509089,0.865425858290723,0.6846153846153845,0.036292,0.499999950000005
POSCAR_Ag2F6_3_st975,62,32,down,Ag,F,0.041,0.023,0.49400000000000005,0.018000000000000002,0.382,0.382,0.49400000000000005,0.917,0.04471101417666303,0.4165757906215921,0.5387131952017449,0.8331515812431842,0.9474489436575481,0.8976595008378038,0.7732793522267206,0.03876,0.499999950000005
POSCAR_Ag2F6_3_st975,62,32,up,Ag,F,0.041,0.025,0.493,0.016,0.38,0.38,0.493,0.9139999999999999,0.044857768052516414,0.4157549234135668,0.5393873085339169,0.8315098468271336,0.9471070248916298,0.8970117165990742,0.77079107505071,0.03876,0.499999950000005
POSCAR_Ag2F6_3_x950,170,32,down,Ag,F,0.011,0.001,0.49500000000000005,0.01,0.407,0.407,0.49500000000000005,0.913,0.012048192771084336,0.4457831325301204,0.5421686746987953,0.8915662650602408,0.983238831956779,0.9667586006677311,0.8222222222222221,0.003334,0.499999950000005
POSCAR_Ag2F6_3_x950,170,32,up,Ag,F,0.011,0.001,0.49500000000000005,0.01,0.40599999999999997,0.40599999999999997,0.49500000000000005,0.912,0.01206140350877193,0.44517543859649117,0.5427631578947368,0.8903508771929823,0.9831069664483231,0.9664993074792242,0.82020202020202,0.003334,0.499999950000005
POSCAR_Ag2F6_3_y950,260,32,down,Ag,F,0.013000000000000001,0.0,0.497,0.013000000000000001,0.41100000000000003,0.41100000000000003,0.497,0.921,0.014115092290988058,0.4462540716612378,0.5396308360477742,0.8925081433224756,0.981452918443421,0.9632498311211084,0.8269617706237425,0.005466,0.499999950000005
POSCAR_Ag2F6_3_y950,260,32,up,Ag,F,0.013000000000000001,0.0,0.499,0.013000000000000001,0.41,0.41,0.499,0.9219999999999999,0.014099783080260306,0.44468546637744033,0.5412147505422994,0.8893709327548807,0.9811632560491703,0.9626813350210097,0.8216432865731462,0.005466,0.499999950000005
POSCAR_Ag2F6_3_y975,260,31,down,Ag,F,0.009000000000000001,0.0,0.488,0.009000000000000001,0.41700000000000004,0.41700000000000004,0.488,0.914,0.009846827133479213,0.45623632385120355,0.5339168490153172,0.9124726477024071,0.9871013330696427,0.9743690417478656,0.8545081967213116,0.00841,0.499999950000005
POSCAR_Ag2F6_3_y975,260,31,up,Ag,F,0.01,0.0,0.488,0.01,0.41700000000000004,0.41700000000000004,0.488,0.915,0.01092896174863388,0.45573770491803284,0.5333333333333333,0.9114754098360657,0.9860225337985284,0.9722404371584701,0.8545081967213116,0.00841,0.499999950000005
POSCAR_Ag2F6_3_z025,242,32,down,Ag,F,0.009000000000000001,0.0,0.47000000000000003,0.009000000000000001,0.43,0.43,0.47000000000000003,0.909,0.009900990099009901,0.473047304730473,0.517051705170517,0.946094609460946,0.9891206509566125,0.978359662148833,0.9148936170212765,0.077982,0.499999950000005
POSCAR_Ag2F6_3_z025,242,32,up,Ag,F,0.008,0.0,0.467,0.008,0.433,0.433,0.467,0.908,0.008810572687224669,0.47687224669603523,0.5143171806167401,0.9537444933920705,0.9904818815810321,0.9810543577403017,0.9271948608137044,0.077982,0.499999950000005
POSCAR_Ag2F6_3_z950,5,31,down,Ag,F,0.011,0.0,0.49800000000000005,0.011,0.405,0.405,0.49800000000000005,0.9140000000000001,0.012035010940919034,0.4431072210065645,0.5448577680525164,0.886214442013129,0.9827113746071933,0.9657216457823594,0.8132530120481928,0.015396,0.499999950000005
POSCAR_Ag2F6_3_z950,5,31,up,Ag,F,0.011,0.0,0.49500000000000005,0.011,0.405,0.405,0.49500000000000005,0.911,0.012074643249176727,0.4445664105378705,0.5433589462129529,0.889132821075741,0.982973318766145,0.9662365454061292,0.8181818181818181,0.015396,0.499999950000005
POSCAR_Ag2F6_3_z975,30,31,down,Ag,F,0.01,0.0,0.48299999999999993,0.01,0.41900000000000004,0.41900000000000004,0.48299999999999993,0.9119999999999999,0.010964912280701756,0.4594298245614036,0.5296052631578947,0.9188596491228072,0.9865423521358372,0.9732658125577102,0.8674948240165633,0.064037,0.499999950000005
POSCAR_Ag2F6_3_z975,30,31,up,Ag,F,0.01,0.0,0.485,0.01,0.416,0.416,0.485,0.911,0.01097694840834248,0.45664105378704717,0.5323819978046103,0.9132821075740943,0.9861186064460008,0.9724299059790027,0.8577319587628865,0.064037,0.499999950000005
POSCAR_Al10Fe2_1,55,18,down,Fe,Al,0.11699999999999999,0.032,0.241,0.08499999999999999,0.058,0.058,0.241,0.416,0.28125,0.13942307692307693,0.5793269230769231,0.27884615384615385,0.5684066929928371,0.3230861686390533,0.2406639004149378,0.042896,0.1428571224489825
POSCAR_Al10Fe2_1,55,18,up,Fe,Al,0.119,0.031,0.237,0.088,0.058,0.058,0.237,0.414,0.28743961352657005,0.14009661835748793,0.572463768115942,0.28019323671497587,0.5663929309065522,0.32080095218091437,0.2447257383966245,0.042896,0.1428571224489825
POSCAR_Al10Fe2_1_st950,55,18,down,Fe,Al,0.08399999999999999,0.025,0.3340000000000001,0.059,0.069,0.069,0.3340000000000001,0.4870000000000001,0.17248459958932233,0.14168377823408623,0.6858316221765914,0.28336755646817247,0.6234459574410337,0.3886848618495672,0.20658682634730535,0.019014,0.1428571224489825
POSCAR_Al10Fe2_1_st950,55,18,up,Fe,Al,0.08299999999999999,0.024999999999999998,0.32800000000000007,0.057999999999999996,0.069,0.069,0.32800000000000007,0.4800000000000001,0.1729166666666666,0.14375,0.6833333333333333,0.2875,0.6268306523030496,0.39291666666666664,0.21036585365853655,0.019014,0.1428571224489825
POSCAR_Al10Fe2_1_st975,92,21,down,Fe,Al,0.063,0.015,0.441,0.048,0.078,0.078,0.441,0.5820000000000001,0.10824742268041236,0.13402061855670103,0.7577319587628865,0.26804123711340205,0.6373435676731435,0.4062068232543309,0.17687074829931973,0.042746,0.1428571224489825
POSCAR_Al10Fe2_1_st975,92,21,up,Fe,Al,0.056,0.009,0.45,0.047,0.08,0.08,0.45,0.5860000000000001,0.0955631399317406,0.136518771331058,0.7679180887372012,0.273037542662116,0.6475653911607602,0.4193409358291883,0.17777777777777778,0.042746,0.1428571224489825
POSCAR_Al10Fe2_1_x025,28,21,down,Fe,Al,0.045,0.019,0.31499999999999995,0.026000000000000002,0.10700000000000001,0.10700000000000001,0.31499999999999995,0.46699999999999997,0.09635974304068523,0.22912205567451824,0.6745182012847964,0.4582441113490365,0.786249316357734,0.6181879874730041,0.33968253968253975,0.021152,0.1428571224489825
POSCAR_Al10Fe2_1_x025,28,21,up,Fe,Al,0.043,0.018,0.31500000000000006,0.025,0.108,0.108,0.31500000000000006,0.4660000000000001,0.09227467811158796,0.23175965665236048,0.6759656652360515,0.46351931330472096,0.7916099304174796,0.6266462819355669,0.3428571428571428,0.021152,0.1428571224489825
POSCAR_Al10Fe2_1_x975,63,17,down,Fe,Al,0.06899999999999999,0.007,0.342,0.062,0.07100000000000001,0.07100000000000001,0.342,0.48200000000000004,0.14315352697095432,0.14730290456431536,0.7095435684647303,0.2946058091286307,0.6465843442267495,0.41807131419913574,0.20760233918128657,0.047069,0.1428571224489825
POSCAR_Al10Fe2_1_x975,63,17,up,Fe,Al,0.07200000000000001,0.007,0.329,0.065,0.07100000000000001,0.07100000000000001,0.329,0.47200000000000003,0.15254237288135594,0.15042372881355934,0.6970338983050848,0.3008474576271187,0.6476123472958254,0.4194017523700087,0.21580547112462006,0.047069,0.1428571224489825
POSCAR_Al10Fe2_1_y975,62,17,down,Fe,Al,0.081,0.01,0.29200000000000004,0.07100000000000001,0.078,0.078,0.29200000000000004,0.45100000000000007,0.17960088691796006,0.17294900221729487,0.647450110864745,0.34589800443458973,0.6692558573805226,0.4479034026381384,0.26712328767123283,0.033551,0.1428571224489825
POSCAR_Al10Fe2_1_y975,62,17,up,Fe,Al,0.084,0.011,0.28400000000000003,0.073,0.077,0.077,0.28400000000000003,0.44500000000000006,0.1887640449438202,0.1730337078651685,0.6382022471910113,0.346067415730337,0.6646217005164472,0.441722004797374,0.27112676056338025,0.033551,0.1428571224489825
POSCAR_Al10Fe2_1_z050,61,22,down,Fe,Al,0.0,0.0,0.41600000000000004,0.0,0.107,0.107,0.41600000000000004,0.523,0.0,0.2045889101338432,0.7954110898661568,0.4091778202676864,0.8068018046189273,0.6509291519363577,0.25721153846153844,0.021833,0.1428571224489825
POSCAR_Al10Fe2_1_z050,61,22,up,Fe,Al,0.0,0.0,0.43200000000000005,0.0,0.101,0.101,0.43200000000000005,0.533,0.0,0.18949343339587243,0.8105065666041277,0.37898686679174487,0.7838001584478445,0.6143426883828661,0.23379629629629628,0.021833,0.1428571224489825
POSCAR_Al2Fe2_2,511,12,down,Fe,Al,0.020999999999999998,0.013999999999999999,0.5800000000000001,0.007,0.039,0.039,0.5800000000000001,0.6400000000000001,0.03281249999999999,0.060937499999999985,0.9062499999999999,0.12187499999999997,0.46999833776301797,0.2208984374999999,0.06724137931034482,0.082671,0.1428571224489825
POSCAR_Al2Fe2_2,511,12,up,Fe,Al,0.017,0.011,0.6,0.006,0.038,0.038,0.6,0.655,0.025954198473282442,0.05801526717557252,0.916030534351145,0.11603053435114503,0.46105859146691597,0.21257502476545653,0.06333333333333334,0.082671,0.1428571224489825
POSCAR_Al2Fe2_2_st025,374,11,down,Fe,Al,0.107,0.091,0.38800000000000007,0.016,0.030999999999999996,0.030999999999999996,0.38800000000000007,0.526,0.20342205323193915,0.05893536121673003,0.7376425855513309,0.11787072243346006,0.41700471090053826,0.17389292891324148,0.07989690721649483,0.013031,0.1428571224489825
POSCAR_Al2Fe2_2_st025,374,11,up,Fe,Al,0.107,0.09,0.391,0.017,0.032,0.032,0.391,0.53,0.20188679245283017,0.06037735849056604,0.7377358490566037,0.12075471698113208,0.4221020816334962,0.17817016731933072,0.08184143222506393,0.013031,0.1428571224489825
POSCAR_Al2Fe2_2_st950,373,12,down,Fe,Al,0.06,0.031,0.5499999999999999,0.028999999999999998,0.036,0.036,0.5499999999999999,0.6459999999999999,0.09287925696594428,0.05572755417956657,0.8513931888544892,0.11145510835913314,0.4356423306337551,0.18978424024001,0.06545454545454546,0.013366,0.1428571224489825
POSCAR_Al2Fe2_2_st950,373,12,up,Fe,Al,0.06,0.031,0.5489999999999999,0.028999999999999998,0.037,0.037,0.5489999999999999,0.6459999999999999,0.09287925696594428,0.05727554179566564,0.8498452012383901,0.11455108359133127,0.44124979022488064,0.19470137737350116,0.06739526411657559,0.013366,0.1428571224489825
POSCAR_Al2Fe2_2_x025,124,12,down,Fe,Al,0.018000000000000002,0.012,0.5549999999999999,0.006,0.04,0.04,0.5549999999999999,0.613,0.029363784665579123,0.06525285481239805,0.9053833605220227,0.1305057096247961,0.48612281976350213,0.23631539589481837,0.07207207207207209,0.027716,0.1428571224489825
POSCAR_Al2Fe2_2_x025,124,12,up,Fe,Al,0.018000000000000002,0.012,0.5469999999999999,0.006,0.04,0.04,0.5469999999999999,0.605,0.029752066115702483,0.06611570247933884,0.9041322314049586,0.1322314049586777,0.48898808825390006,0.23910935045420392,0.07312614259597808,0.027716,0.1428571224489825
